record_id,title,register_status,register_venue,register_identifier,identifier_host,direct_authoritative_identifier,machine_verdict,machine_notes,found_title,found_venue,found_year,found_doi,candidate_sources,archival_evidence,suspicious_ok_preprint,priority,adjudication_decision,authoritative_evidence_url,authoritative_evidence_note,adjudicated_by,adjudicated_at,title_similarity,normalized_title_exact,strong_archival_doi,triage_bucket
123,LLMs in the Imaginarium: Tool Learning through Simulated Trial and Error,Preprint/technical report,arXiv / preprint,,,no,UPGRADE,register 'Preprint/technical report'; strong archival evidence 'Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers)',LLMs in the Imaginarium: Tool Learning through Simulated Trial and Error,Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),2024,10.18653/v1/2024.acl-long.570,openalex:title | openalex:title | crossref:title,openalex:title: DOI prefix 10.18653 (ACL Anthology) | openalex:title: pages 10583-10604 | crossref:title: crossref type=proceedings-article venue='Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers)',no,A3,PENDING,,,,,1.0000,yes,yes,A3_STRONG_TITLE_DOI
124,KnowAgent Knowledge-Augmented Planning for LLM-Based Agents,Preprint/technical report,arXiv / preprint,,,no,UPGRADE,register 'Preprint/technical report'; strong archival evidence 'Findings of the Association for Computational Linguistics: NAACL 2025',KnowAgent: Knowledge-Augmented Planning for LLM-Based Agents,Findings of the Association for Computational Linguistics: NAACL 2025,2025,10.18653/v1/2025.findings-naacl.205,openalex:title | openalex:title | crossref:title,openalex:title: DOI prefix 10.18653 (ACL Anthology) | openalex:title: pages 3709-3732 | crossref:title: crossref type=proceedings-article venue='Findings of the Association for Computational Linguistics: NAACL 2025',no,A3,PENDING,,,,,1.0000,yes,yes,A3_STRONG_TITLE_DOI
128,A Survey on the Memory Mechanism of Large Language Model based Agents,Preprint/technical report,arXiv / survey,,,no,UPGRADE,register 'Preprint/technical report'; strong archival evidence 'ACM Transactions on Information Systems',A Survey on the Memory Mechanism of Large Language Model-based Agents,ACM Transactions on Information Systems,2025,10.1145/3748302,openalex:title | openalex:title | crossref:title,openalex:title: location[journal]='ACM Transactions on Information Systems' | openalex:title: DOI prefix 10.1145 (ACM) | openalex:title: pages 1-47 | crossref:title: crossref type=journal-article venue='ACM Transactions on Information Systems',no,A3,PENDING,,,,,1.0000,yes,yes,A3_STRONG_TITLE_DOI
130,Agent Design Pattern Catalogue A Collection of Architectural Patterns for Foundation Model based Agents,Preprint/technical report,arXiv / preprint,,,no,UPGRADE,register 'Preprint/technical report'; strong archival evidence 'Journal of Systems and Software',Agent design pattern catalogue: A collection of architectural patterns for foundation model based agents,Journal of Systems and Software,2025,10.1016/j.jss.2024.112278,openalex:title | openalex:title | openalex:title | crossref:title | crossref:title,openalex:title: location[journal]='Journal of Systems and Software' | openalex:title: DOI prefix 10.1016 (Elsevier) | openalex:title: pages 112278-112278 | crossref:title: crossref type=journal-article venue='Journal of Systems and Software',no,A3,PENDING,,,,,1.0000,yes,yes,A3_STRONG_TITLE_DOI
132,AvaTaR: Optimizing LLM Agents for Tool Usage via Contrastive Reasoning,Preprint/technical report,arXiv / preprint,,,no,UPGRADE,register 'Preprint/technical report'; strong archival evidence 'Advances in Neural Information Processing Systems 37',AvaTaR: Optimizing LLM Agents for Tool Usage via Contrastive Reasoning,Advances in Neural Information Processing Systems 37,2024,10.52202/079017-0817,openalex:title | openalex:title | crossref:title,openalex:title: DOI prefix 10.52202 (NeurIPS/PMLR) | openalex:title: pages 25981-26010 | crossref:title: crossref type=proceedings-article venue='Advances in Neural Information Processing Systems 37',no,A3,PENDING,,,,,1.0000,yes,yes,A3_STRONG_TITLE_DOI
134,Mobile-Agent-v2 Mobile Device Operation Assistant with Effective Navigation via Multi-Agent Collaboration,Preprint/technical report,arXiv / preprint,,,no,UPGRADE,register 'Preprint/technical report'; strong archival evidence 'Advances in Neural Information Processing Systems 37',Mobile-Agent-v2: Mobile Device Operation Assistant with Effective Navigation via Multi-Agent Collaboration,Advances in Neural Information Processing Systems 37,2024,10.52202/079017-0088,openalex:title | openalex:title | crossref:title,openalex:title: DOI prefix 10.52202 (NeurIPS/PMLR) | openalex:title: pages 2686-2710 | crossref:title: crossref type=proceedings-article venue='Advances in Neural Information Processing Systems 37',no,A3,PENDING,,,,,1.0000,yes,yes,A3_STRONG_TITLE_DOI
135,AppWorld A Controllable World of Apps and People for Benchmarking Interactive Coding Agents,Unconfirmed,ACL 2024 / benchmark paper likely; verify before final citation,,,no,UPGRADE,register 'Unconfirmed'; strong archival evidence 'Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers)',AppWorld: A Controllable World of Apps and People for Benchmarking Interactive Coding Agents,Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),2024,10.18653/v1/2024.acl-long.850,openalex:title | openalex:title | crossref:title,openalex:title: DOI prefix 10.18653 (ACL Anthology) | openalex:title: pages 16022-16076 | crossref:title: crossref type=proceedings-article venue='Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers)',no,A3,PENDING,,,,,1.0000,yes,yes,A3_STRONG_TITLE_DOI
137,Recursive Introspection Teaching Language Model Agents How to Self-Improve,Preprint/technical report,arXiv / preprint,,,no,UPGRADE,register 'Preprint/technical report'; strong archival evidence 'Advances in Neural Information Processing Systems 37',Recursive Introspection: Teaching Language Model Agents How to Self-Improve,Advances in Neural Information Processing Systems 37,2024,10.52202/079017-1754,openalex:title | openalex:title | crossref:title,openalex:title: DOI prefix 10.52202 (NeurIPS/PMLR) | openalex:title: pages 55249-55285 | crossref:title: crossref type=proceedings-article venue='Advances in Neural Information Processing Systems 37',no,A3,PENDING,,,,,1.0000,yes,yes,A3_STRONG_TITLE_DOI
141,xLAM A Family of Large Action Models to Empower AI Agent Systems,Preprint/technical report,arXiv / Salesforce technical report,,,no,UPGRADE,register 'Preprint/technical report'; strong archival evidence 'Proceedings of the 2025 Conference of the Nations of the Americas Chapter of the Association for Computational Linguistics: Human Language Technologies (Volume 1: Long Papers)',xLAM: A Family of Large Action Models to Empower AI Agent Systems,Proceedings of the 2025 Conference of the Nations of the Americas Chapter of the Association for Computational Linguistics: Human Language Technologies (Volume 1: Long Papers),2025,10.18653/v1/2025.naacl-long.578,openalex:title | openalex:title | crossref:title,openalex:title: DOI prefix 10.18653 (ACL Anthology) | openalex:title: pages 11583-11597 | crossref:title: crossref type=proceedings-article venue='Proceedings of the 2025 Conference of the Nations of the Americas Chapter of the Association for Computational Linguistics: Human Language Technologies (Volume 1: Long Papers)',no,A3,PENDING,,,,,1.0000,yes,yes,A3_STRONG_TITLE_DOI
156,LLM-Based Human-Agent Collaboration and Interaction Systems A Survey,Preprint/technical report,arXiv / survey; overlaps with previous human-agent survey,,,no,UPGRADE,register 'Preprint/technical report'; strong archival evidence 'Findings of the Association for Computational Linguistics: ACL 2026',LLM-Based Human-Agent Collaboration and Interaction Systems: A Survey,Findings of the Association for Computational Linguistics: ACL 2026,2026,10.18653/v1/2026.findings-acl.1811,openalex:title | openalex:title | openalex:title | openalex:title | crossref:title | crossref:title | crossref:title,openalex:title: DOI prefix 10.18653 (ACL Anthology) | openalex:title: pages 36335-36364 | crossref:title: crossref type=proceedings-article venue='Findings of the Association for Computational Linguistics: ACL 2026',no,A3,PENDING,,,,,1.0000,yes,yes,A3_STRONG_TITLE_DOI
159,MMSearch-R1: Incentivizing LMMs to Search,Preprint/technical report,arXiv / preprint,,,no,UPGRADE,register 'Preprint/technical report'; strong archival evidence 'Proceedings of the 64th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers)',MMSearch-R1: Incentivizing LMMs to Search,Proceedings of the 64th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),2026,10.18653/v1/2026.acl-long.114,openalex:title | openalex:title | crossref:title,openalex:title: DOI prefix 10.18653 (ACL Anthology) | openalex:title: pages 2456-2487 | crossref:title: crossref type=proceedings-article venue='Proceedings of the 64th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers)',no,A3,PENDING,,,,,1.0000,yes,yes,A3_STRONG_TITLE_DOI
167,Memory as Action: Autonomous Context Curation for Long-Horizon Agentic Tasks,Preprint/technical report,arXiv / preprint,,,no,UPGRADE,register 'Preprint/technical report'; strong archival evidence 'Findings of the Association for Computational Linguistics: ACL 2026',Memory as Action: Autonomous Context Curation for Long-Horizon Agentic Tasks,Findings of the Association for Computational Linguistics: ACL 2026,2026,10.18653/v1/2026.findings-acl.956,openalex:title | crossref:title,openalex:title: DOI prefix 10.18653 (ACL Anthology) | openalex:title: pages 19149-19164 | crossref:title: crossref type=proceedings-article venue='Findings of the Association for Computational Linguistics: ACL 2026',no,A3,PENDING,,,,,1.0000,yes,yes,A3_STRONG_TITLE_DOI
199,"Exploring Large Language Model based Intelligent Agents: Definitions, Methods, and Prospects",Preprint/technical report,,2401.03428,,no,UPGRADE,register 'Preprint/technical report'; strong archival evidence 'WIREs Data Mining and Knowledge Discovery',"Exploring Large Language Model‐Based Intelligent Agents: Definitions, Methods, and Prospects",WIREs Data Mining and Knowledge Discovery,2026,10.1002/widm.70111,datacite:arxiv | openalex:title | crossref:title | crossref:title,openalex:title: location[journal]='Wiley Interdisciplinary Reviews Data Mining and Knowledge Discovery' | crossref:title: crossref type=journal-article venue='WIREs Data Mining and Knowledge Discovery',no,A3,PENDING,,,,,1.0000,yes,no,A3_MANUAL_WEB_CHECK
241,Agents Are Not Enough,Preprint/technical report,"arXiv (marked ""under review"")",2412.16241,,no,UPGRADE,register 'Preprint/technical report'; strong archival evidence 'Computer',Agents Are Not Enough,Computer,2025,10.1109/mc.2025.3575829,datacite:arxiv | openalex:arxiv | openalex:title | crossref:title,openalex:title: location[journal]='Computer' | openalex:title: DOI prefix 10.1109 (IEEE) | openalex:title: pages 87-92 | crossref:title: crossref type=journal-article venue='Computer',no,A3,PENDING,,,,,1.0000,yes,yes,A3_STRONG_TITLE_DOI
250,Orchestrating Agents and Data for Enterprise: A Blueprint Architecture for Compound AI,Preprint/technical report,arXiv preprint arXiv:2504.08148,,,no,UPGRADE,register 'Preprint/technical report'; strong archival evidence '2025 IEEE 41st International Conference on Data Engineering Workshops (ICDEW)',Orchestrating Agents and Data for Enterprise: A Blueprint Architecture for Compound AI,2025 IEEE 41st International Conference on Data Engineering Workshops (ICDEW),2025,10.1109/icdew67478.2025.00007,openalex:title | openalex:title | crossref:title,openalex:title: DOI prefix 10.1109 (IEEE) | openalex:title: pages 18-27 | crossref:title: crossref type=proceedings-article venue='2025 IEEE 41st International Conference on Data Engineering Workshops (ICDEW)',no,A3,PENDING,,,,,1.0000,yes,yes,A3_STRONG_TITLE_DOI
261,"Agentic AI: A Comprehensive Survey of Architectures, Applications, and Future Directions",Preprint/technical report,arXiv preprint arXiv:2510.25445,,,no,UPGRADE,register 'Preprint/technical report'; strong archival evidence 'Artificial Intelligence Review',"Agentic AI: a comprehensive survey of architectures, applications, and future directions",Artificial Intelligence Review,2025,10.1007/s10462-025-11422-4,openalex:title | crossref:title,openalex:title: location[journal]='Artificial Intelligence Review' | openalex:title: DOI prefix 10.1007 (Springer) | crossref:title: crossref type=journal-article venue='Artificial Intelligence Review',no,A3,PENDING,,,,,1.0000,yes,yes,A3_STRONG_TITLE_DOI
276,"MCP-Flow: Facilitating LLM Agents to Master Real-World, Diverse and Scaling MCP Tools",Preprint/technical report,arXiv preprint arXiv:2510.24284,,,no,UPGRADE,register 'Preprint/technical report'; strong archival evidence 'Proceedings of the 64th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers)',"MCP-Flow: Facilitating LLM Agents to Master Real-World, Diverse and Scaling MCP Tools",Proceedings of the 64th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),2026,10.18653/v1/2026.acl-long.231,openalex:title | openalex:title | crossref:title,openalex:title: DOI prefix 10.18653 (ACL Anthology) | openalex:title: pages 5087-5116 | crossref:title: crossref type=proceedings-article venue='Proceedings of the 64th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers)',no,A3,PENDING,,,,,1.0000,yes,yes,A3_STRONG_TITLE_DOI
277,OCR-Memory: Optical Context Retrieval for Long-Horizon Agent Memory,Preprint/technical report,arXiv preprint arXiv:2604.26622,,,no,UPGRADE,register 'Preprint/technical report'; strong archival evidence 'Proceedings of the 64th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers)',OCR-Memory: Optical Context Retrieval for Long-Horizon Agent Memory,Proceedings of the 64th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),2026,10.18653/v1/2026.acl-long.474,openalex:title | openalex:title | openalex:title | openalex:title | crossref:title,openalex:title: DOI prefix 10.18653 (ACL Anthology) | openalex:title: pages 10409-10420 | crossref:title: crossref type=proceedings-article venue='Proceedings of the 64th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers)',no,A3,PENDING,,,,,1.0000,yes,yes,A3_STRONG_TITLE_DOI
278,StructMem: Structured Memory for Long-Horizon Behavior in LLMs,Preprint/technical report,arXiv preprint arXiv:2604.21748,,,no,UPGRADE,register 'Preprint/technical report'; strong archival evidence 'Proceedings of the 64th Annual Meeting of the Association for Computational Linguistics (Volume 2: Short Papers)',StructMem: Structured Memory for Long-Horizon Behavior in LLMs,Proceedings of the 64th Annual Meeting of the Association for Computational Linguistics (Volume 2: Short Papers),2026,10.18653/v1/2026.acl-short.12,openalex:title | openalex:title | openalex:title | openalex:title | crossref:title,openalex:title: DOI prefix 10.18653 (ACL Anthology) | openalex:title: pages 122-146 | crossref:title: crossref type=proceedings-article venue='Proceedings of the 64th Annual Meeting of the Association for Computational Linguistics (Volume 2: Short Papers)',no,A3,PENDING,,,,,1.0000,yes,yes,A3_STRONG_TITLE_DOI
309,Grounded Language Agent for Product Search via Intelligent Web Interactions,Unconfirmed,ACL Workshop CustomNLP4U 2024,,,no,UPGRADE,"register 'Unconfirmed'; strong archival evidence 'Proceedings of the 1st Workshop on Customizable NLP: Progress and Challenges in Customizing NLP for a Domain, Application, Group, or Individual (CustomNLP4U)'",Grounded Language Agent for Product Search via Intelligent Web Interactions,"Proceedings of the 1st Workshop on Customizable NLP: Progress and Challenges in Customizing NLP for a Domain, Application, Group, or Individual (CustomNLP4U)",2024,10.18653/v1/2024.customnlp4u-1.7,openalex:title | openalex:title | crossref:title,"openalex:title: DOI prefix 10.18653 (ACL Anthology) | openalex:title: pages 63-75 | crossref:title: crossref type=proceedings-article venue='Proceedings of the 1st Workshop on Customizable NLP: Progress and Challenges in Customizing NLP for a Domain, Application, Group, or Individual (CustomNLP4U)'",no,A3,PENDING,,,,,1.0000,yes,yes,A3_STRONG_TITLE_DOI
325,Embodied Web Agents Bridging Physical-Digital Realms for Integrated Agent Intelligence,Preprint/technical report,arXiv preprint / under review,,,no,UPGRADE,register 'Preprint/technical report'; strong archival evidence 'Advances in Neural Information Processing Systems 38',Embodied Web Agents: Bridging Physical-Digital Realms for Integrated Agent Intelligence,Advances in Neural Information Processing Systems 38,2025,10.52202/085713-1585,openalex:title | crossref:title,openalex:title: DOI prefix 10.52202 (NeurIPS/PMLR) | openalex:title: pages 53031-53050 | crossref:title: crossref type=proceedings-article venue='Advances in Neural Information Processing Systems 38',no,A3,PENDING,,,,,1.0000,yes,yes,A3_STRONG_TITLE_DOI
360,EconWebArena Benchmarking Autonomous Agents on Economic Tasks in Realistic Web Environments,Workshop/conditional,NeurIPS 2025 Workshop on Generative AI in Finance,arXiv:2506.08136,,no,UPGRADE,"register 'Workshop/conditional'; strong archival evidence 'Proceedings of the Fifth Workshop on Generation, Evaluation and Metrics (GEM)'",EconWebArena: Benchmarking Autonomous Agents on Economic Tasks in Realistic Web Environments,"Proceedings of the Fifth Workshop on Generation, Evaluation and Metrics (GEM)",2026,10.18653/v1/2026.gem-main.67,datacite:arxiv | openalex:title | openalex:title | crossref:title,"openalex:title: DOI prefix 10.18653 (ACL Anthology) | openalex:title: pages 779-796 | crossref:title: crossref type=proceedings-article venue='Proceedings of the Fifth Workshop on Generation, Evaluation and Metrics (GEM)'",no,A3,PENDING,,,,,1.0000,yes,yes,A3_STRONG_TITLE_DOI
390,Survey on Evaluation of LLM-based Agents,Preprint/technical report,arXiv (IBM),2503.16416,,no,UPGRADE,register 'Preprint/technical report'; strong archival evidence 'Findings of the Association for Computational Linguistics: ACL 2026',A Survey on Evaluation of LLM-based Agents,Findings of the Association for Computational Linguistics: ACL 2026,2026,10.18653/v1/2026.findings-acl.1330,datacite:arxiv | openalex:title | openalex:title | crossref:title,openalex:title: DOI prefix 10.18653 (ACL Anthology) | openalex:title: pages 26690-26714 | crossref:title: crossref type=proceedings-article venue='Findings of the Association for Computational Linguistics: ACL 2026',no,A3,PENDING,,,,,0.9756,no,yes,A3_STRONG_TITLE_DOI
455,MolmoWeb: Open Visual Web Agent and Open Data for the Open Web,Preprint/technical report,arXiv preprint arXiv:2604.08516,,,no,UPGRADE,register 'Preprint/technical report'; strong archival evidence 'Lecture Notes in Computer Science',MolmoWeb: Open Visual Web Agent and Open Data for the Open Web,Lecture Notes in Computer Science,2026,10.1007/978-3-032-37393-9_17,openalex:title | openalex:title | crossref:title,openalex:title: location[book series]='Lecture notes in computer science' | openalex:title: DOI prefix 10.1007 (Springer) | openalex:title: pages 275-292 | crossref:title: crossref type=book-chapter venue='Lecture Notes in Computer Science',no,A3,PENDING,,,,,1.0000,yes,yes,A3_STRONG_TITLE_DOI
488,WebDART: Dynamic Decomposition and Re-planning for Complex Web Tasks,Preprint/technical report,arXiv preprint arXiv:2510.06587,,,no,UPGRADE,register 'Preprint/technical report'; strong archival evidence 'Findings of the Association for Computational Linguistics: ACL 2026',WebDART: Dynamic Decomposition and Re-planning for Complex Web Tasks,Findings of the Association for Computational Linguistics: ACL 2026,2026,10.18653/v1/2026.findings-acl.568,openalex:title | openalex:title | crossref:title,openalex:title: DOI prefix 10.18653 (ACL Anthology) | openalex:title: pages 11696-11715 | crossref:title: crossref type=proceedings-article venue='Findings of the Association for Computational Linguistics: ACL 2026',no,A3,PENDING,,,,,1.0000,yes,yes,A3_STRONG_TITLE_DOI
509,AgentProg: Empowering Long-Horizon GUI Agents with Program-Guided Context Management,Preprint/technical report,,2512.10371,,no,UPGRADE,"register 'Preprint/technical report'; strong archival evidence 'Proceedings of the 24th Annual International Conference on Mobile Systems, Applications and Services'",AgentProg: Empowering Long-Horizon GUI Agents with Program-guided Context Management,"Proceedings of the 24th Annual International Conference on Mobile Systems, Applications and Services",2026,10.1145/3745756.3809245,datacite:arxiv | openalex:title | crossref:title,"openalex:title: DOI prefix 10.1145 (ACM) | openalex:title: pages 883-910 | crossref:title: crossref type=proceedings-article venue='Proceedings of the 24th Annual International Conference on Mobile Systems, Applications and Services'",no,A3,PENDING,,,,,1.0000,yes,yes,A3_STRONG_TITLE_DOI
544,INFINITEWEB: Scalable Web Environment Synthesis for GUI Agent Training,Preprint/technical report,arXiv preprint arXiv:2601.04126,,,no,UPGRADE,register 'Preprint/technical report'; strong archival evidence 'Proceedings of the 64th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers)',InfiniteWeb: Scalable Web Environment Synthesis for GUI Agent Training,Proceedings of the 64th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),2026,10.18653/v1/2026.acl-long.1313,openalex:title | openalex:title | openalex:title | openalex:title | crossref:title,openalex:title: DOI prefix 10.18653 (ACL Anthology) | openalex:title: pages 28465-28492 | crossref:title: crossref type=proceedings-article venue='Proceedings of the 64th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers)',no,A3,PENDING,,,,,1.0000,yes,yes,A3_STRONG_TITLE_DOI
583,GUI-G1 Understanding R1-Zero-Like Training for Visual Grounding in GUI Agents,Preprint/technical report,arXiv preprint arXiv:2505.15810,arXiv:2505.15810,,no,UPGRADE,register 'Preprint/technical report'; strong archival evidence 'Advances in Neural Information Processing Systems 38',GUI-G1: Understanding R1-Zero-Like Training for Visual Grounding in GUI Agents,Advances in Neural Information Processing Systems 38,2025,10.52202/085713-3201,datacite:arxiv | openalex:title | crossref:title,openalex:title: DOI prefix 10.52202 (NeurIPS/PMLR) | openalex:title: pages 106088-106110 | crossref:title: crossref type=proceedings-article venue='Advances in Neural Information Processing Systems 38',no,A3,PENDING,,,,,1.0000,yes,yes,A3_STRONG_TITLE_DOI
