record_id,section,priority,year,title,publication_status,status_category,venue,identifier,verification_source,bibliography_eligibility,note_quality,evidence_readiness,pages,canonical_status_detail,final_exclusion_reason
16,S2,P1,2024,Gemini 1.5- Unlocking multimodal understanding across millions of tokens of context,Preprint,Preprint/technical report,arXiv preprint arXiv:2403.05530,https://doi.org/10.48550/arXiv.2403.05530,Verified in final SLR bibliography,Not eligible under strict journal rule,A,Supplementary landscape only under strict WWW rule,,,
17,S2,P2,2020,BART Denoising Sequence-to-Sequence Pre-training for Natural Language Generation Translation and Comprehension,Published,Archival published,Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,https://doi.org/10.18653/v1/2020.acl-main.703,Verified in final SLR bibliography,Eligible if cited,B,Ready for claim-level use,,,
18,S2,P2,2020,Scaling Laws for Neural Language Models,Preprint,Preprint/technical report,arXiv preprint arXiv:2001.08361,arXiv:2001.08361,Verified in final SLR bibliography,Not eligible under strict journal rule,B,Supplementary landscape only under strict WWW rule,,,
19,S2,P2,2021,An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale,Published,Archival published,ICLR 2021,https://openreview.net/forum?id=YicbFdNTTy,Verified in final SLR bibliography,Eligible if cited,C,Usable after targeted full-text check,,Published — archival conference paper,
20,S2,P2,2022,Training Compute-Optimal Large Language Models,Published,Archival published,Advances in Neural Information Processing Systems,arXiv:2203.15556,Verified in final SLR bibliography,Eligible if cited,B,Ready for claim-level use,,,
21,S2,P2,2022,Flamingo: a Visual Language Model for Few-Shot Learning,Published,Archival published,NeurIPS 2022,https://proceedings.neurips.cc/paper_files/paper/2022/hash/960a172bc7fbf0177ccccbb411a7d800-Abstract-Conference.html,Verified in final SLR bibliography,Eligible if cited,C,Usable after targeted full-text check,,Published — archival conference paper,
22,S2,P2,2022,Emergent Abilities of Large Language Models,Published,Archival published,Transactions on Machine Learning Research,https://openreview.net/forum?id=yzkSU5zdwD,Verified in final SLR bibliography,Eligible if cited,C,Usable after targeted full-text check,,Published — archival journal paper,
23,S2,P2,2023,BLIP-2: Bootstrapping Language-Image Pre-training with Frozen Image Encoders and Large Language Models,Published,Archival published,"ICML 2023, PMLR 202",https://proceedings.mlr.press/v202/li23q.html,Verified in final SLR bibliography,Eligible if cited,C,Usable after targeted full-text check,,Published — archival conference paper,
24,S2,P2,2023,Language Is Not All You Need: Aligning Perception with Language Models,Published,Archival published,NeurIPS 2023,https://proceedings.neurips.cc/paper_files/paper/2023/hash/e425b75bac5742a008d643826428787c-Abstract-Conference.html,Verified in final SLR bibliography,Eligible if cited,C,Usable after targeted full-text check,,Published — archival conference paper,
25,S2,P2,2024,Multimodal Chain-of-Thought Reasoning in Language Models,Published,Archival published,Transactions on Machine Learning Research,https://openreview.net/forum?id=y1pPWFVfvR,Verified in final SLR bibliography,Eligible if cited,C,Usable after targeted full-text check,,Published — archival journal paper,
26,S2,P2,2023,PaLM-E: An Embodied Multimodal Language Model,Published,Archival published,"ICML 2023, PMLR 202",https://proceedings.mlr.press/v202/driess23a.html,Verified in final SLR bibliography,Eligible if cited,C,Usable after targeted full-text check,,Published — archival conference paper,
27,S2,P2,2023,SelfCheckGPT: Zero-Resource Black-Box Hallucination Detection for Generative Large Language Models,Published,Archival published,EMNLP 2023,https://doi.org/10.18653/v1/2023.emnlp-main.557,Verified in final SLR bibliography,Eligible if cited,C,Usable after targeted full-text check,,Published — archival conference paper,
28,S2,P2,2023,InstructBLIP: Towards General-purpose Vision-Language Models with Instruction Tuning,Published,Archival published,"Advances in Neural Information Processing Systems 36 (NeurIPS 2023), Main Conference Track",https://proceedings.neurips.cc/paper_files/paper/2023/hash/9a6a435e75419a836fe47ab6793623e6-Abstract-Conference.html,Verified in final SLR bibliography,Eligible if cited,C,Usable after targeted full-text check,,Published - archival conference paper,
29,S2,P2,2023,Llama 2- Open Foundation and Fine-Tuned Chat Models,Preprint,Preprint/technical report,arXiv preprint arXiv:2307.09288,arXiv:2307.09288,Verified in final SLR bibliography,Not eligible under strict journal rule,C,Supplementary landscape only under strict WWW rule,,,
30,S2,P2,2024,"Self-RAG: Learning to Retrieve, Generate, and Critique through Self-Reflection",Published,Archival published,The Twelfth International Conference on Learning Representations (ICLR 2024),https://openreview.net/forum?id=hSyW5go0v8,https://openreview.net/forum?id=hSyW5go0v8,Eligible if cited,C,Usable after targeted full-text check,,Published - archival conference paper,
31,S2,P2,2023,A Survey of Reasoning with Foundation Models,Preprint,Preprint/technical report,arXiv preprint arXiv:2312.11562,arXiv:2312.11562,Verified in final SLR bibliography,Not eligible under strict journal rule,C,Supplementary landscape only under strict WWW rule,,,
32,S2,P2,2024,Hallucination of Multimodal Large Language Models- A Survey,Preprint,Preprint/technical report,arXiv preprint arXiv:2404.18930,arXiv:2404.18930,Verified in final SLR bibliography,Not eligible under strict journal rule,C,Supplementary landscape only under strict WWW rule,,,
33,S2,P2,2024,The Llama 3 Herd of Models,Preprint,Preprint/technical report,arXiv preprint arXiv:2407.21783,arXiv:2407.21783,Verified in final SLR bibliography,Not eligible under strict journal rule,C,Supplementary landscape only under strict WWW rule,,,
34,S2,P2,2025,To CoT or Not to CoT? Chain-of-Thought Helps Mainly on Math and Symbolic Reasoning,Published,Archival published,International Conference on Learning Representations (ICLR 2025),https://openreview.net/forum?id=4hSaB8l9cB,https://openreview.net/,Eligible if cited,C,Usable after targeted full-text check,,Published - archival conference paper,
35,S2,P2,2024,LLMs Still Can't Plan; Can LRMs- A Preliminary Evaluation of OpenAI's o1 on PlanBench,Preprint,Preprint/technical report,arXiv preprint arXiv:2409.13373,arXiv:2409.13373,Verified in final SLR bibliography,Not eligible under strict journal rule,C,Supplementary landscape only under strict WWW rule,,,
36,S2,P2,2024,Retrieval Augmented Generation (RAG) and Beyond- A Comprehensive Survey on How to Make your LLMs use External Data More Wisely,Preprint / no confirmed archival venue,Preprint/technical report,arXiv preprint,,Checked in local evidence note,Not eligible under strict journal rule,C,Supplementary landscape only under strict WWW rule,,,
37,S2,P2,2025,Qwen2.5-VL Technical Report,Preprint,Preprint/technical report,arXiv preprint arXiv:2502.13923,arXiv:2502.13923,Verified in final SLR bibliography,Not eligible under strict journal rule,B,Supplementary landscape only under strict WWW rule,,,
38,S2,P2,2025,A Survey of Frontiers in LLM Reasoning Inference Scaling Learning to Reason and Agentic Systems,Published,Archival published,Transactions on Machine Learning Research,https://openreview.net/forum?id=frontierslLMreasoning,Verified in final SLR bibliography,Eligible if cited,B,Ready for claim-level use,,,
39,S2,P3,2020,How Can We Know What Language Models Know?,Published,Archival published,"Transactions of the Association for Computational Linguistics, Volume 8",https://doi.org/10.1162/tacl_a_00324,Verified in final SLR bibliography,Eligible if cited,Missing,Needs paper-specific evidence note,,Published — archival journal paper,
40,S2,P3,2020,How Much Knowledge Can You Pack Into the Parameters of a Language Model?,Published,Archival published,EMNLP 2020,https://doi.org/10.18653/v1/2020.emnlp-main.437,Verified in final SLR bibliography,Eligible if cited,Missing,Needs paper-specific evidence note,,Published — archival conference paper,
41,S2,P3,2020,Experience Grounds Language,Published,Archival published,EMNLP 2020,https://doi.org/10.18653/v1/2020.emnlp-main.703,Verified in final SLR bibliography,Eligible if cited,Missing,Needs paper-specific evidence note,,Published — archival conference paper,
42,S2,P3,2022,A Systematic Evaluation of Large Language Models of Code,Published workshop paper,Workshop/conditional,Proceedings of the 6th ACM SIGPLAN International Symposium on Machine Programming (Deep Learning for Code Workshop at ICLR 2022),,Verified in final SLR bibliography,Conditional - verify archival proceedings,Missing,Context only; verify archival status,,,
43,S2,P3,2022,A Review on Language Models as Knowledge Bases,Preprint,Preprint/technical report,arXiv preprint arXiv:2204.06031,,Verified in final SLR bibliography,Not eligible under strict journal rule,Missing,Supplementary landscape only under strict WWW rule,,,
44,S2,P3,2023,Selection-Inference: Exploiting Large Language Models for Interpretable Logical Reasoning,Published,Archival published,ICLR 2023,https://openreview.net/forum?id=3Pf3Wg6o-A4,Verified in final SLR bibliography,Eligible if cited,Missing,Needs paper-specific evidence note,,Published — archival conference paper,
45,S2,P3,2023,Training Language Models with Language Feedback at Scale,Preprint,Preprint/technical report,arXiv preprint arXiv:2303.16755,,Verified in final SLR bibliography,Not eligible under strict journal rule,A,Supplementary landscape only under strict WWW rule,,,
46,S2,P3,2023,Adapting Language Models to Compress Contexts,Published,Archival published,"Proceedings of the 2023 Conference on Empirical Methods in Natural Language Processing, pages 3829-3846",https://doi.org/10.18653/v1/2023.emnlp-main.232,Verified in final SLR bibliography,Eligible if cited,Missing,Needs paper-specific evidence note,,Published - archival conference paper,
47,S2,P3,2023,AlpacaFarm: A Simulation Framework for Methods that Learn from Human Feedback,Published,Archival published,"Advances in Neural Information Processing Systems 36 (NeurIPS 2023), Main Conference Track",https://proceedings.neurips.cc/paper_files/paper/2023/hash/5fc47800ee5b30b8777fdd30abcaaf3b-Abstract-Conference.html,Verified in final SLR bibliography,Eligible if cited,Missing,Needs paper-specific evidence note,,Published - archival conference paper,
48,S2,P3,2023,Random-Access Infinite Context Length for Transformers,Published,Archival published,"Advances in Neural Information Processing Systems 36 (NeurIPS 2023), Main Conference Track",https://proceedings.neurips.cc/paper_files/paper/2023/hash/ab05dc8bf36a9f66edbff6992ec86f56-Abstract-Conference.html,Verified in final SLR bibliography,Eligible if cited,Missing,Needs paper-specific evidence note,,Published - archival conference paper,
49,S2,P3,2024,SelfCheck: Using LLMs to Zero-Shot Check Their Own Step-by-Step Reasoning,Published,Archival published,"The Twelfth International Conference on Learning Representations (ICLR 2024), Poster",https://openreview.net/forum?id=pTHfApDakA,Verified in final SLR bibliography,Eligible if cited,Missing,Needs paper-specific evidence note,,Published - archival conference paper,
50,S2,P3,2024,Chain-of-Verification Reduces Hallucination in Large Language Models,Published,Archival published,"Findings of the Association for Computational Linguistics: ACL 2024, pages 3563-3578",https://doi.org/10.18653/v1/2024.findings-acl.212,https://aclanthology.org/2024.findings-acl.212/,Eligible if cited,Missing,Needs paper-specific evidence note,,Published - archival conference paper,
51,S2,P3,2024,FreshLLMs: Refreshing Large Language Models with Search Engine Augmentation,Published,Archival published,"Findings of the Association for Computational Linguistics: ACL 2024, pages 13697-13720",https://doi.org/10.18653/v1/2024.findings-acl.813,https://aclanthology.org/2024.findings-acl.813/,Eligible if cited,Missing,Needs paper-specific evidence note,,Published - archival conference paper,
52,S2,P3,2023,Learning From Mistakes Makes LLM Better Reasoner,Preprint,Preprint/technical report,arXiv preprint arXiv:2310.20689,,Verified in final SLR bibliography,Not eligible under strict journal rule,Missing,Supplementary landscape only under strict WWW rule,,,
53,S2,P3,2024,Exploring the Reasoning Abilities of Multimodal Large Language Models (MLLMs)- A Comprehensive Survey on Emerging Trends in Multimodal Reasoning,Preprint,Preprint/technical report,arXiv preprint,,Verified in final SLR bibliography,Not eligible under strict journal rule,C,Supplementary landscape only under strict WWW rule,,,
54,S2,P3,2024,Video as the New Language for Real-World Decision Making,Preprint,Preprint/technical report,arXiv preprint arXiv:2402.17139,,Verified in final SLR bibliography,Not eligible under strict journal rule,Missing,Supplementary landscape only under strict WWW rule,,,
55,S2,P3,2024,A Critical Evaluation of AI Feedback for Aligning Large Language Models,Published,Archival published,"Advances in Neural Information Processing Systems 37 (NeurIPS 2024), Main Conference Track",https://proceedings.neurips.cc/paper_files/paper/2024/hash/33870b3e099880cd8e705cd07173ac27-Abstract-Conference.html,https://proceedings.neurips.cc/paper_files/paper/2024/hash/33870b3e099880cd8e705cd07173ac27-Abstract-Conference.html,Eligible if cited,Missing,Needs paper-specific evidence note,,Published - archival conference paper,
56,S2,P3,2024,RAT- Retrieval Augmented Thoughts Elicit Context-Aware Reasoning in Long-Horizon Generation,Preprint,Preprint/technical report,arXiv preprint arXiv:2403.05313,,Verified in final SLR bibliography,Not eligible under strict journal rule,Missing,Supplementary landscape only under strict WWW rule,,,
57,S2,P3,2025,Beyond Chain-of-Thought: A Survey of Chain-of-X Paradigms for LLMs,Published,Archival published,"Proceedings of the 31st International Conference on Computational Linguistics (COLING 2025), pages 10795–10809",https://doi.org/10.18653/v1/2025.coling-main.719,https://aclanthology.org/2025.coling-main.719/,Eligible if cited,Missing,Needs paper-specific evidence note,,Published - archival conference survey,
58,S2,P3,2024,Can Small Language Models Help Large Language Models Reason Better?: LM-Guided Chain-of-Thought,Published,Archival published,"Proceedings of LREC-COLING 2024, pages 2835–2843",https://aclanthology.org/2024.lrec-main.252/,https://aclanthology.org/2024.lrec-main.252/,Eligible if cited,Missing,Needs paper-specific evidence note,,Published - archival conference paper,
59,S2,P3,2024,Mind's Eye of LLMs- Visualization-of-Thought- Elicits Spatial Reasoning in Large Language Models,Published,Archival published,Advances in Neural Information Processing Systems,,Verified in final SLR bibliography,Eligible if cited,A,Ready for claim-level use,,,
60,S2,P3,2024,"Are Long-LLMs A Necessity For Long-Context Tasks- Hongjin Qian1,2, Zheng Liu2∗, Peitian Zhang1, Kelong Mao1, Yujia Zhou1",Preprint,Preprint/technical report,arXiv preprint arXiv:2405.15318,,Verified in final SLR bibliography,Not eligible under strict journal rule,Missing,Supplementary landscape only under strict WWW rule,,,
61,S2,P3,2024,Buffer of Thoughts: Thought-Augmented Reasoning with Large Language Models,Published,Archival published,Advances in Neural Information Processing Systems 37 (NeurIPS 2024),https://doi.org/10.52202/079017-3607,https://proceedings.neurips.cc/,Eligible if cited,Missing,Needs paper-specific evidence note,,Published - archival conference paper,
62,S2,P3,2024,"Retrieving, Rethinking and Revising: The Chain-of-Verification Can Improve Retrieval Augmented Generation",Published,Archival published,Findings of the Association for Computational Linguistics: EMNLP 2024,https://doi.org/10.18653/v1/2024.findings-emnlp.607,https://aclanthology.org/2024.findings-emnlp.607/,Eligible if cited,Missing,Needs paper-specific evidence note,,Published - archival conference paper,
63,S2,P3,2025,Thinking LLMs: General Instruction Following with Thought Generation,Published,Archival published,"Proceedings of the 42nd International Conference on Machine Learning (ICML 2025), PMLR 267",https://proceedings.mlr.press/v267/wu25o.html,https://proceedings.mlr.press/v267/wu25o.html,Eligible if cited,Missing,Needs paper-specific evidence note,,Published - archival conference paper,
64,S2,P3,2025,PRefLexOR: Preference-based Recursive Language Modeling for Exploratory Optimization of Reasoning and Agentic Thinking,Published,Archival published,"npj Artificial Intelligence, Volume 1, Article 4",https://doi.org/10.1038/s44387-025-00003-z,https://doi.org/10.1038/s44387-025-00003-z,Eligible if cited,Missing,Needs paper-specific evidence note,,Published - archival journal article,
65,S2,P3,2025,Benchmarking Multimodal Retrieval Augmented Generation with Dynamic VQA Dataset and Self-Adaptive Planning Agent,Accepted,Archival accepted,International Conference on Learning Representations (ICLR 2025),https://openreview.net/forum?id=VvDEuyVXkG,https://openreview.net/forum?id=VvDEuyVXkG,Eligible if cited,Missing,Needs paper-specific evidence note,,Published - archival conference paper,
66,S2,P3,2025,Command A- An Enterprise-Ready Large Language Model,Preprint,Preprint/technical report,arXiv preprint,,Verified in final SLR bibliography,Not eligible under strict journal rule,Missing,Supplementary landscape only under strict WWW rule,,,
67,S2,P3,2025,DeepSeek-R1 Thoughtology- Let’s -think- about LLM reasoning,Preprint-only,Preprint/technical report,,2504.07128,External venue audit: compass_artifact_wf-ff807bfc-4f1e-5eb3-9b2e-e812ae5796a1_text_markdown.md,Not eligible under strict journal rule,Missing,Supplementary landscape only under strict WWW rule,,,
68,S3,P0,2023,ReAct- Synergizing Reasoning and Acting in Language Models,Published,Archival published,International Conference on Learning Representations,,Verified in ACM survey,Eligible if cited,A,Ready for claim-level use,,,
69,S3,P0,2023,Reflexion- Language Agents with Verbal Reinforcement Learning,Published,Archival published,Advances in NeurIPS,,Verified in ACM survey,Eligible if cited,A,Ready for claim-level use,,,
70,S3,P0,2023,Toolformer- Language Models Can Teach Themselves to Use Tools,Published,Archival published,Advances in NeurIPS,,Verified in ACM survey,Eligible if cited,A,Ready for claim-level use,,,
71,S3,P1,2022,MRKL Systems A modular neuro-symbolic architecture that combines large language models external knowledge sources and discrete reasoning,Preprint,Preprint/technical report,arXiv preprint arXiv:2205.00445,https://doi.org/10.48550/arXiv.2205.00445,Verified in final SLR bibliography,Not eligible under strict journal rule,A,Supplementary landscape only under strict WWW rule,,,
72,S3,P1,2023,Tree of Thoughts- Deliberate Problem Solving with Large Language Models,Preprint,Preprint/technical report,arXiv preprint arXiv:2305.10601,https://doi.org/10.48550/arXiv.2305.10601,Verified in final SLR bibliography,Not eligible under strict journal rule,A,Supplementary landscape only under strict WWW rule,,,
73,S3,P1,2024,Cognitive Architectures for Language Agents,Published,Archival published,TMLR,arXiv:2309.02427,Verified in ACM survey,Eligible if cited,A,Ready for claim-level use,,,
74,S3,P1,2025,The Rise and Potential of Large Language Model Based Agents A Survey,Published,Archival published,Sci. China Inf. Sci.,https://doi.org/10.1007/s11432-024-4222-0,Verified in ACM survey,Eligible if cited,A,Ready for claim-level use,,,
75,S3,P1,2024,Language Agent Tree Search Unifies Reasoning Acting and Planning in Language Models,Published,Archival published,Proceedings of ICML,,Verified in ACM survey,Eligible if cited,A,Ready for claim-level use,,,
76,S3,P1,2024,A Survey on Large Language Model based Autonomous Agents,Published,Archival published,Front. Comput. Sci.,https://doi.org/10.1007/s11704-024-40231-1,Verified in ACM survey,Eligible if cited,A,Ready for claim-level use,,,
77,S3,P2,2022,TALM Tool Augmented Language Models,Preprint / no confirmed archival venue,Preprint/technical report,arXiv / preprint,,Checked in local evidence note,Not eligible under strict journal rule,C,Supplementary landscape only under strict WWW rule,,,
78,S3,P2,2023,Self-Refine: Iterative Refinement with Self-Feedback,Published,Archival published,NeurIPS 2023,https://proceedings.neurips.cc/paper_files/paper/2023/hash/91edff07232fb1b55a505a9e9f6c0ff3-Abstract-Conference.html,Verified in final SLR bibliography,Eligible if cited,C,Usable after targeted full-text check,,Published — archival conference paper,
79,S3,P2,2023,ART: Automatic Multi-step Reasoning and Tool-use for Large Language Models,Published,Archival published,EMNLP 2023,https://doi.org/10.18653/v1/2023.emnlp-main.190,Verified in final SLR bibliography,Eligible if cited,C,Usable after targeted full-text check,,Published — archival conference paper,
80,S3,P2,2023,HuggingGPT: Solving AI Tasks with ChatGPT and its Friends in Hugging Face,Published,Archival published,NeurIPS 2023,https://proceedings.neurips.cc/paper_files/paper/2023/hash/77c33e6a367922d003ff102ffb92b658-Abstract-Conference.html,Verified in final SLR bibliography,Eligible if cited,C,Usable after targeted full-text check,,Published — archival conference paper,
81,S3,P2,2023,Language Models can Solve Computer Tasks,Preprint / no confirmed archival venue,Preprint/technical report,arXiv / preprint,,Checked in local evidence note,Not eligible under strict journal rule,C,Supplementary landscape only under strict WWW rule,,,
82,S3,P2,2023,MM-REACT Prompting ChatGPT for Multimodal Reasoning and Action,Preprint / no confirmed archival venue,Preprint/technical report,arXiv / preprint,,Checked in local evidence note,Not eligible under strict journal rule,C,Supplementary landscape only under strict WWW rule,,,
83,S3,P2,2023,TaskMatrix.AI Completing Tasks by Connecting Foundation Models with Millions of APIs,Preprint / no confirmed archival venue,Preprint/technical report,arXiv / Microsoft technical report,,Checked in local evidence note,Not eligible under strict journal rule,C,Supplementary landscape only under strict WWW rule,,,
84,S3,P2,2023,ViperGPT: Visual Inference via Python Execution for Reasoning,Published,Archival published,ICCV 2023,https://doi.org/10.1109/ICCV51070.2023.01092,Verified in final SLR bibliography,Eligible if cited,C,Usable after targeted full-text check,,Published — archival conference paper,
85,S3,P2,2023,API-Bank: A Comprehensive Benchmark for Tool-Augmented LLMs,Published,Archival published,EMNLP 2023,https://doi.org/10.18653/v1/2023.emnlp-main.187,Verified in final SLR bibliography,Eligible if cited,C,Usable after targeted full-text check,,Published — archival conference paper,
86,S3,P2,2023,Generative Agents: Interactive Simulacra of Human Behavior,Published,Archival published,UIST 2023,https://doi.org/10.1145/3586183.3606763,Verified in final SLR bibliography,Eligible if cited,C,Usable after targeted full-text check,,Published — archival conference paper,
87,S3,P2,2023,LLM+P- Empowering Large Language Models with Optimal Planning Proficiency,Preprint / no confirmed archival venue,Preprint/technical report,arXiv / planning preprint,,Checked in local evidence note,Not eligible under strict journal rule,C,Supplementary landscape only under strict WWW rule,,,
89,S3,P2,2023,Chameleon: Plug-and-Play Compositional Reasoning with Large Language Models,Published,Archival published,NeurIPS 2023,https://proceedings.neurips.cc/paper_files/paper/2023/hash/871ed095b734818cfba48db6aeb25a62-Abstract-Conference.html,Verified in final SLR bibliography,Eligible if cited,C,Usable after targeted full-text check,,Published — archival conference paper,
90,S3,P2,2023,Tool Learning with Foundation Models,Preprint / no confirmed archival venue,Preprint/technical report,arXiv / survey,,Checked in local evidence note,Not eligible under strict journal rule,B,Supplementary landscape only under strict WWW rule,,,
91,S3,P2,2023,AdaPlanner Adaptive Planning from Feedback with Language Models,Preprint / no confirmed archival venue,Preprint/technical report,arXiv / preprint,,Checked in local evidence note,Not eligible under strict journal rule,C,Supplementary landscape only under strict WWW rule,,,
92,S3,P2,2024,Gorilla: Large Language Model Connected with Massive APIs,Published,Archival published,"Advances in Neural Information Processing Systems 37 (NeurIPS 2024), Main Conference Track",https://proceedings.neurips.cc/paper_files/paper/2024/hash/e4c61f578ff07830f5c37378dd3ecb0d-Abstract-Conference.html,Verified in final SLR bibliography,Eligible if cited,C,Usable after targeted full-text check,,Published - archival conference paper,
93,S3,P2,2023,Interactive Natural Language Processing,Preprint / no confirmed archival venue,Preprint/technical report,arXiv / survey-style paper,,Checked in local evidence note,Not eligible under strict journal rule,B,Supplementary landscape only under strict WWW rule,,,
94,S3,P2,2024,Large Language Models as Tool Makers,Published,Archival published,The Twelfth International Conference on Learning Representations (ICLR 2024),https://openreview.net/forum?id=qV83K9d5WB,Verified in final SLR bibliography,Eligible if cited,C,Usable after targeted full-text check,,Published - archival conference paper,
95,S3,P2,2024,MemoryBank: Enhancing Large Language Models with Long-Term Memory,Published,Archival published,"Proceedings of the AAAI Conference on Artificial Intelligence, 38(17), 19724-19731",https://doi.org/10.1609/aaai.v38i17.29946,Verified in final SLR bibliography,Eligible if cited,C,Usable after targeted full-text check,,Published - archival conference paper,
96,S3,P2,2023,Reasoning with Language Model is Planning with World Model,Published,Archival published,"Proceedings of the 2023 Conference on Empirical Methods in Natural Language Processing, pages 8154-8173",https://doi.org/10.18653/v1/2023.emnlp-main.507,Verified in final SLR bibliography,Eligible if cited,C,Usable after targeted full-text check,,Published - archival conference paper,
97,S3,P2,2023,RestGPT Connecting Large Language Models with Real-World RESTful APIs,Preprint / no confirmed archival venue,Preprint/technical report,arXiv / preprint,,Checked in local evidence note,Not eligible under strict journal rule,C,Supplementary landscape only under strict WWW rule,,,
98,S3,P2,2024,ToolLLM: Facilitating Large Language Models to Master 16000+ Real-World APIs,Published,Archival published,The Twelfth International Conference on Learning Representations (ICLR 2024),https://openreview.net/forum?id=dHng2O0Jjr,Verified in final SLR bibliography,Eligible if cited,C,Usable after targeted full-text check,,Published - archival conference paper,
99,S3,P2,2023,AutoDroid- LLM-powered Task Automation in Android,Preprint / no confirmed archival venue,Preprint/technical report,arXiv / preprint,,Checked in local evidence note,Not eligible under strict journal rule,C,Supplementary landscape only under strict WWW rule,,,
100,S3,P2,2023,Tool Documentation Enables Zero-Shot Tool-Usage with Large Language Models,Preprint / no confirmed archival venue,Preprint/technical report,arXiv / preprint,,Checked in local evidence note,Not eligible under strict journal rule,C,Supplementary landscape only under strict WWW rule,,,
101,S3,P2,2023,AutoGen Enabling Next-Gen LLM Applications via Multi-Agent Conversation,Preprint,Preprint/technical report,arXiv preprint arXiv:2308.08155,arXiv:2308.08155,Verified in final SLR bibliography,Not eligible under strict journal rule,C,Supplementary landscape only under strict WWW rule,,,
102,S3,P2,2024,ExpeL: LLM Agents Are Experiential Learners,Published,Archival published,"Proceedings of the AAAI Conference on Artificial Intelligence, 38(17), 19632-19642",https://doi.org/10.1609/aaai.v38i17.29936,Verified in final SLR bibliography,Eligible if cited,C,Usable after targeted full-text check,,Published - archival conference paper,
103,S3,P2,2024,MetaGPT: Meta Programming for A Multi-Agent Collaborative Framework,Published,Archival published,"The Twelfth International Conference on Learning Representations (ICLR 2024), Oral",https://openreview.net/forum?id=VtmBAGCN7o,Verified in ACM survey,Eligible if cited,C,Usable after targeted full-text check,,Published - archival conference paper,
104,S3,P2,2023,Retroformer Retrospective Large Language Agents with Policy Gradient Optimization,Preprint / no confirmed archival venue,Preprint/technical report,arXiv / preprint,,Checked in local evidence note,Not eligible under strict journal rule,C,Supplementary landscape only under strict WWW rule,,,
105,S3,P2,2023,An In-depth Survey of Large Language Model-based Artificial Intelligence Agents,Preprint / no confirmed archival venue,Preprint/technical report,arXiv / survey,,Checked in local evidence note,Not eligible under strict journal rule,B,Supplementary landscape only under strict WWW rule,,,
