record_id,title,priority,final_note,original_source,repository_source,source_sha256,source_bytes,source_lines,records_mapped_to_source,source_layout
20,Training Compute-Optimal Large Language Models,P2,notes/papers/0020.md,S2/P2/S2_P2_revised_paper_first_detailed_markdown_notes_all/S2_P2_04_Training_Compute-Optimal_Large_Language_Models.md,notes/original_sources/S2/P2/S2_P2_revised_paper_first_detailed_markdown_notes_all/S2_P2_04_Training_Compute-Optimal_Large_Language_Models.md,5336eb5ad92286b4ffa7149de1f3db33cbfd80778d4e5818627fe743e15c74f6,7620,232,1,standalone
21,Flamingo: a Visual Language Model for Few-Shot Learning,P2,notes/papers/0021.md,S2/P2/S2_P2_individual_paper_notes_markdown/S2_P2_Paper_05_Flamingo_a_Visual_Language_Model_for_Few-Shot_Learning.md,notes/original_sources/S2/P2/S2_P2_individual_paper_notes_markdown/S2_P2_Paper_05_Flamingo_a_Visual_Language_Model_for_Few-Shot_Learning.md,9579690d16d09dfd644d981883c965a8b4bcb9fedcd4f1319dbd002f07b70a93,3248,65,1,standalone
22,Emergent Abilities of Large Language Models,P2,notes/papers/0022.md,S2/P2/S2_P2_individual_paper_notes_markdown/S2_P2_Paper_06_Emergent_Abilities_of_Large_Language_Models.md,notes/original_sources/S2/P2/S2_P2_individual_paper_notes_markdown/S2_P2_Paper_06_Emergent_Abilities_of_Large_Language_Models.md,b3ccccaf6529bc721b39ceba57717d11c3c26bc9f21134a7846ba72f94ec70c5,3206,65,1,standalone
23,BLIP-2: Bootstrapping Language-Image Pre-training with Frozen Image Encoders and Large Language Models,P2,notes/papers/0023.md,S2/P2/S2_P2_individual_paper_notes_markdown/S2_P2_Paper_07_BLIP-2_Bootstrapping_Language-Image_Pre-training_with_Frozen_Image_Encoders_and_Large_Lang.md,notes/original_sources/S2/P2/S2_P2_individual_paper_notes_markdown/S2_P2_Paper_07_BLIP-2_Bootstrapping_Language-Image_Pre-training_with_Frozen_Image_Encoders_and_Large_Lang.md,82c56bcc21b9b386b34334c040df8d3875e671cdef76d7c2322b93421b2f346e,3199,65,1,standalone
24,Language Is Not All You Need: Aligning Perception with Language Models,P2,notes/papers/0024.md,S2/P2/S2_P2_revised_paper_first_detailed_markdown_notes/S2_P2_08_Language_Is_Not_All_You_Need_Aligning_Perception_with_Language_Models_KOSMOS-1.md,notes/original_sources/S2/P2/S2_P2_revised_paper_first_detailed_markdown_notes/S2_P2_08_Language_Is_Not_All_You_Need_Aligning_Perception_with_Language_Models_KOSMOS-1.md,6456c4da604388959f728faa547b905b2e99cf2a5b84d7540c2d9a36ce23f926,7830,232,1,standalone
25,Multimodal Chain-of-Thought Reasoning in Language Models,P2,notes/papers/0025.md,S2/P2/S2_P2_revised_paper_first_detailed_markdown_notes_all/S2_P2_09_Multimodal_Chain-of-Thought_Reasoning_in_Language_Models.md,notes/original_sources/S2/P2/S2_P2_revised_paper_first_detailed_markdown_notes_all/S2_P2_09_Multimodal_Chain-of-Thought_Reasoning_in_Language_Models.md,eff193e56300b8f6fa188dde967853f2d7225f817902353b3304bba63d62f804,7593,232,1,standalone
26,PaLM-E: An Embodied Multimodal Language Model,P2,notes/papers/0026.md,S2/P2/S2_P2_revised_paper_first_detailed_markdown_notes/S2_P2_10_PaLM-E_An_Embodied_Multimodal_Language_Model.md,notes/original_sources/S2/P2/S2_P2_revised_paper_first_detailed_markdown_notes/S2_P2_10_PaLM-E_An_Embodied_Multimodal_Language_Model.md,96a3004e0450acfd8e97739a85c232284d9ea7c8fe38b835af24820f6e687a69,7665,232,1,standalone
27,SelfCheckGPT: Zero-Resource Black-Box Hallucination Detection for Generative Large Language Models,P2,notes/papers/0027.md,S2/P2/S2_P2_individual_paper_notes_markdown/S2_P2_Paper_11_SelfCheckGPT_Zero-Resource_Black-Box_Hallucination_Detection_for_Generative_Large_Language.md,notes/original_sources/S2/P2/S2_P2_individual_paper_notes_markdown/S2_P2_Paper_11_SelfCheckGPT_Zero-Resource_Black-Box_Hallucination_Detection_for_Generative_Large_Language.md,8f30ceb8e855a2327898a624ef311ea4e2eb0f9ecec13020fc1fba6240b29bbf,3316,65,1,standalone
28,InstructBLIP: Towards General-purpose Vision-Language Models with Instruction Tuning,P2,notes/papers/0028.md,S2/P2/S2_P2_revised_paper_first_detailed_markdown_notes_all/S2_P2_12_InstructBLIP_Towards_General-purpose_Vision-Language_Models_with_Instruction_Tuning.md,notes/original_sources/S2/P2/S2_P2_revised_paper_first_detailed_markdown_notes_all/S2_P2_12_InstructBLIP_Towards_General-purpose_Vision-Language_Models_with_Instruction_Tuning.md,bebc6f9e3b37ea71a7e8a1afca5783eefc43aa13260d77f7b967efb4973479b9,7778,232,1,standalone
30,"Self-RAG: Learning to Retrieve, Generate, and Critique through Self-Reflection",P2,notes/papers/0030.md,S2/P2/S2_P2_revised_paper_first_detailed_markdown_notes_all/S2_P2_14_Self-RAG_Learning_to_Retrieve_Generate_and_Critique_through_Self-Reflection.md,notes/original_sources/S2/P2/S2_P2_revised_paper_first_detailed_markdown_notes_all/S2_P2_14_Self-RAG_Learning_to_Retrieve_Generate_and_Critique_through_Self-Reflection.md,f41e754ab9a1450201e94186d9839ad8dadcc7f3a50792a376c4010d9b3bd988,7571,232,1,standalone
34,To CoT or Not to CoT? Chain-of-Thought Helps Mainly on Math and Symbolic Reasoning,P2,notes/papers/0034.md,S2/P2/S2_P2_revised_paper_first_detailed_markdown_notes/S2_P2_18_To_CoT_or_not_to_CoT_Chain-of-thought_Helps_Mainly_on_Math_and_Symbolic_Reasoning.md,notes/original_sources/S2/P2/S2_P2_revised_paper_first_detailed_markdown_notes/S2_P2_18_To_CoT_or_not_to_CoT_Chain-of-thought_Helps_Mainly_on_Math_and_Symbolic_Reasoning.md,2a5918fc49658cdc0b3d27fc145d84886366a5cf120d161418c09e156e253cf3,7542,232,1,standalone
38,A Survey of Frontiers in LLM Reasoning Inference Scaling Learning to Reason and Agentic Systems,P2,notes/papers/0038.md,S2/P2/S2_P2_revised_paper_first_detailed_markdown_notes_all/S2_P2_22_A_Survey_of_Frontiers_in_LLM_Reasoning_Inference_Scaling_Learning_to_Reason_and_Agentic_Systems.md,notes/original_sources/S2/P2/S2_P2_revised_paper_first_detailed_markdown_notes_all/S2_P2_22_A_Survey_of_Frontiers_in_LLM_Reasoning_Inference_Scaling_Learning_to_Reason_and_Agentic_Systems.md,8a844717cad999361df1e8f2a2de6eec8c2494ac6c7d6e199304bf7e32ad4f8f,7988,232,1,standalone
39,How Can We Know What Language Models Know?,P3,notes/papers/0039.md,S2/P3/S2_P3_deep_notes_merged.md,notes/original_sources/S2/P3/S2_P3_deep_notes_merged.md,f23dce7395353f590c7cdc30ec0604e9fc264915175df4b1cd07002d05b34460,93327,1345,19,shared/merged
40,How Much Knowledge Can You Pack Into the Parameters of a Language Model?,P3,notes/papers/0040.md,S2/P3/S2_P3_deep_notes_merged.md,notes/original_sources/S2/P3/S2_P3_deep_notes_merged.md,f23dce7395353f590c7cdc30ec0604e9fc264915175df4b1cd07002d05b34460,93327,1345,19,shared/merged
41,Experience Grounds Language,P3,notes/papers/0041.md,S2/P3/S2_P3_deep_notes_merged.md,notes/original_sources/S2/P3/S2_P3_deep_notes_merged.md,f23dce7395353f590c7cdc30ec0604e9fc264915175df4b1cd07002d05b34460,93327,1345,19,shared/merged
44,Selection-Inference: Exploiting Large Language Models for Interpretable Logical Reasoning,P3,notes/papers/0044.md,S2/P3/S2_P3_deep_notes_merged.md,notes/original_sources/S2/P3/S2_P3_deep_notes_merged.md,f23dce7395353f590c7cdc30ec0604e9fc264915175df4b1cd07002d05b34460,93327,1345,19,shared/merged
46,Adapting Language Models to Compress Contexts,P3,notes/papers/0046.md,S2/P3/S2_P3_deep_notes_merged.md,notes/original_sources/S2/P3/S2_P3_deep_notes_merged.md,f23dce7395353f590c7cdc30ec0604e9fc264915175df4b1cd07002d05b34460,93327,1345,19,shared/merged
47,AlpacaFarm: A Simulation Framework for Methods that Learn from Human Feedback,P3,notes/papers/0047.md,S2/P3/S2_P3_deep_notes_merged.md,notes/original_sources/S2/P3/S2_P3_deep_notes_merged.md,f23dce7395353f590c7cdc30ec0604e9fc264915175df4b1cd07002d05b34460,93327,1345,19,shared/merged
48,Random-Access Infinite Context Length for Transformers,P3,notes/papers/0048.md,S2/P3/S2_P3_deep_notes_merged.md,notes/original_sources/S2/P3/S2_P3_deep_notes_merged.md,f23dce7395353f590c7cdc30ec0604e9fc264915175df4b1cd07002d05b34460,93327,1345,19,shared/merged
49,SelfCheck: Using LLMs to Zero-Shot Check Their Own Step-by-Step Reasoning,P3,notes/papers/0049.md,S2/P3/S2_P3_deep_notes_merged.md,notes/original_sources/S2/P3/S2_P3_deep_notes_merged.md,f23dce7395353f590c7cdc30ec0604e9fc264915175df4b1cd07002d05b34460,93327,1345,19,shared/merged
50,Chain-of-Verification Reduces Hallucination in Large Language Models,P3,notes/papers/0050.md,S2/P3/S2_P3_deep_notes_merged.md,notes/original_sources/S2/P3/S2_P3_deep_notes_merged.md,f23dce7395353f590c7cdc30ec0604e9fc264915175df4b1cd07002d05b34460,93327,1345,19,shared/merged
51,FreshLLMs: Refreshing Large Language Models with Search Engine Augmentation,P3,notes/papers/0051.md,S2/P3/S2_P3_deep_notes_merged.md,notes/original_sources/S2/P3/S2_P3_deep_notes_merged.md,f23dce7395353f590c7cdc30ec0604e9fc264915175df4b1cd07002d05b34460,93327,1345,19,shared/merged
55,A Critical Evaluation of AI Feedback for Aligning Large Language Models,P3,notes/papers/0055.md,S2/P3/S2_P3_deep_notes_merged.md,notes/original_sources/S2/P3/S2_P3_deep_notes_merged.md,f23dce7395353f590c7cdc30ec0604e9fc264915175df4b1cd07002d05b34460,93327,1345,19,shared/merged
57,Beyond Chain-of-Thought: A Survey of Chain-of-X Paradigms for LLMs,P3,notes/papers/0057.md,S2/P3/S2_P3_deep_notes_merged.md,notes/original_sources/S2/P3/S2_P3_deep_notes_merged.md,f23dce7395353f590c7cdc30ec0604e9fc264915175df4b1cd07002d05b34460,93327,1345,19,shared/merged
58,Can Small Language Models Help Large Language Models Reason Better?: LM-Guided Chain-of-Thought,P3,notes/papers/0058.md,S2/P3/S2_P3_deep_notes_merged.md,notes/original_sources/S2/P3/S2_P3_deep_notes_merged.md,f23dce7395353f590c7cdc30ec0604e9fc264915175df4b1cd07002d05b34460,93327,1345,19,shared/merged
59,Mind's Eye of LLMs- Visualization-of-Thought- Elicits Spatial Reasoning in Large Language Models,P3,notes/papers/0059.md,S2/P3/S2_P3_deep_notes_merged.md,notes/original_sources/S2/P3/S2_P3_deep_notes_merged.md,f23dce7395353f590c7cdc30ec0604e9fc264915175df4b1cd07002d05b34460,93327,1345,19,shared/merged
61,Buffer of Thoughts: Thought-Augmented Reasoning with Large Language Models,P3,notes/papers/0061.md,S2/P3/S2_P3_deep_notes_merged.md,notes/original_sources/S2/P3/S2_P3_deep_notes_merged.md,f23dce7395353f590c7cdc30ec0604e9fc264915175df4b1cd07002d05b34460,93327,1345,19,shared/merged
62,"Retrieving, Rethinking and Revising: The Chain-of-Verification Can Improve Retrieval Augmented Generation",P3,notes/papers/0062.md,S2/P3/S2_P3_deep_notes_merged.md,notes/original_sources/S2/P3/S2_P3_deep_notes_merged.md,f23dce7395353f590c7cdc30ec0604e9fc264915175df4b1cd07002d05b34460,93327,1345,19,shared/merged
63,Thinking LLMs: General Instruction Following with Thought Generation,P3,notes/papers/0063.md,S2/P3/S2_P3_deep_notes_merged.md,notes/original_sources/S2/P3/S2_P3_deep_notes_merged.md,f23dce7395353f590c7cdc30ec0604e9fc264915175df4b1cd07002d05b34460,93327,1345,19,shared/merged
64,PRefLexOR: Preference-based Recursive Language Modeling for Exploratory Optimization of Reasoning and Agentic Thinking,P3,notes/papers/0064.md,S2/P3/S2_P3_deep_notes_merged.md,notes/original_sources/S2/P3/S2_P3_deep_notes_merged.md,f23dce7395353f590c7cdc30ec0604e9fc264915175df4b1cd07002d05b34460,93327,1345,19,shared/merged
65,Benchmarking Multimodal Retrieval Augmented Generation with Dynamic VQA Dataset and Self-Adaptive Planning Agent,P3,notes/papers/0065.md,S2/P3/S2_P3_deep_notes_merged.md,notes/original_sources/S2/P3/S2_P3_deep_notes_merged.md,f23dce7395353f590c7cdc30ec0604e9fc264915175df4b1cd07002d05b34460,93327,1345,19,shared/merged
68,ReAct- Synergizing Reasoning and Acting in Language Models,P0,notes/papers/0068.md,markdowns_P0_P1_and_synthesis.md,notes/original_sources/markdowns_P0_P1_and_synthesis.md,38a507dce217ca6dbd0c9ed286eec443116dad6ff1148cdcb94418de252f07a0,2653878,72405,2,shared/merged
69,Reflexion- Language Agents with Verbal Reinforcement Learning,P0,notes/papers/0069.md,S3/P0/2023-03 - Reflexion- Language Agents with Verbal Reinforcement Learning -- v1.md,notes/original_sources/S3/P0/2023-03 - Reflexion- Language Agents with Verbal Reinforcement Learning -- v1.md,3a38ffd7b4a5811f91e13b72c77569bc2cb697f510718425056a73fa76f9c2a0,9043,186,1,standalone
70,Toolformer- Language Models Can Teach Themselves to Use Tools,P0,notes/papers/0070.md,S3/P0/2024-02 - Toolformer- Language Models Can Teach Themselves to Use Tools.md,notes/original_sources/S3/P0/2024-02 - Toolformer- Language Models Can Teach Themselves to Use Tools.md,64ac1b194e2d2b1265f4fa9eed5fbb3d6cf1dd3e41b6eecacad1f4884efffff1,9113,184,1,standalone
73,Cognitive Architectures for Language Agents,P1,notes/papers/0073.md,S3/P1/2023-09-Cognitive Architectures for Language Agents.md,notes/original_sources/S3/P1/2023-09-Cognitive Architectures for Language Agents.md,9c33c3945aa78eb3e684276db0367ff89f6efab5db96690325764b9f2dc78fdc,13619,448,1,standalone
74,The Rise and Potential of Large Language Model Based Agents A Survey,P1,notes/papers/0074.md,S3/P1/2023-09-The Rise and Potential of Large Language Model Based Agents A Survey.md,notes/original_sources/S3/P1/2023-09-The Rise and Potential of Large Language Model Based Agents A Survey.md,9b4e5894385697cfd7feb63912de53e1003f26535b9c76690639ac00b05c5535,13445,430,1,standalone
75,Language Agent Tree Search Unifies Reasoning Acting and Planning in Language Models,P1,notes/papers/0075.md,S3_global.md,notes/original_sources/S3_global.md,b5e97709b0f7d0f9d4217a1940385a766a7c528b0d9ad97cbf38b30f87a1998d,213275,5407,1,standalone
76,A Survey on Large Language Model based Autonomous Agents,P1,notes/papers/0076.md,S3/P1/2025-03 - A Survey on Large Language Model based Autonomous Agents.md,notes/original_sources/S3/P1/2025-03 - A Survey on Large Language Model based Autonomous Agents.md,2a0f5c12503939121316a6f9c470b9a803aac73a2e1b06d364ee3dcaa7f34f85,12866,472,1,standalone
78,Self-Refine: Iterative Refinement with Self-Feedback,P2,notes/papers/0078.md,S3/P2/S3_P2_revised_paper_first_detailed_markdown_notes/S3_P2_006_Self-Refine_Iterative_Refinement_with_Self-Feedback.md,notes/original_sources/S3/P2/S3_P2_revised_paper_first_detailed_markdown_notes/S3_P2_006_Self-Refine_Iterative_Refinement_with_Self-Feedback.md,9e16293cbe16f37b3f54c38631c972fed2c0d5f31be57403e94df67a17ebf1dc,7909,213,1,standalone
79,ART: Automatic Multi-step Reasoning and Tool-use for Large Language Models,P2,notes/papers/0079.md,S3/P2/S3_P2_revised_paper_first_detailed_markdown_notes_all/S3_P2_007_ART_Automatic_Multi-step_Reasoning_and_Tool-use_for_Large_Language_Models.md,notes/original_sources/S3/P2/S3_P2_revised_paper_first_detailed_markdown_notes_all/S3_P2_007_ART_Automatic_Multi-step_Reasoning_and_Tool-use_for_Large_Language_Models.md,f87d1f65f6b0fa94c379917677cd4b821c15cc50757c870feebfdabb311204ad,8223,217,1,standalone
80,HuggingGPT: Solving AI Tasks with ChatGPT and its Friends in Hugging Face,P2,notes/papers/0080.md,S3/P2/S3_P2_revised_paper_first_detailed_markdown_notes/S3_P2_004_HuggingGPT_Solving_AI_Tasks_with_ChatGPT_and_its_Friends_in_Hugging_Face.md,notes/original_sources/S3/P2/S3_P2_revised_paper_first_detailed_markdown_notes/S3_P2_004_HuggingGPT_Solving_AI_Tasks_with_ChatGPT_and_its_Friends_in_Hugging_Face.md,ff9a1687b2e40a5d7a03102a88903733db15337f5363c41bda84e8d9951ea1cb,8392,217,1,standalone
84,ViperGPT: Visual Inference via Python Execution for Reasoning,P2,notes/papers/0084.md,S3/P2/S3_P2_revised_paper_first_detailed_markdown_notes_all/S3_P2_011_ViperGPT_Visual_Inference_via_Python_Execution_for_Reasoning.md,notes/original_sources/S3/P2/S3_P2_revised_paper_first_detailed_markdown_notes_all/S3_P2_011_ViperGPT_Visual_Inference_via_Python_Execution_for_Reasoning.md,e40d7a390b28fb5e8b0e35163766208fb6a2c90e0837207159d5dd69517db4a6,7908,213,1,standalone
85,API-Bank: A Comprehensive Benchmark for Tool-Augmented LLMs,P2,notes/papers/0085.md,S3/P2/S3_P2_merged.md,notes/original_sources/S3/P2/S3_P2_merged.md,89e0364ee9ed90ceb7971ace37f1bb650b31b75a9bd25dc6c5fdcfbc5a18e676,1737057,44632,3,shared/merged
86,Generative Agents: Interactive Simulacra of Human Behavior,P2,notes/papers/0086.md,S3/P2/S3_P2_revised_paper_first_detailed_markdown_notes/S3_P2_013_Generative_Agents_Interactive_Simulacra_of_Human_Behavior.md,notes/original_sources/S3/P2/S3_P2_revised_paper_first_detailed_markdown_notes/S3_P2_013_Generative_Agents_Interactive_Simulacra_of_Human_Behavior.md,9e4402a710542dfaf245ee0b49edafc002d99890ad4b85f98ef444d60eceb158,8086,217,1,standalone
89,Chameleon: Plug-and-Play Compositional Reasoning with Large Language Models,P2,notes/papers/0089.md,S3/P2/S3_P2_revised_paper_first_detailed_markdown_notes/S3_P2_015_Chameleon_Plug-and-Play_Compositional_Reasoning_with_Large_Language_Models.md,notes/original_sources/S3/P2/S3_P2_revised_paper_first_detailed_markdown_notes/S3_P2_015_Chameleon_Plug-and-Play_Compositional_Reasoning_with_Large_Language_Models.md,66f7b5f7552e4269ca65a956b4ad69def8658437f866268db588e40e4adaff56,8179,217,1,standalone
92,Gorilla: Large Language Model Connected with Massive APIs,P2,notes/papers/0092.md,S3/P2/S3_P2_merged.md,notes/original_sources/S3/P2/S3_P2_merged.md,89e0364ee9ed90ceb7971ace37f1bb650b31b75a9bd25dc6c5fdcfbc5a18e676,1737057,44632,3,shared/merged
94,Large Language Models as Tool Makers,P2,notes/papers/0094.md,S3/P2/S3_P2_revised_paper_first_detailed_markdown_notes/S3_P2_020_Large_Language_Models_as_Tool_Makers.md,notes/original_sources/S3/P2/S3_P2_revised_paper_first_detailed_markdown_notes/S3_P2_020_Large_Language_Models_as_Tool_Makers.md,a0ff11f598f0f5e97d4dfeef25a7d8657ae3277f76ffa58e2dc950758a5f8150,7581,213,1,standalone
95,MemoryBank: Enhancing Large Language Models with Long-Term Memory,P2,notes/papers/0095.md,S3/P2/S3_P2_merged.md,notes/original_sources/S3/P2/S3_P2_merged.md,89e0364ee9ed90ceb7971ace37f1bb650b31b75a9bd25dc6c5fdcfbc5a18e676,1737057,44632,3,shared/merged
96,Reasoning with Language Model is Planning with World Model,P2,notes/papers/0096.md,S3/P2/S3_P2_revised_paper_first_detailed_markdown_notes/S3_P2_022_Reasoning_with_Language_Model_is_Planning_with_World_Model.md,notes/original_sources/S3/P2/S3_P2_revised_paper_first_detailed_markdown_notes/S3_P2_022_Reasoning_with_Language_Model_is_Planning_with_World_Model.md,9b8adac89b27501e00129d6b7f7eb06380369bd8a00214c2bbcf93e1c2b78097,8105,217,1,standalone
98,ToolLLM: Facilitating Large Language Models to Master 16000+ Real-World APIs,P2,notes/papers/0098.md,S3/P2/S3_P2_revised_paper_first_detailed_markdown_notes/S3_P2_024_ToolLLM_Facilitating_Large_Language_Models_to_Master_16000_Real-world_APIs.md,notes/original_sources/S3/P2/S3_P2_revised_paper_first_detailed_markdown_notes/S3_P2_024_ToolLLM_Facilitating_Large_Language_Models_to_Master_16000_Real-world_APIs.md,4917037255a1d13c015756d2f8fd3aa7b30b4638cb76e1b6a6beb5826fae74b9,8121,217,1,standalone
102,ExpeL: LLM Agents Are Experiential Learners,P2,notes/papers/0102.md,S3/P2/S3_P2_revised_paper_first_detailed_markdown_notes/S3_P2_028_ExpeL_LLM_Agents_Are_Experiential_Learners.md,notes/original_sources/S3/P2/S3_P2_revised_paper_first_detailed_markdown_notes/S3_P2_028_ExpeL_LLM_Agents_Are_Experiential_Learners.md,78d230fec1653e242c990b588f3f00a2cdfc2ee0c1c521af1bf9162942a8093e,7880,217,1,standalone
103,MetaGPT: Meta Programming for A Multi-Agent Collaborative Framework,P2,notes/papers/0103.md,S3/P2/S3_P2_revised_paper_first_detailed_markdown_notes/S3_P2_029_MetaGPT_Meta_Programming_for_A_Multi-Agent_Collaborative_Framework.md,notes/original_sources/S3/P2/S3_P2_revised_paper_first_detailed_markdown_notes/S3_P2_029_MetaGPT_Meta_Programming_for_A_Multi-Agent_Collaborative_Framework.md,ea7631fcadab26c16a720e5f466ef4e71b89708d813520275c8dc545f3b232e0,7972,213,1,standalone
114,An LLM Compiler for Parallel Function Calling,P2,notes/papers/0114.md,S3/P2/S3_P2_revised_paper_first_detailed_markdown_notes_all/S3_P2_040_An_LLM_Compiler_for_Parallel_Function_Calling.md,notes/original_sources/S3/P2/S3_P2_revised_paper_first_detailed_markdown_notes_all/S3_P2_040_An_LLM_Compiler_for_Parallel_Function_Calling.md,8d5f485ae1cf6fa750e10b2d5d24f2e380373251410d191ac72453eb10d3014d,7800,213,1,standalone
115,"Large Language Model based Multi-Agents- A Survey of Progress and Challenges Taicheng Guo1 , Xiuying Chen2 , Yaqi Wang3∗, Ruidi Chang , Shichao Pei4 ,",P2,notes/papers/0115.md,S3/P2/S3_P2_revised_paper_first_detailed_markdown_notes/S3_P2_042_Large_Language_Model_based_Multi-Agents_A_Survey_of_Progress_and_Challenges.md,notes/original_sources/S3/P2/S3_P2_revised_paper_first_detailed_markdown_notes/S3_P2_042_Large_Language_Model_based_Multi-Agents_A_Survey_of_Progress_and_Challenges.md,27b04cc70677f91473428f8321732a3956af6b9027b6cc9dc4d91ccced8dbf83,8206,217,1,standalone
