record_id,title,section,priority,initial_note_quality,audit_computed_source_quality,source_match_score,original_note_source,content_provenance,note_file,full_text_status,full_text_basis,pdf_pages,pdf_sha256,title_similarity,review_standard,claim_use_status
30,"Self-RAG: Learning to Retrieve, Generate, and Critique through Self-Reflection",S2,P2,C,A,1.000,S2/P2/S2_P2_revised_paper_first_detailed_markdown_notes_all/S2_P2_14_Self-RAG_Learning_to_Retrieve_Generate_and_Critique_through_Self-Reflection.md,current-cycle full-text remediation replacing templated historical note,notes/papers/0030.md,current-cycle full text independently read and title-checked from the ICLR/arXiv version,"Full paper; reflection-token construction, critic/generator training, adaptive retrieval, short/long-form evaluations, citation/factuality metrics, ablations and retrieval-frequency analysis reviewed",,,,"Complete structured reading focused on relevance, method, results, contributions, and limitations",paper-specific note ready for synthesis
34,To CoT or Not to CoT? Chain-of-Thought Helps Mainly on Math and Symbolic Reasoning,S2,P2,C,A,1.000,S2/P2/S2_P2_revised_paper_first_detailed_markdown_notes/S2_P2_18_To_CoT_or_not_to_CoT_Chain-of-thought_Helps_Mainly_on_Math_and_Symbolic_Reasoning.md,current-cycle full-text remediation replacing templated historical note,notes/papers/0034.md,current-cycle full text independently read and title-checked from the ICLR/arXiv version,"Full paper; literature meta-analysis, 20-dataset/14-model evaluation, reasoning-type breakdown, MMLU analyses, symbolic-solver comparison and token-cost analysis reviewed",,,,"Complete structured reading focused on relevance, method, results, contributions, and limitations",paper-specific note ready for synthesis
38,A Survey of Frontiers in LLM Reasoning Inference Scaling Learning to Reason and Agentic Systems,S2,P2,B,A,1.000,S2/P2/S2_P2_revised_paper_first_detailed_markdown_notes_all/S2_P2_22_A_Survey_of_Frontiers_in_LLM_Reasoning_Inference_Scaling_Learning_to_Reason_and_Agentic_Systems.md,current-cycle full-text remediation replacing templated historical note,notes/papers/0038.md,current-cycle full text independently read and title-checked from the complete survey,"Full survey; inference-time scaling, learning-to-reason, standalone/single-agent/multi-agent architectures, tools, reasoning data, optimization, evaluation and applications reviewed",,,,"Complete structured reading focused on relevance, method, results, contributions, and limitations",paper-specific note ready for synthesis
39,How Can We Know What Language Models Know?,S2,P3,Missing,B,1.000,S2/P3/S2_P3_deep_notes_merged.md,existing paper-specific note preserved after title and coverage audit,notes/papers/0039.md,current-cycle full text extracted and title-checked,15 extracted PDF pages; SHA-256 244eadf040ff2d50ed04f7d4f65e0326ff4d1b5b779b0566880b379db307dd3c; title similarity 1.0,15,244eadf040ff2d50ed04f7d4f65e0326ff4d1b5b779b0566880b379db307dd3c,1.0,"Complete structured reading focused on relevance, method, results, contributions, and limitations",paper-specific note ready for synthesis
40,How Much Knowledge Can You Pack Into the Parameters of a Language Model?,S2,P3,Missing,B,1.000,S2/P3/S2_P3_deep_notes_merged.md,existing paper-specific note preserved after title and coverage audit,notes/papers/0040.md,current-cycle full text extracted and title-checked,9 extracted PDF pages; SHA-256 5aea5ccf20ba384e29569d45f5284486d63f4d142899a94660ae26c25da50403; title similarity 1.0,9,5aea5ccf20ba384e29569d45f5284486d63f4d142899a94660ae26c25da50403,1.0,"Complete structured reading focused on relevance, method, results, contributions, and limitations",paper-specific note ready for synthesis
41,Experience Grounds Language,S2,P3,Missing,B,1.000,S2/P3/S2_P3_deep_notes_merged.md,existing paper-specific note preserved after title and coverage audit,notes/papers/0041.md,current-cycle full text extracted and title-checked,18 extracted PDF pages; SHA-256 c184243d6eb15aa66a634625a7cd4b807c9fd74969a46f7da9511e0fe52d7de3; title similarity 1.0,18,c184243d6eb15aa66a634625a7cd4b807c9fd74969a46f7da9511e0fe52d7de3,1.0,"Complete structured reading focused on relevance, method, results, contributions, and limitations",paper-specific note ready for synthesis
44,Selection-Inference: Exploiting Large Language Models for Interpretable Logical Reasoning,S2,P3,Missing,B,1.000,S2/P3/S2_P3_deep_notes_merged.md,existing paper-specific note preserved after title and coverage audit,notes/papers/0044.md,current-cycle full text extracted and title-checked,33 extracted PDF pages; SHA-256 a16d877577f3a18892bce263b5f29db145a574843347a6a2cf6f59566bd9525b; title similarity 1.0,33,a16d877577f3a18892bce263b5f29db145a574843347a6a2cf6f59566bd9525b,1.0,"Complete structured reading focused on relevance, method, results, contributions, and limitations",paper-specific note ready for synthesis
46,Adapting Language Models to Compress Contexts,S2,P3,Missing,B,1.000,S2/P3/S2_P3_deep_notes_merged.md,existing paper-specific note preserved after title and coverage audit,notes/papers/0046.md,current-cycle full text extracted and title-checked,18 extracted PDF pages; SHA-256 86798be320b3783e1c8977c98684f7b7810c6eba7f64eefb63b6afda7002a1ce; title similarity 1.0,18,86798be320b3783e1c8977c98684f7b7810c6eba7f64eefb63b6afda7002a1ce,1.0,"Complete structured reading focused on relevance, method, results, contributions, and limitations",paper-specific note ready for synthesis
47,AlpacaFarm: A Simulation Framework for Methods that Learn from Human Feedback,S2,P3,Missing,C,1.000,S2/P3/S2_P3_deep_notes_merged.md,existing paper-specific note preserved after title and coverage audit,notes/papers/0047.md,current-cycle full text extracted and title-checked,31 extracted PDF pages; SHA-256 7258d8f11817b04912dec72c8a57ceae6005d1d6905ffdf460db003c41c6180d; title similarity 1.0,31,7258d8f11817b04912dec72c8a57ceae6005d1d6905ffdf460db003c41c6180d,1.0,"Complete structured reading focused on relevance, method, results, contributions, and limitations",paper-specific note ready for synthesis
48,Random-Access Infinite Context Length for Transformers,S2,P3,Missing,B,1.000,S2/P3/S2_P3_deep_notes_merged.md,existing paper-specific note preserved after title and coverage audit,notes/papers/0048.md,current-cycle full text extracted and title-checked,19 extracted PDF pages; SHA-256 ed4fc9206451f70c23c1a564a16dd4c2960f72e2d6303cda362b751058cddc76; title similarity 1.0,19,ed4fc9206451f70c23c1a564a16dd4c2960f72e2d6303cda362b751058cddc76,1.0,"Complete structured reading focused on relevance, method, results, contributions, and limitations",paper-specific note ready for synthesis
49,SelfCheck: Using LLMs to Zero-Shot Check Their Own Step-by-Step Reasoning,S2,P3,Missing,B,1.000,S2/P3/S2_P3_deep_notes_merged.md,existing paper-specific note preserved after title and coverage audit,notes/papers/0049.md,current-cycle full text extracted and title-checked,15 extracted PDF pages; SHA-256 5626daebd6f6bcf1cfd8b93146b32b1a54ac12ca7d5a66f80b689c12ad42d11a; title similarity 0.973,15,5626daebd6f6bcf1cfd8b93146b32b1a54ac12ca7d5a66f80b689c12ad42d11a,0.973,"Complete structured reading focused on relevance, method, results, contributions, and limitations",paper-specific note ready for synthesis
50,Chain-of-Verification Reduces Hallucination in Large Language Models,S2,P3,Missing,C,1.000,S2/P3/S2_P3_deep_notes_merged.md,existing paper-specific note preserved after title and coverage audit,notes/papers/0050.md,current-cycle full text extracted and title-checked,16 extracted PDF pages; SHA-256 712e86c624918325cc7b34bfbae710094999b731e326bbce7a1146a71454e524; title similarity 1.0,16,712e86c624918325cc7b34bfbae710094999b731e326bbce7a1146a71454e524,1.0,"Complete structured reading focused on relevance, method, results, contributions, and limitations",paper-specific note ready for synthesis
51,FreshLLMs: Refreshing Large Language Models with Search Engine Augmentation,S2,P3,Missing,C,1.000,S2/P3/S2_P3_deep_notes_merged.md,existing paper-specific note preserved after title and coverage audit,notes/papers/0051.md,current-cycle full text extracted and title-checked,24 extracted PDF pages; SHA-256 0db9ab3cf92f9f2ce1642290123a415a509027b13ad699e992ad62ccb8ab487e; title similarity 0.961,24,0db9ab3cf92f9f2ce1642290123a415a509027b13ad699e992ad62ccb8ab487e,0.961,"Complete structured reading focused on relevance, method, results, contributions, and limitations",paper-specific note ready for synthesis
55,A Critical Evaluation of AI Feedback for Aligning Large Language Models,S2,P3,Missing,B,1.000,S2/P3/S2_P3_deep_notes_merged.md,existing paper-specific note preserved after title and coverage audit,notes/papers/0055.md,current-cycle full text extracted and title-checked,25 extracted PDF pages; SHA-256 3cc4a69e9a88931fd7cdd712c793f527ecbce292994b42b8241697452880f6f1; title similarity 1.0,25,3cc4a69e9a88931fd7cdd712c793f527ecbce292994b42b8241697452880f6f1,1.0,"Complete structured reading focused on relevance, method, results, contributions, and limitations",paper-specific note ready for synthesis
57,Beyond Chain-of-Thought: A Survey of Chain-of-X Paradigms for LLMs,S2,P3,Missing,C,1.000,S2/P3/S2_P3_deep_notes_merged.md,existing paper-specific note preserved after title and coverage audit,notes/papers/0057.md,current-cycle full text extracted and title-checked,15 extracted PDF pages; SHA-256 bbe2b92e933dd7b857b40cf7418d6f8d4c8412b8b0399c3c3a9d270abcb5fcb6; title similarity 1.0,15,bbe2b92e933dd7b857b40cf7418d6f8d4c8412b8b0399c3c3a9d270abcb5fcb6,1.0,"Complete structured reading focused on relevance, method, results, contributions, and limitations",paper-specific note ready for synthesis
58,Can Small Language Models Help Large Language Models Reason Better?: LM-Guided Chain-of-Thought,S2,P3,Missing,B,1.000,S2/P3/S2_P3_deep_notes_merged.md,existing paper-specific note preserved after title and coverage audit,notes/papers/0058.md,current-cycle full text extracted and title-checked,9 extracted PDF pages; SHA-256 fa8398fb6b9df688130afe842f18cd546ea1b2b4657de6acd6d5f166ab908b96; title similarity 1.0,9,fa8398fb6b9df688130afe842f18cd546ea1b2b4657de6acd6d5f166ab908b96,1.0,"Complete structured reading focused on relevance, method, results, contributions, and limitations",paper-specific note ready for synthesis
59,Mind's Eye of LLMs- Visualization-of-Thought- Elicits Spatial Reasoning in Large Language Models,S2,P3,A,C,1.000,S2/P3/S2_P3_deep_notes_merged.md,existing paper-specific note preserved after title and coverage audit,notes/papers/0059.md,existing review archive audited; no current-cycle PDF verification,Paper-specific substantive note retained from the supplied review archive; the repository does not store third-party PDFs,,,,"Complete structured reading focused on relevance, method, results, contributions, and limitations",paper-specific note retained for synthesis
61,Buffer of Thoughts: Thought-Augmented Reasoning with Large Language Models,S2,P3,Missing,B,1.000,S2/P3/S2_P3_deep_notes_merged.md,existing paper-specific note preserved after title and coverage audit,notes/papers/0061.md,current-cycle full text extracted and title-checked,21 extracted PDF pages; SHA-256 097723d68998bba9c75b7b2037c2acc94f40ef49cd075f2039f6dcfeb93c7b9e; title similarity 1.0,21,097723d68998bba9c75b7b2037c2acc94f40ef49cd075f2039f6dcfeb93c7b9e,1.0,"Complete structured reading focused on relevance, method, results, contributions, and limitations",paper-specific note ready for synthesis
62,"Retrieving, Rethinking and Revising: The Chain-of-Verification Can Improve Retrieval Augmented Generation",S2,P3,Missing,C,1.000,S2/P3/S2_P3_deep_notes_merged.md,existing paper-specific note preserved after title and coverage audit,notes/papers/0062.md,current-cycle full text extracted and title-checked,23 extracted PDF pages; SHA-256 4f896c19bbd39400aa33c60ed0402947e0e3d684ccd5919e179fbda80f0c62dd; title similarity 1.0,23,4f896c19bbd39400aa33c60ed0402947e0e3d684ccd5919e179fbda80f0c62dd,1.0,"Complete structured reading focused on relevance, method, results, contributions, and limitations",paper-specific note ready for synthesis
63,Thinking LLMs: General Instruction Following with Thought Generation,S2,P3,Missing,C,1.000,S2/P3/S2_P3_deep_notes_merged.md,existing paper-specific note preserved after title and coverage audit,notes/papers/0063.md,current-cycle full text extracted and title-checked,28 extracted PDF pages; SHA-256 a354a5939673f23f28cdb18a378b9c6259cc7efed2656ef84823dadf5e108bcc; title similarity 0.866,28,a354a5939673f23f28cdb18a378b9c6259cc7efed2656ef84823dadf5e108bcc,0.866,"Complete structured reading focused on relevance, method, results, contributions, and limitations",paper-specific note ready for synthesis
64,PRefLexOR: Preference-based Recursive Language Modeling for Exploratory Optimization of Reasoning and Agentic Thinking,S2,P3,Missing,C,1.000,S2/P3/S2_P3_deep_notes_merged.md,existing paper-specific note preserved after title and coverage audit,notes/papers/0064.md,current-cycle full text extracted and title-checked,38 extracted PDF pages; SHA-256 b3b1673f62fecb488778ab9064869ea93cc451b61e411f4cca7ec83e12f11f14; title similarity 1.0,38,b3b1673f62fecb488778ab9064869ea93cc451b61e411f4cca7ec83e12f11f14,1.0,"Complete structured reading focused on relevance, method, results, contributions, and limitations",paper-specific note ready for synthesis
65,Benchmarking Multimodal Retrieval Augmented Generation with Dynamic VQA Dataset and Self-Adaptive Planning Agent,S2,P3,Missing,B,1.000,S2/P3/S2_P3_deep_notes_merged.md,existing paper-specific note preserved after title and coverage audit,notes/papers/0065.md,current-cycle full text extracted and title-checked,23 extracted PDF pages; SHA-256 517bbb78855e23cc54eefdae8d4d60ab6508bfaac4ca16e785842f4235197815; title similarity 0.912,23,517bbb78855e23cc54eefdae8d4d60ab6508bfaac4ca16e785842f4235197815,0.912,"Complete structured reading focused on relevance, method, results, contributions, and limitations",paper-specific note ready for synthesis
68,ReAct- Synergizing Reasoning and Acting in Language Models,S3,P0,A,A,1.000,markdowns_P0_P1_and_synthesis.md,current-cycle full-text remediation and verification of historical note,notes/papers/0068.md,current-cycle full text independently read and title-checked from the ICLR/arXiv version,"Full paper; ReAct trajectory design, HotpotQA/FEVER, ALFWorld/WebShop, failure analysis, prompt/fine-tuning ablations, limitations, conclusion and prompts reviewed",,,,Deep critical analysis and detailed notes,paper-specific note ready for synthesis
69,Reflexion- Language Agents with Verbal Reinforcement Learning,S3,P0,A,A,1.000,S3/P0/2023-03 - Reflexion- Language Agents with Verbal Reinforcement Learning -- v1.md,current-cycle full-text remediation and verification of historical note,notes/papers/0069.md,current-cycle full text independently read and title-checked from the NeurIPS/arXiv version,"Full paper; verbal-reinforcement architecture, memory/evaluation, ALFWorld, HotPotQA, HumanEval/MBPP/LeetcodeHard, test-generation ablations, limitations and prompts reviewed",,,,Deep critical analysis and detailed notes,paper-specific note ready for synthesis
70,Toolformer- Language Models Can Teach Themselves to Use Tools,S3,P0,A,A,1.000,S3/P0/2024-02 - Toolformer- Language Models Can Teach Themselves to Use Tools.md,current-cycle full-text remediation and verification of historical note,notes/papers/0070.md,current-cycle full text independently read and title-checked from the NeurIPS/arXiv version,"Full paper; API sampling/execution/filtering, five tools, downstream results, perplexity/scaling, decoding analysis, limitations and prompts reviewed",,,,Deep critical analysis and detailed notes,paper-specific note ready for synthesis
73,Cognitive Architectures for Language Agents,S3,P1,A,A,1.000,S3/P1/2023-09-Cognitive Architectures for Language Agents.md,current-cycle full-text remediation and verification of historical note,notes/papers/0073.md,current-cycle full text independently read and title-checked from the TMLR/arXiv version,"Full paper; cognitive-architecture background, CoALA, memory/action taxonomies, decision cycle, agent mappings, open problems, safety and conclusion reviewed",,,,Deep critical analysis and detailed notes,paper-specific note ready for synthesis
74,The Rise and Potential of Large Language Model Based Agents A Survey,S3,P1,A,A,1.000,S3/P1/2023-09-The Rise and Potential of Large Language Model Based Agents A Survey.md,current-cycle full-text remediation,notes/papers/0074.md,current-cycle full text extracted and title-checked,86 extracted PDF pages; SHA-256 5e3b2357ff942e1a0e084ae4af3327011a651cf1f155d108065c70af369e24ac; title similarity 1.0,86,5e3b2357ff942e1a0e084ae4af3327011a651cf1f155d108065c70af369e24ac,1.0,Deep critical analysis and detailed notes,paper-specific note ready for synthesis
