record_id,title,priority,section,status_category,in_N_POOL,in_N_SYNTH,exclusion_reason
198,"A Survey on LLM-Based Multi-Agent Systems: Workflow, Infrastructure, and Challenges",P3,S3,Archival published,yes,yes,
200,Self-Discover- Large Language Models Self-Compose Reasoning Structures,P3,S3,Archival published,yes,yes,
201,"Position: Towards Unified Alignment Between Agents, Humans, and Environment",P3,S3,Archival published,yes,yes,
202,A Human-Inspired Reading Agent with Gist Memory of Very Long Contexts,P3,S3,Archival published,yes,yes,
203,When is Tree Search Useful for LLM Planning? It Depends on the Discriminator,P3,S3,Archival published,yes,yes,
204,"WorldCoder, a Model-Based LLM Agent: Building World Models by Writing Code and Interacting with the Environment",P3,S3,Archival published,yes,yes,
207,Can LLM-Augmented Autonomous Agents Cooperate? An Evaluation of Their Cooperative Capabilities Through Melting Pot,P3,S3,Archival published,yes,yes,
208,Language Guided Exploration for RL Agents in Text Environments,P3,S3,Archival published,yes,yes,
209,MAGIS: LLM-Based Multi-Agent Framework for GitHub Issue Resolution,P3,S3,Archival published,yes,yes,
210,Playing NetHack with LLMs: Potential & Limitations as Zero-Shot Agents,P3,S3,Archival published,yes,yes,
212,"Toward Self-Improvement of LLMs via Imagination, Searching, and Criticizing",P3,S3,Archival published,yes,yes,
213,360°REA: Towards Reusable Experience Accumulation with 360° Assessment for Multi-Agent Systems,P3,S3,Archival published,yes,yes,
214,A Survey on Large Language Model-Based Game Agents,P3,S3,Archival accepted,yes,yes,
215,AgentKit: Structured LLM Reasoning with Dynamic Graphs,P3,S3,Archival published,yes,yes,
216,Agent Planning with World Knowledge Model,P3,S3,Archival published,yes,yes,
219,Ask-before-Plan: Proactive Language Agents for Real-World Planning,P3,S3,Archival published,yes,yes,
220,"A Review of Prominent Paradigms for LLM-Based Agents: Tool Use (Including RAG), Planning, and Feedback Learning",P3,S3,Archival published,yes,yes,
221,Chain of Agents: Large Language Models Collaborating on Long-Context Tasks,P3,S3,Archival published,yes,yes,
222,FlowBench: Revisiting and Benchmarking Workflow-Guided Planning for LLM-based Agents,P3,S3,Archival published,yes,yes,
223,AriGraph: Learning Knowledge Graph World Models with Episodic Memory for LLM Agents,P3,S3,Archival published,yes,yes,
230,Planning in the Dark: LLM-Symbolic Planning Pipeline without Experts,P3,S3,Archival published,yes,yes,
231,PRACT: Optimizing Principled Reasoning and Acting of LLM Agent,P3,S3,Archival published,yes,yes,
232,Steering Large Language Models between Code Execution and Textual Reasoning,P3,S3,Archival published,yes,yes,
233,ACC-Collab: An Actor-Critic Approach to Multi-Agent LLM Collaboration,P3,S3,Archival published,yes,yes,
234,"AgentBank: Towards Generalized LLM Agents via Fine-Tuning on 50,000+ Interaction Trajectories",P3,S3,Archival published,yes,yes,
237,OPTIMA: Optimizing Effectiveness and Efficiency for LLM-Based Multi-Agent Systems,P3,S3,Archival published,yes,yes,
238,Proactive Agent: Shifting LLM Agents from Reactive Responses to Active Assistance,P3,S3,Archival published,yes,yes,
239,TaskBench: Benchmarking Large Language Models for Task Automation,P3,S3,Archival published,yes,yes,
242,EscapeBench: Towards Advancing Creative Intelligence of Language Model Agents,P3,S3,Archival published,yes,yes,
244,The Lighthouse of Language: Enhancing LLM Agents via Critique-Guided Improvement,P3,S3,Archival accepted,yes,yes,
247,LLMs are Greedy Agents: Effects of RL Fine-tuning on Decision-Making Abilities,P3,S3,Archival published,yes,yes,
249,"Meta-Agent-Workflow: Streamlining Tool Usage in LLMs through Workflow Construction, Retrieval, and Refinement",P3,S3,Archival published,yes,no,full-text access exception
262,Agentic Context Engineering: Evolving Contexts for Self-Improving Language Models,P3,S3,Archival published,yes,yes,
268,AgentOCR: Reimagining Agent History via Optical Self-Compression,P3,S3,Archival published,yes,yes,
274,"Data Agents: Levels, State of the Art, and Open Problems",P3,S3,Archival published,yes,yes,
279,World of Bits- An Open-Domain Platform for Web-Based Agents,P0,S4,Archival published,yes,yes,
281,WebShop- Towards Scalable Real-World Web Interaction with Grounded Language Agents,P0,S4,Archival published,yes,yes,
282,SeeAct- GPT-4V__ision__ is a Generalist Web Agent if Grounded,P0,S4,Archival published,yes,yes,
283,- WebVoyager- Building an End-to-End Web Agent with,P0,S4,Archival published,yes,yes,
284,Reinforcement Learning on Web Interfaces using Workflow-Guided Exploration,P1,S4,Archival published,yes,yes,
285,DOM-Q-NET- Grounded RL on Structured Language,P1,S4,Archival published,yes,yes,
286,A Real-World WebAgent with Planning Long Context Understanding and Program Synthesis,P1,S4,Archival published,yes,yes,
287,Large Language Model Powered Agents in the Web,P1,S4,Archival published,yes,yes,
288,AutoWebGLM: Bootstrap and Reinforce a Large Language Model-Based Web Navigating Agent,P1,S4,Archival published,yes,yes,
289,Agent S An Open Agentic Framework that Uses Computers Like a Human,P1,S4,Archival published,yes,yes,
295,Large Language Model-Brained GUI Agents- A Survey,P1,S4,Archival published,yes,yes,
297,A Survey of WebAgents- Towards Next-Generation AI Agents for Web Automation with Large Foundation Models,P1,S4,Archival published,yes,yes,
298,WALT- Web Agents that Learn Tools,P1,S4,Archival published,yes,yes,
299,Mapping Natural Language Instructions to Mobile UI Action Sequences,P2,S4,Archival published,yes,yes,
300,Grounding Open-Domain Instructions to Automate Web Support Tasks,P2,S4,Archival published,yes,yes,
302,WebGLM- Towards an Efficient Web-Enhanced Question Answering System with Human Preferences,P2,S4,Archival published,yes,yes,
303,A Zero-Shot Language Agent for Computer Control with Structured Reflection,P2,S4,Archival published,yes,yes,
305,AppAgent Multimodal Agents as Smartphone Users,P2,S4,Archival published,yes,yes,
307,Cradle Empowering Foundation Agents Towards General Computer Control,P2,S4,Archival published,yes,yes,
310,Automating the Enterprise with Foundation Models,P2,S4,Archival published,yes,yes,
311,OpenWebAgent- An Open Toolkit to Enable Web Agents on Large Language Models,P2,S4,Archival published,yes,yes,
313,Turn Every Application into an Agent- Towards Efficient Human-Agent-Computer Interaction with API-First LLM-Based Agents,P2,S4,Archival published,yes,yes,
318,ReachAgent Enhancing Mobile Agent via Page Reaching and Operation,P2,S4,Archival published,yes,yes,
319,LiteWebAgent The Open-Source Suite for VLM-Based Web-Agent Applications,P2,S4,Archival published,yes,yes,
320,LLM-Powered GUI Agents in Phone Automation- Surveying Progress and Prospects,P2,S4,Archival published,yes,yes,
321,WebThinker- Empowering Large Reasoning Models with Deep Research Capability,P2,S4,Archival published,yes,yes,
322,Beyond Browsing API-Based Web Agents,P2,S4,Archival published,yes,yes,
323,GA- A Comprehensive Survey on LLM-based GUI Agent,P2,S4,Preprint/technical report,no,no,not publication-eligible after final adjudication
328,OPENCUA- Open Foundations for Computer-Use Agents,P2,S4,Archival published,yes,yes,
330,BrowserAgent- Building Web Agents with Human-Inspired Web Browsing Actions,P2,S4,Archival published,yes,yes,
332,Agent-SAMA- State-Aware Mobile Assistant,P2,S4,Archival published,yes,yes,
336,A Comprehensive Survey of Agents for Computer Use,P2,S4,Archival published,yes,yes,
337,Mind2Web- Towards a Generalist Agent for the Web,P0,S5.1,Archival published,yes,yes,
338,WebArena- A Realistic Web Environment for Building Autonomous Agents,P0,S5.1,Archival published,yes,yes,
339,VisualWebArena- Evaluating Multimodal Agents on Realistic Visually Grounded Web Tasks,P0,S5.1,Archival published,yes,yes,
340,WebLINX- Real-World Website Navigation with Multi-Turn Dialogue,P0,S5.1,Archival published,yes,yes,
341,AgentBench Evaluating LLMs as Agents,P1,S5.1,Archival published,yes,yes,
342,GAIA a benchmark for General AI Assistants,P1,S5.1,Archival published,yes,yes,
343,OmniACT A Dataset and Benchmark for Enabling Multimodal Generalist Autonomous Agents for Desktop and Web,P1,S5.1,Archival published,yes,yes,
344,WorkArena- How Capable Are Web Agents at Solving Common Knowledge Work Tasks,P1,S5.1,Archival published,yes,yes,
345,TurkingBench A Challenge Benchmark for Web Agents,P1,S5.1,Archival published,yes,yes,
346,OSWorld Benchmarking Multimodal Agents for Open-Ended Tasks in Real Computer Environments,P1,S5.1,Archival published,yes,yes,
348,AssistantBench- Can Web Agents Solve Realistic and Time-Consuming Tasks,P1,S5.1,Archival published,yes,yes,
349,WorkArena Towards Compositional Planning and Reasoning-based Common Knowledge Work Tasks,P1,S5.1,Archival published,yes,yes,
350,TheAgentCompany Benchmarking LLM Agents on Consequential Real World Tasks,P1,S5.1,Archival published,yes,yes,
351,The BrowserGym Ecosystem for Web Agent Research,P1,S5.1,Archival published,yes,yes,
353,BEARCUBS A benchmark for computer-using web agents,P1,S5.1,Archival published,yes,yes,
355,REAL- Benchmarking Autonomous Agents on Deterministic Simulations of Real Websites,P1,S5.1,Archival published,yes,yes,
356,AgentRewardBench Evaluating Automatic Evaluations of Web Agent Trajectories,P1,S5.1,Archival published,yes,yes,
361,Mind2Web 2 Evaluating Agentic Search with Agent-as-a-Judge,P1,S5.1,Archival published,yes,yes,
363,MMInA Benchmarking Multihop Multimodal Internet Agents,P1,S5.1,Archival published,yes,yes,
364,AgenticShop- Benchmarking Agentic Product Curation for Personalized Web Shopping,P1,S5.1,Archival published,yes,yes,
367,ST-WebAgentBench- A Benchmark for Evaluating Safety and Trustworthiness in Web Agents,P1,S5.1,Archival published,yes,yes,
372,ASSISTGUI- Task-Oriented Desktop Graphical User Interface Automation,P2,S5.1,Archival published,yes,yes,
373,TravelPlanner A Benchmark for Real-World Planning with Language Agents,P2,S5.1,Archival published,yes,yes,
374,AndroidWorld A Dynamic Benchmarking Environment for Autonomous Agents,P2,S5.1,Archival published,yes,yes,
375,WorkBench a Benchmark Dataset for Agents in a Realistic Workplace Setting,P2,S5.1,Archival published,yes,yes,
376,-bench A Benchmark for Tool-Agent-User Interaction in Real-World Domains,P2,S5.1,Archival published,yes,yes,
377,AI Agents That Matter,P2,S5.1,Archival published,yes,yes,
379,Spider2-V How Far Are Multimodal Agents From Automating Data Science and Engineering Workflows,P2,S5.1,Archival published,yes,yes,
380,CRAB- Cross-environment Agent Benchmark for Multimodal Language Model Agents,P2,S5.1,Archival published,yes,yes,
381,VisualAgentBench Towards Large Multimodal Models as Visual Foundation Agents,P2,S5.1,Archival published,yes,yes,
383,Windows Agent Arena Evaluating Multi-Modal OS Agents at Scale,P2,S5.1,Archival published,yes,yes,
384,SPA-Bench- A Comprehensive Benchmark for SmartPhone Agent Evaluation,P2,S5.1,Archival published,yes,yes,
385,Agent-as-a-Judge Evaluate Agents with Agents,P2,S5.1,Archival published,yes,yes,
386,Evaluating Cultural and Social Awareness of LLM Web Agents,P2,S5.1,Archival published,yes,yes,
387,VideoWebArena Evaluating Long Context Multimodal Agents with Video Understanding Web Tasks,P2,S5.1,Archival published,yes,yes,
388,WebOlympus- An Open Platform for Web Agents on Live Websites,P2,S5.1,Archival published,yes,yes,
389,A3- Android Agent Arena for Mobile GUI Agents,P2,S5.1,Archival published,yes,yes,
391,SWE-bench Goes Live!,P2,S5.1,Archival published,yes,yes,
392,UI-Vision- A Desktop-centric GUI Benchmark for Visual Perception and Interaction,P2,S5.1,Archival published,yes,yes,
394,Open CaptchaWorld A Comprehensive Web-based Platform for Testing and Benchmarking Multimodal LLM Agents,P2,S5.1,Archival accepted,yes,yes,
395,X-WebAgentBench A Multilingual Interactive Web Benchmark for Evaluating Global Agentic System,P2,S5.1,Archival published,yes,yes,
396,Agent-RewardBench Towards a Unified Benchmark for Reward Modeling across Perception Planning and Safety in Real-World Multimodal Agents,P2,S5.1,Archival published,yes,yes,
399,FormFactory An Interactive Benchmarking Suite for Multimodal Form-Filling Agents,P2,S5.1,Archival published,yes,yes,
400,Evaluation and Benchmarking of LLM Agents- A Survey,P2,S5.1,Archival published,yes,yes,
406,ShoppingBench- A Real-World Intent-Grounded Shopping Benchmark for LLM-based Agents,P2,S5.1,Archival accepted,yes,yes,
408,WebWalker- Benchmarking LLMs in Web Traversal,P2,S5.1,Archival published,yes,yes,
411,MCP-AgentBench- Evaluating Real-World Language Agent Performance with MCP-Mediated Tools,P2,S5.1,Archival published,yes,yes,
413,NEWSAGENT- Benchmarking Multimodal Agents as Journalists with Real-World Newswriting Tasks,P2,S5.1,Archival published,yes,yes,
415,DRBench- A Realistic Benchmark for Enterprise Deep Research,P2,S5.1,Archival published,yes,yes,
416,GEM- A Gym for Agentic LLMs,P2,S5.1,Archival published,yes,yes,
417,Holistic Agent Leaderboard- The Missing Infrastructure for AI Agent Evaluation,P2,S5.1,Archival published,yes,yes,
419,TheMCPCompany- Creating General-purpose Agents with Task-specific Tools,P2,S5.1,Preprint/technical report,no,no,not publication-eligible after final adjudication
423,AGENCYBENCH- Benchmarking the Frontiers of Autonomous Agents in 1M-Token Real-World Contexts,P2,S5.1,Archival published,yes,yes,
424,Ego2Web- A Web Agent Benchmark Grounded in Egocentric Videos,P2,S5.1,Archival published,yes,yes,
425,AgentWebBench- Benchmarking Multi-Agent Coordination in Agentic Web,P2,S5.1,Archival accepted,yes,yes,
427,"MAgIC: Investigation of Large Language Model Powered Multi-Agent in Cognition, Adaptability, Rationality and Collaboration",P3,S5.1,Archival published,yes,yes,
429,EgoPlan-Bench: Benchmarking Multimodal Large Language Models for Human-Level Planning,P3,S5.1,Archival published,yes,yes,
430,InfiAgent-DABench: Evaluating Agents on Data Analysis Tasks,P3,S5.1,Archival published,yes,yes,
433,A Long Way to Go: Investigating Length Correlations in RLHF,P2,S5.1,Archival published,yes,yes,
435,MarkupLM- Pre-training of Text and Markup Language for Visually-rich Document Understanding,P1,S5.2,Archival published,yes,yes,
436,UNDERSTANDING HTML WITH LARGE LANGUAGE,P1,S5.2,Archival published,yes,yes,
437,Pix2Struct- Screenshot Parsing as Pretraining for Visual Language Understanding,P1,S5.2,Archival published,yes,yes,
439,Pix2Act -- From Pixels to UI Actions- Learning to Follow Instructions via Graphical User Interfaces,P1,S5.2,Archival published,yes,yes,
440,CogAgent A Visual Language Model for GUI Agents,P1,S5.2,Archival published,yes,yes,
441,SeeClick- Harnessing GUI Grounding for Advanced Visual GUI Agents,P1,S5.2,Archival published,yes,yes,
443,OmniParser for Pure Vision Based GUI Agent,P1,S5.2,Preprint/technical report,no,no,not publication-eligible after final adjudication
444,OS-ATLAS- A Foundation Action Model for Generalist GUI Agents,P1,S5.2,Archival published,yes,yes,
445,ShowUI One Vision-Language-Action Model for GUI Visual Agent,P1,S5.2,Archival published,yes,yes,
447,Magma- A Foundation Model for Multimodal AI Agents,P1,S5.2,Archival published,yes,yes,
449,UGround- Unified Visual Grounding for GUI Agents,P1,S5.2,Archival published,yes,yes,
450,GUI-Actor Coordinate-Free Visual Grounding for GUI Agents,P1,S5.2,Archival published,yes,yes,
453,LCoW- Learning to Contextualize Web Pages for Enhanced Decision Making by LLM Agents,P1,S5.2,Archival published,yes,yes,
454,Prune4Web- DOM Tree Pruning Programming for Web Agent,P1,S5.2,Archival published,yes,yes,
456,WebSRC- A Dataset for Web-Based Structural Reading Comprehension,P2,S5.2,Archival published,yes,yes,
457,Synapse Trajectory-as-Exemplar Prompting with Memory for Computer Control,P2,S5.2,Archival published,yes,yes,
458,Hierarchical Multimodal Pre-training for Visually Rich Webpage Understanding,P2,S5.2,Archival published,yes,yes,
459,Dual-View Visual Contextualization for Web Navigation,P2,S5.2,Archival published,yes,yes,
460,Ferret-UI- Grounded Mobile UI Understanding with Multimodal LLMs,P2,S5.2,Archival published,yes,yes,
462,GUI-World A Video Benchmark and Dataset for Multimodal GUI-oriented Understanding,P2,S5.2,Archival published,yes,yes,
463,GUICourse From General Vision Language Models to Versatile GUI Agents,P2,S5.2,Archival published,yes,yes,
464,ScreenAI- A Vision-Language Model for UI and Infographics Understanding,P2,S5.2,Archival published,yes,yes,
465,Aguvis Unified Pure Vision Agents for Autonomous GUI Interaction,P2,S5.2,Archival published,yes,yes,
466,InfiGUIAgent A Multimodal Generalist GUI Agent with Native Reasoning and Reflection,P2,S5.2,Archival published,yes,yes,
467,HtmlRAG- HTML is Better Than Plain Text for Modeling Retrieved Knowledge in RAG Systems,P2,S5.2,Archival published,yes,yes,
471,ScreenSpot-Pro- GUI Grounding for Professional High-Resolution Computer Use,P2,S5.2,Archival published,yes,yes,
479,RaDA- Retrieval-augmented Web Agent Planning with LLMs,P1,S5.3,Archival published,yes,yes,
481,Agent S2 A Compositional Generalist-Specialist Framework for Computer Use Agents,P1,S5.3,Archival published,yes,yes,
482,WebRollback Enhancing Web Agents with Explicit Rollback Mechanisms,P1,S5.3,Archival published,yes,yes,
483,AGENTOCCAM- A Simple Yet Strong Baseline for LLM-Based Web Agents,P1,S5.3,Archival published,yes,yes,
484,WebDreamer- Is Your LLM Secretly a World Model of the Internet Model-Based Planning for Web Agents,P1,S5.3,Archival published,yes,yes,
485,WebCoT Enhancing Web Agent Reasoning by Reconstructing Chain-of-Thought in Reflection Branching and Rollback,P1,S5.3,Archival published,yes,yes,
489,WebAnchor- Anchoring Agent Planning to Stabilize Long-Horizon Web Reasoning,P1,S5.3,Archival published,yes,yes,
490,Tree Search for Language Model Agents,P1,S5.3,Archival published,yes,yes,
491,HEAP- HIERARCHICAL POLICIES FOR,P2,S5.3,Archival published,no,no,not publication-eligible after final adjudication
493,TRAD: Enhancing LLM Agents with Step-Wise Thought Retrieval and Aligned Decision,P2,S5.3,Archival published,yes,yes,
495,WebPilot- A Versatile and Autonomous Multi-Agent System for Web Task Execution with Strategic Exploration,P2,S5.3,Archival published,yes,yes,
496,OSCAR: Operating System Control via State-Aware Reasoning and Re-Planning,P2,S5.3,Archival published,yes,yes,
497,ExACT Teaching AI Agents to Explore with Reflective-MCTS and Exploratory Learning,P2,S5.3,Archival published,yes,yes,
498,MOBA: Multifaceted Memory-Enhanced Adaptive Planning for Efficient Mobile Task Automation,P2,S5.3,Archival published,yes,yes,
501,Inducing Programmatic Skills for Agentic Tasks,P2,S5.3,Archival published,yes,yes,
503,BacktrackAgent Enhancing GUI Agent with Error Detection and Backtracking Mechanism,P2,S5.3,Archival published,yes,yes,
504,SteP- Stacked LLM Policies for Web Actions,P2,S5.3,Archival published,yes,yes,
505,Thinking vs. Doing- Agents that Reason by Scaling Test-Time Interaction,P2,S5.3,Archival published,yes,yes,
506,"R2D2- Remembering, Replaying and Dynamic Decision Making with a Reflective Agentic Memory",P2,S5.3,Archival published,yes,yes,
514,MANGO- Multi-Agent Web Navigation via Global-View Optimization,P2,S5.3,Archival published,yes,yes,
516,Can Language Models Serve as Text-Based World Simulators,P3,S5.3,Archival published,yes,yes,
517,WebRL- Training LLM Web Agents via Self-Evolving Online Curriculum Reinforcement Learning,P0,S5.4,Archival published,yes,yes,
518,Multimodal Web Navigation with Instruction-Finetuned Foundation Models,P1,S5.4,Archival published,yes,yes,
