record_id,title,register_status,register_venue,register_identifier,identifier_host,direct_authoritative_identifier,machine_verdict,machine_notes,found_title,found_venue,found_year,found_doi,candidate_sources,archival_evidence,suspicious_ok_preprint,priority,adjudication_decision,authoritative_evidence_url,authoritative_evidence_note,adjudicated_by,adjudicated_at
320,LLM-Powered GUI Agents in Phone Automation: Surveying Progress and Prospects,Archival published,Transactions on Machine Learning Research,https://openreview.net/forum?id=phoneguisurvey2025,openreview.net,yes,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,LLM-Powered GUI Agents in Phone Automation: Surveying Progress and Prospects,,2025,10.20944/preprints202501.0413.v1,openalex:title | openalex:title | crossref:title,crossref:title: crossref type=posted-content (preprint),no,A2,PENDING,,,,
375,WorkBench a Benchmark Dataset for Agents in a Realistic Workplace Setting,Archival published,COLM,https://openreview.net/forum?id=4HNAwZFDcH,openreview.net,yes,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,WorkBench: a Benchmark Dataset for Agents in a Realistic Workplace Setting,,2024,10.48550/arxiv.2405.00823,openalex:title,openalex:title: OpenAlex type=preprint,no,A2,PENDING,,,,
392,UI-Vision: A Desktop-centric GUI Benchmark for Visual Perception and Interaction,Archival published,ICML 2025 (PMLR 267:45817–45851),https://proceedings.mlr.press/v267/nayak25a.html; 2503.15661,proceedings.mlr.press,yes,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,UI-Vision: A Desktop-centric GUI Benchmark for Visual Perception and Interaction,arXiv,2025,10.48550/arxiv.2503.15661,datacite:arxiv | openalex:arxiv | openalex:title,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2503.15661,no,A2,PENDING,,,,
416,GEM: A Gym for Agentic LLMs,Archival published,ICLR 2026 (conference paper),https://openreview.net/forum?id=0Ylu01jcnu; 2510.01051,openreview.net,yes,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,GEM: A Gym for Agentic LLMs,arXiv,2025,10.48550/arxiv.2510.01051,datacite:arxiv | openalex:arxiv | openalex:title,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2510.01051,no,A2,PENDING,,,,
417,Holistic Agent Leaderboard: The Missing Infrastructure for AI Agent Evaluation,Archival published,ICLR 2026 (Poster),https://openreview.net/forum?id=vUaY1t64ZZ; 2510.11977,openreview.net,yes,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,Holistic Agent Leaderboard: The Missing Infrastructure for AI Agent Evaluation,arXiv,2025,10.48550/arxiv.2510.11977,datacite:arxiv | openalex:arxiv | openalex:title,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2510.11977,no,A2,PENDING,,,,
430,InfiAgent-DABench: Evaluating Agents on Data Analysis Tasks,Archival published,"Proceedings of the 41st International Conference on Machine Learning (ICML 2024), PMLR 235, pages 19544-19572",https://proceedings.mlr.press/v235/hu24s.html,proceedings.mlr.press,yes,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,InfiAgent-DABench: Evaluating Agents on Data Analysis Tasks,,2024,10.48550/arxiv.2401.05507,openalex:title,openalex:title: OpenAlex type=preprint,no,A2,PENDING,,,,
496,OSCAR: Operating System Control via State-Aware Reasoning and Re-Planning,Archival published,International Conference on Learning Representations (ICLR 2025),https://openreview.net/forum?id=VuTrZzrPfn,openreview.net,yes,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,OSCAR: Operating System Control via State-Aware Reasoning and Re-Planning,,2024,10.48550/arxiv.2410.18963,openalex:title,openalex:title: OpenAlex type=preprint,no,A2,PENDING,,,,
580,Efficient Agent Training for Computer Use,Archival accepted,ICLR 2026 (Poster),https://openreview.net/forum?id=cDuA6ZNvCl; arXiv:2505.13909,openreview.net,yes,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,Efficient Agent Training for Computer Use,arXiv,2025,10.48550/arxiv.2505.13909,datacite:arxiv | openalex:arxiv | openalex:title,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2505.13909,no,A2,PENDING,,,,
584,MobileIPL Enhancing Mobile Agents Thinking Process via Iterative Preference Learning,Archival accepted,ICLR 2026 (Poster),https://openreview.net/forum?id=PS8iu4PxKz; arXiv:2505.12299,openreview.net,yes,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,MobileIPL: Enhancing Mobile Agents Thinking Process via Iterative Preference Learning,arXiv,2025,10.48550/arxiv.2505.12299,datacite:arxiv | openalex:arxiv | openalex:title,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2505.12299,no,A2,PENDING,,,,
590,Towards Efficient Online Tuning of VLM Agents via Counterfactual Soft Reinforcement Learning,Archival published,ICML 2025 (PMLR 267:16884–16903),https://proceedings.mlr.press/v267/feng25n.html; arXiv:2505.03792,proceedings.mlr.press,yes,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,Towards Efficient Online Tuning of VLM Agents via Counterfactual Soft Reinforcement Learning,arXiv,2025,10.48550/arxiv.2505.03792,datacite:arxiv | openalex:arxiv | openalex:title,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2505.03792,no,A2,PENDING,,,,
612,"Agent Data Protocol: Unifying Datasets for Diverse, Effective Fine-tuning of LLM Agents",Archival accepted,ICLR 2026 (Oral),https://openreview.net/forum?id=tG6301ORHd; arXiv:2510.24702,openreview.net,yes,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,"Agent Data Protocol: Unifying Datasets for Diverse, Effective Fine-tuning of LLM Agents",arXiv,2025,10.48550/arxiv.2510.24702,datacite:arxiv,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2510.24702,no,A2,PENDING,,,,
657,Reflection-Bench: Evaluating Epistemic Agency in Large Language Models,Archival published,"Proceedings of the 42nd International Conference on Machine Learning (ICML 2025), PMLR 267",https://proceedings.mlr.press/v267/li25cu.html,proceedings.mlr.press,yes,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,Reflection-Bench: Evaluating Epistemic Agency in Large Language Models,,2024,10.48550/arxiv.2410.16270,openalex:title,openalex:title: OpenAlex type=preprint,no,A2,PENDING,,,,
791,Foundational Challenges in Assuring Alignment and Safety of Large Language Models,Archival published,"Transactions on Machine Learning Research (TMLR), September 2024",https://openreview.net/forum?id=oVTkOs8Pka,openreview.net,yes,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,Foundational Challenges in Assuring Alignment and Safety of Large Language Models,,2024,10.48550/arxiv.2404.09932,openalex:title | openalex:title,openalex:title: OpenAlex type=preprint,no,A2,PENDING,,,,
42,A Systematic Evaluation of Large Language Models of Code,Workshop/conditional,Proceedings of the 6th ACM SIGPLAN International Symposium on Machine Programming (Deep Learning for Code Workshop at ICLR 2022),,,no,UPGRADE,register 'Workshop/conditional'; strong archival evidence 'Proceedings of the 6th ACM SIGPLAN International Symposium on Machine Programming',A systematic evaluation of large language models of code,Proceedings of the 6th ACM SIGPLAN International Symposium on Machine Programming,2022,10.1145/3520312.3534862,openalex:title | openalex:title | openalex:title | openalex:title | openalex:title | openalex:title | openalex:title | crossref:title,openalex:title: DOI prefix 10.1145 (ACM) | openalex:title: pages 1-10 | crossref:title: crossref type=proceedings-article venue='Proceedings of the 6th ACM SIGPLAN International Symposium on Machine Programming',no,A3,PENDING,,,,
72,Tree of Thoughts: Deliberate Problem Solving with Large Language Models,Preprint/technical report,arXiv preprint arXiv:2305.10601,https://doi.org/10.48550/arXiv.2305.10601,doi.org,no,UPGRADE,register 'Preprint/technical report'; strong archival evidence 'Advances in Neural Information Processing Systems 36',Tree of Thoughts: Deliberate Problem Solving with Large Language Models,Advances in Neural Information Processing Systems 36,2023,10.52202/075280-0517,datacite:arxiv | openalex:doi | openalex:title | openalex:title | crossref:title,openalex:title: DOI prefix 10.52202 (NeurIPS/PMLR) | openalex:title: pages 11809-11822 | crossref:title: crossref type=proceedings-article venue='Advances in Neural Information Processing Systems 36',no,A3,PENDING,,,,
81,Language Models can Solve Computer Tasks,Preprint/technical report,arXiv / preprint,,,no,UPGRADE,register 'Preprint/technical report'; strong archival evidence 'Advances in Neural Information Processing Systems 36',Language Models can Solve Computer Tasks,Advances in Neural Information Processing Systems 36,2023,10.52202/075280-1723,openalex:title | openalex:title | crossref:title,openalex:title: DOI prefix 10.52202 (NeurIPS/PMLR) | openalex:title: pages 39648-39677 | crossref:title: crossref type=proceedings-article venue='Advances in Neural Information Processing Systems 36',no,A3,PENDING,,,,
83,TaskMatrix.AI Completing Tasks by Connecting Foundation Models with Millions of APIs,Preprint/technical report,arXiv / Microsoft technical report,,,no,UPGRADE,register 'Preprint/technical report'; strong archival evidence 'Intelligent Computing',TaskMatrix.AI: Completing Tasks by Connecting Foundation Models with Millions of APIs,Intelligent Computing,2024,10.34133/icomputing.0063,openalex:title | openalex:title | crossref:title,openalex:title: location[journal]='Intelligent Computing' | crossref:title: crossref type=journal-article venue='Intelligent Computing',no,A3,PENDING,,,,
91,AdaPlanner Adaptive Planning from Feedback with Language Models,Preprint/technical report,arXiv / preprint,,,no,UPGRADE,register 'Preprint/technical report'; strong archival evidence 'Advances in Neural Information Processing Systems 36',AdaPlanner: Adaptive Planning from Feedback with Language Models,Advances in Neural Information Processing Systems 36,2023,10.52202/075280-2537,openalex:title | openalex:title | crossref:title,openalex:title: DOI prefix 10.52202 (NeurIPS/PMLR) | openalex:title: pages 58202-58245 | crossref:title: crossref type=proceedings-article venue='Advances in Neural Information Processing Systems 36',no,A3,PENDING,,,,
99,AutoDroid: LLM-powered Task Automation in Android,Preprint/technical report,arXiv / preprint,,,no,UPGRADE,register 'Preprint/technical report'; strong archival evidence 'Proceedings of the 30th Annual International Conference on Mobile Computing and Networking',AutoDroid: LLM-powered Task Automation in Android,Proceedings of the 30th Annual International Conference on Mobile Computing and Networking,2024,10.1145/3636534.3649379,openalex:title | openalex:title | crossref:title,openalex:title: DOI prefix 10.1145 (ACM) | openalex:title: pages 543-557 | crossref:title: crossref type=proceedings-article venue='Proceedings of the 30th Annual International Conference on Mobile Computing and Networking',no,A3,PENDING,,,,
107,AgentTuning Enabling Generalized Agent Abilities for LLMs,Unconfirmed,ACL 2024 / Findings-style venue likely; verify before final citation,,,no,UPGRADE,register 'Unconfirmed'; strong archival evidence 'Findings of the Association for Computational Linguistics ACL 2024',AgentTuning: Enabling Generalized Agent Abilities for LLMs,Findings of the Association for Computational Linguistics ACL 2024,2024,10.18653/v1/2024.findings-acl.181,openalex:title | openalex:title | crossref:title,openalex:title: DOI prefix 10.18653 (ACL Anthology) | openalex:title: pages 3053-3077 | crossref:title: crossref type=proceedings-article venue='Findings of the Association for Computational Linguistics ACL 2024',no,A3,PENDING,,,,
112,ADaPT As-Needed Decomposition and Planning with Language Models,Preprint/technical report,arXiv / preprint,,,no,UPGRADE,register 'Preprint/technical report'; strong archival evidence 'Findings of the Association for Computational Linguistics: NAACL 2024',ADaPT: As-Needed Decomposition and Planning with Language Models,Findings of the Association for Computational Linguistics: NAACL 2024,2024,10.18653/v1/2024.findings-naacl.264,openalex:title | openalex:title | crossref:title,openalex:title: DOI prefix 10.18653 (ACL Anthology) | openalex:title: pages 4226-4252 | crossref:title: crossref type=proceedings-article venue='Findings of the Association for Computational Linguistics: NAACL 2024',no,A3,PENDING,,,,
113,Agent Lumos Unified and Modular Training for Open-Source Language Agents,Preprint/technical report,arXiv / preprint,,,no,UPGRADE,register 'Preprint/technical report'; strong archival evidence 'Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers)',Agent Lumos: Unified and Modular Training for Open-Source Language Agents,Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),2024,10.18653/v1/2024.acl-long.670,openalex:title | openalex:title | crossref:title,openalex:title: DOI prefix 10.18653 (ACL Anthology) | openalex:title: pages 12380-12403 | crossref:title: crossref type=proceedings-article venue='Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers)',no,A3,PENDING,,,,
121,UFO A UI-Focused Agent for Windows OS Interaction,Preprint/technical report,arXiv / Microsoft technical report,,,no,UPGRADE,register 'Preprint/technical report'; strong archival evidence 'Proceedings of the 2025 Conference of the Nations of the Americas Chapter of the Association for Computational Linguistics: Human Language Technologies (Volume 1: Long Papers)',UFO: A UI-Focused Agent for Windows OS Interaction,Proceedings of the 2025 Conference of the Nations of the Americas Chapter of the Association for Computational Linguistics: Human Language Technologies (Volume 1: Long Papers),2025,10.18653/v1/2025.naacl-long.26,openalex:title | openalex:title | crossref:title,openalex:title: DOI prefix 10.18653 (ACL Anthology) | openalex:title: pages 597-622 | crossref:title: crossref type=proceedings-article venue='Proceedings of the 2025 Conference of the Nations of the Americas Chapter of the Association for Computational Linguistics: Human Language Technologies (Volume 1: Long Papers)',no,A3,PENDING,,,,
123,LLMs in the Imaginarium: Tool Learning through Simulated Trial and Error,Preprint/technical report,arXiv / preprint,,,no,UPGRADE,register 'Preprint/technical report'; strong archival evidence 'Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers)',LLMs in the Imaginarium: Tool Learning through Simulated Trial and Error,Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),2024,10.18653/v1/2024.acl-long.570,openalex:title | openalex:title | crossref:title,openalex:title: DOI prefix 10.18653 (ACL Anthology) | openalex:title: pages 10583-10604 | crossref:title: crossref type=proceedings-article venue='Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers)',no,A3,PENDING,,,,
124,KnowAgent Knowledge-Augmented Planning for LLM-Based Agents,Preprint/technical report,arXiv / preprint,,,no,UPGRADE,register 'Preprint/technical report'; strong archival evidence 'Findings of the Association for Computational Linguistics: NAACL 2025',KnowAgent: Knowledge-Augmented Planning for LLM-Based Agents,Findings of the Association for Computational Linguistics: NAACL 2025,2025,10.18653/v1/2025.findings-naacl.205,openalex:title | openalex:title | crossref:title,openalex:title: DOI prefix 10.18653 (ACL Anthology) | openalex:title: pages 3709-3732 | crossref:title: crossref type=proceedings-article venue='Findings of the Association for Computational Linguistics: NAACL 2025',no,A3,PENDING,,,,
128,A Survey on the Memory Mechanism of Large Language Model based Agents,Preprint/technical report,arXiv / survey,,,no,UPGRADE,register 'Preprint/technical report'; strong archival evidence 'ACM Transactions on Information Systems',A Survey on the Memory Mechanism of Large Language Model-based Agents,ACM Transactions on Information Systems,2025,10.1145/3748302,openalex:title | openalex:title | crossref:title,openalex:title: location[journal]='ACM Transactions on Information Systems' | openalex:title: DOI prefix 10.1145 (ACM) | openalex:title: pages 1-47 | crossref:title: crossref type=journal-article venue='ACM Transactions on Information Systems',no,A3,PENDING,,,,
130,Agent Design Pattern Catalogue A Collection of Architectural Patterns for Foundation Model based Agents,Preprint/technical report,arXiv / preprint,,,no,UPGRADE,register 'Preprint/technical report'; strong archival evidence 'Journal of Systems and Software',Agent design pattern catalogue: A collection of architectural patterns for foundation model based agents,Journal of Systems and Software,2025,10.1016/j.jss.2024.112278,openalex:title | openalex:title | openalex:title | crossref:title | crossref:title,openalex:title: location[journal]='Journal of Systems and Software' | openalex:title: DOI prefix 10.1016 (Elsevier) | openalex:title: pages 112278-112278 | crossref:title: crossref type=journal-article venue='Journal of Systems and Software',no,A3,PENDING,,,,
132,AvaTaR: Optimizing LLM Agents for Tool Usage via Contrastive Reasoning,Preprint/technical report,arXiv / preprint,,,no,UPGRADE,register 'Preprint/technical report'; strong archival evidence 'Advances in Neural Information Processing Systems 37',AvaTaR: Optimizing LLM Agents for Tool Usage via Contrastive Reasoning,Advances in Neural Information Processing Systems 37,2024,10.52202/079017-0817,openalex:title | openalex:title | crossref:title,openalex:title: DOI prefix 10.52202 (NeurIPS/PMLR) | openalex:title: pages 25981-26010 | crossref:title: crossref type=proceedings-article venue='Advances in Neural Information Processing Systems 37',no,A3,PENDING,,,,
134,Mobile-Agent-v2 Mobile Device Operation Assistant with Effective Navigation via Multi-Agent Collaboration,Preprint/technical report,arXiv / preprint,,,no,UPGRADE,register 'Preprint/technical report'; strong archival evidence 'Advances in Neural Information Processing Systems 37',Mobile-Agent-v2: Mobile Device Operation Assistant with Effective Navigation via Multi-Agent Collaboration,Advances in Neural Information Processing Systems 37,2024,10.52202/079017-0088,openalex:title | openalex:title | crossref:title,openalex:title: DOI prefix 10.52202 (NeurIPS/PMLR) | openalex:title: pages 2686-2710 | crossref:title: crossref type=proceedings-article venue='Advances in Neural Information Processing Systems 37',no,A3,PENDING,,,,
135,AppWorld A Controllable World of Apps and People for Benchmarking Interactive Coding Agents,Unconfirmed,ACL 2024 / benchmark paper likely; verify before final citation,,,no,UPGRADE,register 'Unconfirmed'; strong archival evidence 'Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers)',AppWorld: A Controllable World of Apps and People for Benchmarking Interactive Coding Agents,Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),2024,10.18653/v1/2024.acl-long.850,openalex:title | openalex:title | crossref:title,openalex:title: DOI prefix 10.18653 (ACL Anthology) | openalex:title: pages 16022-16076 | crossref:title: crossref type=proceedings-article venue='Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers)',no,A3,PENDING,,,,
137,Recursive Introspection Teaching Language Model Agents How to Self-Improve,Preprint/technical report,arXiv / preprint,,,no,UPGRADE,register 'Preprint/technical report'; strong archival evidence 'Advances in Neural Information Processing Systems 37',Recursive Introspection: Teaching Language Model Agents How to Self-Improve,Advances in Neural Information Processing Systems 37,2024,10.52202/079017-1754,openalex:title | openalex:title | crossref:title,openalex:title: DOI prefix 10.52202 (NeurIPS/PMLR) | openalex:title: pages 55249-55285 | crossref:title: crossref type=proceedings-article venue='Advances in Neural Information Processing Systems 37',no,A3,PENDING,,,,
141,xLAM A Family of Large Action Models to Empower AI Agent Systems,Preprint/technical report,arXiv / Salesforce technical report,,,no,UPGRADE,register 'Preprint/technical report'; strong archival evidence 'Proceedings of the 2025 Conference of the Nations of the Americas Chapter of the Association for Computational Linguistics: Human Language Technologies (Volume 1: Long Papers)',xLAM: A Family of Large Action Models to Empower AI Agent Systems,Proceedings of the 2025 Conference of the Nations of the Americas Chapter of the Association for Computational Linguistics: Human Language Technologies (Volume 1: Long Papers),2025,10.18653/v1/2025.naacl-long.578,openalex:title | openalex:title | crossref:title,openalex:title: DOI prefix 10.18653 (ACL Anthology) | openalex:title: pages 11583-11597 | crossref:title: crossref type=proceedings-article venue='Proceedings of the 2025 Conference of the Nations of the Americas Chapter of the Association for Computational Linguistics: Human Language Technologies (Volume 1: Long Papers)',no,A3,PENDING,,,,
156,LLM-Based Human-Agent Collaboration and Interaction Systems A Survey,Preprint/technical report,arXiv / survey; overlaps with previous human-agent survey,,,no,UPGRADE,register 'Preprint/technical report'; strong archival evidence 'Findings of the Association for Computational Linguistics: ACL 2026',LLM-Based Human-Agent Collaboration and Interaction Systems: A Survey,Findings of the Association for Computational Linguistics: ACL 2026,2026,10.18653/v1/2026.findings-acl.1811,openalex:title | openalex:title | openalex:title | openalex:title | crossref:title | crossref:title | crossref:title,openalex:title: DOI prefix 10.18653 (ACL Anthology) | openalex:title: pages 36335-36364 | crossref:title: crossref type=proceedings-article venue='Findings of the Association for Computational Linguistics: ACL 2026',no,A3,PENDING,,,,
159,MMSearch-R1: Incentivizing LMMs to Search,Preprint/technical report,arXiv / preprint,,,no,UPGRADE,register 'Preprint/technical report'; strong archival evidence 'Proceedings of the 64th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers)',MMSearch-R1: Incentivizing LMMs to Search,Proceedings of the 64th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),2026,10.18653/v1/2026.acl-long.114,openalex:title | openalex:title | crossref:title,openalex:title: DOI prefix 10.18653 (ACL Anthology) | openalex:title: pages 2456-2487 | crossref:title: crossref type=proceedings-article venue='Proceedings of the 64th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers)',no,A3,PENDING,,,,
167,Memory as Action: Autonomous Context Curation for Long-Horizon Agentic Tasks,Preprint/technical report,arXiv / preprint,,,no,UPGRADE,register 'Preprint/technical report'; strong archival evidence 'Findings of the Association for Computational Linguistics: ACL 2026',Memory as Action: Autonomous Context Curation for Long-Horizon Agentic Tasks,Findings of the Association for Computational Linguistics: ACL 2026,2026,10.18653/v1/2026.findings-acl.956,openalex:title | crossref:title,openalex:title: DOI prefix 10.18653 (ACL Anthology) | openalex:title: pages 19149-19164 | crossref:title: crossref type=proceedings-article venue='Findings of the Association for Computational Linguistics: ACL 2026',no,A3,PENDING,,,,
199,"Exploring Large Language Model based Intelligent Agents: Definitions, Methods, and Prospects",Preprint/technical report,,2401.03428,,no,UPGRADE,register 'Preprint/technical report'; strong archival evidence 'WIREs Data Mining and Knowledge Discovery',"Exploring Large Language Model‐Based Intelligent Agents: Definitions, Methods, and Prospects",WIREs Data Mining and Knowledge Discovery,2026,10.1002/widm.70111,datacite:arxiv | openalex:title | crossref:title | crossref:title,openalex:title: location[journal]='Wiley Interdisciplinary Reviews Data Mining and Knowledge Discovery' | crossref:title: crossref type=journal-article venue='WIREs Data Mining and Knowledge Discovery',no,A3,PENDING,,,,
241,Agents Are Not Enough,Preprint/technical report,"arXiv (marked ""under review"")",2412.16241,,no,UPGRADE,register 'Preprint/technical report'; strong archival evidence 'Computer',Agents Are Not Enough,Computer,2025,10.1109/mc.2025.3575829,datacite:arxiv | openalex:arxiv | openalex:title | crossref:title,openalex:title: location[journal]='Computer' | openalex:title: DOI prefix 10.1109 (IEEE) | openalex:title: pages 87-92 | crossref:title: crossref type=journal-article venue='Computer',no,A3,PENDING,,,,
250,Orchestrating Agents and Data for Enterprise: A Blueprint Architecture for Compound AI,Preprint/technical report,arXiv preprint arXiv:2504.08148,,,no,UPGRADE,register 'Preprint/technical report'; strong archival evidence '2025 IEEE 41st International Conference on Data Engineering Workshops (ICDEW)',Orchestrating Agents and Data for Enterprise: A Blueprint Architecture for Compound AI,2025 IEEE 41st International Conference on Data Engineering Workshops (ICDEW),2025,10.1109/icdew67478.2025.00007,openalex:title | openalex:title | crossref:title,openalex:title: DOI prefix 10.1109 (IEEE) | openalex:title: pages 18-27 | crossref:title: crossref type=proceedings-article venue='2025 IEEE 41st International Conference on Data Engineering Workshops (ICDEW)',no,A3,PENDING,,,,
261,"Agentic AI: A Comprehensive Survey of Architectures, Applications, and Future Directions",Preprint/technical report,arXiv preprint arXiv:2510.25445,,,no,UPGRADE,register 'Preprint/technical report'; strong archival evidence 'Artificial Intelligence Review',"Agentic AI: a comprehensive survey of architectures, applications, and future directions",Artificial Intelligence Review,2025,10.1007/s10462-025-11422-4,openalex:title | crossref:title,openalex:title: location[journal]='Artificial Intelligence Review' | openalex:title: DOI prefix 10.1007 (Springer) | crossref:title: crossref type=journal-article venue='Artificial Intelligence Review',no,A3,PENDING,,,,
276,"MCP-Flow: Facilitating LLM Agents to Master Real-World, Diverse and Scaling MCP Tools",Preprint/technical report,arXiv preprint arXiv:2510.24284,,,no,UPGRADE,register 'Preprint/technical report'; strong archival evidence 'Proceedings of the 64th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers)',"MCP-Flow: Facilitating LLM Agents to Master Real-World, Diverse and Scaling MCP Tools",Proceedings of the 64th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),2026,10.18653/v1/2026.acl-long.231,openalex:title | openalex:title | crossref:title,openalex:title: DOI prefix 10.18653 (ACL Anthology) | openalex:title: pages 5087-5116 | crossref:title: crossref type=proceedings-article venue='Proceedings of the 64th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers)',no,A3,PENDING,,,,
277,OCR-Memory: Optical Context Retrieval for Long-Horizon Agent Memory,Preprint/technical report,arXiv preprint arXiv:2604.26622,,,no,UPGRADE,register 'Preprint/technical report'; strong archival evidence 'Proceedings of the 64th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers)',OCR-Memory: Optical Context Retrieval for Long-Horizon Agent Memory,Proceedings of the 64th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),2026,10.18653/v1/2026.acl-long.474,openalex:title | openalex:title | openalex:title | openalex:title | crossref:title,openalex:title: DOI prefix 10.18653 (ACL Anthology) | openalex:title: pages 10409-10420 | crossref:title: crossref type=proceedings-article venue='Proceedings of the 64th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers)',no,A3,PENDING,,,,
278,StructMem: Structured Memory for Long-Horizon Behavior in LLMs,Preprint/technical report,arXiv preprint arXiv:2604.21748,,,no,UPGRADE,register 'Preprint/technical report'; strong archival evidence 'Proceedings of the 64th Annual Meeting of the Association for Computational Linguistics (Volume 2: Short Papers)',StructMem: Structured Memory for Long-Horizon Behavior in LLMs,Proceedings of the 64th Annual Meeting of the Association for Computational Linguistics (Volume 2: Short Papers),2026,10.18653/v1/2026.acl-short.12,openalex:title | openalex:title | openalex:title | openalex:title | crossref:title,openalex:title: DOI prefix 10.18653 (ACL Anthology) | openalex:title: pages 122-146 | crossref:title: crossref type=proceedings-article venue='Proceedings of the 64th Annual Meeting of the Association for Computational Linguistics (Volume 2: Short Papers)',no,A3,PENDING,,,,
309,Grounded Language Agent for Product Search via Intelligent Web Interactions,Unconfirmed,ACL Workshop CustomNLP4U 2024,,,no,UPGRADE,"register 'Unconfirmed'; strong archival evidence 'Proceedings of the 1st Workshop on Customizable NLP: Progress and Challenges in Customizing NLP for a Domain, Application, Group, or Individual (CustomNLP4U)'",Grounded Language Agent for Product Search via Intelligent Web Interactions,"Proceedings of the 1st Workshop on Customizable NLP: Progress and Challenges in Customizing NLP for a Domain, Application, Group, or Individual (CustomNLP4U)",2024,10.18653/v1/2024.customnlp4u-1.7,openalex:title | openalex:title | crossref:title,"openalex:title: DOI prefix 10.18653 (ACL Anthology) | openalex:title: pages 63-75 | crossref:title: crossref type=proceedings-article venue='Proceedings of the 1st Workshop on Customizable NLP: Progress and Challenges in Customizing NLP for a Domain, Application, Group, or Individual (CustomNLP4U)'",no,A3,PENDING,,,,
325,Embodied Web Agents Bridging Physical-Digital Realms for Integrated Agent Intelligence,Preprint/technical report,arXiv preprint / under review,,,no,UPGRADE,register 'Preprint/technical report'; strong archival evidence 'Advances in Neural Information Processing Systems 38',Embodied Web Agents: Bridging Physical-Digital Realms for Integrated Agent Intelligence,Advances in Neural Information Processing Systems 38,2025,10.52202/085713-1585,openalex:title | crossref:title,openalex:title: DOI prefix 10.52202 (NeurIPS/PMLR) | openalex:title: pages 53031-53050 | crossref:title: crossref type=proceedings-article venue='Advances in Neural Information Processing Systems 38',no,A3,PENDING,,,,
360,EconWebArena Benchmarking Autonomous Agents on Economic Tasks in Realistic Web Environments,Workshop/conditional,NeurIPS 2025 Workshop on Generative AI in Finance,arXiv:2506.08136,,no,UPGRADE,"register 'Workshop/conditional'; strong archival evidence 'Proceedings of the Fifth Workshop on Generation, Evaluation and Metrics (GEM)'",EconWebArena: Benchmarking Autonomous Agents on Economic Tasks in Realistic Web Environments,"Proceedings of the Fifth Workshop on Generation, Evaluation and Metrics (GEM)",2026,10.18653/v1/2026.gem-main.67,datacite:arxiv | openalex:title | openalex:title | crossref:title,"openalex:title: DOI prefix 10.18653 (ACL Anthology) | openalex:title: pages 779-796 | crossref:title: crossref type=proceedings-article venue='Proceedings of the Fifth Workshop on Generation, Evaluation and Metrics (GEM)'",no,A3,PENDING,,,,
