record_id,title,register_status,register_venue,register_identifier,found_title,found_venue,found_type,found_year,found_doi,openalex_id,title_match,VERDICT,notes
43,A Review on Language Models as Knowledge Bases,Preprint/technical report,arXiv preprint arXiv:2204.06031,,A Review on Language Models as Knowledge Bases,arXiv (Cornell University),preprint,2022,10.48550/arxiv.2204.06031,https://openalex.org/W4223974161,1.0,OK,both treat it as preprint
44,Selection-Inference: Exploiting Large Language Models for Interpretable Logical Reasoning,Archival published,ICLR 2023,https://openreview.net/forum?id=3Pf3Wg6o-A4,Selection-Inference: Exploiting Large Language Models for Interpretable Logical Reasoning,arXiv (Cornell University),preprint,2022,10.48550/arxiv.2205.09712,https://openalex.org/W4281250694,1.0,DOWNGRADE,register says 'Archival published' but external source shows preprint/no venue (arXiv (Cornell University))
45,Training Language Models with Language Feedback at Scale,Preprint/technical report,arXiv preprint arXiv:2303.16755,,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
46,Adapting Language Models to Compress Contexts,Archival published,"Proceedings of the 2023 Conference on Empirical Methods in Natural Language Processing, pages 3829-3846",https://doi.org/10.18653/v1/2023.emnlp-main.232,Adapting Language Models to Compress Contexts,,conference-paper,2023,10.18653/v1/2023.emnlp-main.232,https://openalex.org/W4389524473,1.0,DOWNGRADE,register says 'Archival published' but external source shows preprint/no venue (none)
47,AlpacaFarm: A Simulation Framework for Methods that Learn from Human Feedback,Archival published,"Advances in Neural Information Processing Systems 36 (NeurIPS 2023), Main Conference Track",https://proceedings.neurips.cc/paper_files/paper/2023/hash/5fc47800ee5b30b8777fdd30abcaaf3b-Abstract-Conference.html,AlpacaFarm: A Simulation Framework for Methods that Learn from Human Feedback,arXiv (Cornell University),preprint,2023,10.48550/arxiv.2305.14387,https://openalex.org/W4378468563,1.0,DOWNGRADE,register says 'Archival published' but external source shows preprint/no venue (arXiv (Cornell University))
48,Random-Access Infinite Context Length for Transformers,Archival published,"Advances in Neural Information Processing Systems 36 (NeurIPS 2023), Main Conference Track",https://proceedings.neurips.cc/paper_files/paper/2023/hash/ab05dc8bf36a9f66edbff6992ec86f56-Abstract-Conference.html,Random-Access Infinite Context Length for Transformers,,conference-paper,2023,10.52202/075280-2378,https://openalex.org/W7133201859,1.0,DOWNGRADE,register says 'Archival published' but external source shows preprint/no venue (none)
49,SelfCheck: Using LLMs to Zero-Shot Check Their Own Step-by-Step Reasoning,Archival published,"The Twelfth International Conference on Learning Representations (ICLR 2024), Poster",https://openreview.net/forum?id=pTHfApDakA,SelfCheck: Using LLMs to Zero-Shot Check Their Own Step-by-Step Reasoning,arXiv (Cornell University),preprint,2023,10.48550/arxiv.2308.00436,https://openalex.org/W4385963592,1.0,DOWNGRADE,register says 'Archival published' but external source shows preprint/no venue (arXiv (Cornell University))
50,Chain-of-Verification Reduces Hallucination in Large Language Models,Archival published,"Findings of the Association for Computational Linguistics: ACL 2024, pages 3563-3578",https://doi.org/10.18653/v1/2024.findings-acl.212,Chain-of-Verification Reduces Hallucination in Large Language Models,,conference-paper,2024,10.18653/v1/2024.findings-acl.212,https://openalex.org/W4402670429,1.0,DOWNGRADE,register says 'Archival published' but external source shows preprint/no venue (none)
51,FreshLLMs: Refreshing Large Language Models with Search Engine Augmentation,Archival published,"Findings of the Association for Computational Linguistics: ACL 2024, pages 13697-13720",https://doi.org/10.18653/v1/2024.findings-acl.813,FreshLLMs: Refreshing Large Language Models with Search Engine Augmentation,,conference-paper,2024,10.18653/v1/2024.findings-acl.813,https://openalex.org/W4402684046,1.0,DOWNGRADE,register says 'Archival published' but external source shows preprint/no venue (none)
52,Learning From Mistakes Makes LLM Better Reasoner,Preprint/technical report,arXiv preprint arXiv:2310.20689,,Learning From Mistakes Makes LLM Better Reasoner,arXiv (Cornell University),preprint,2023,10.48550/arxiv.2310.20689,https://openalex.org/W4388185044,1.0,OK,both treat it as preprint
53,Exploring the Reasoning Abilities of Multimodal Large Language Models (MLLMs)- A Comprehensive Survey on Emerging Trends in Multimodal Reasoning,Preprint/technical report,arXiv preprint,,Exploring the Reasoning Abilities of Multimodal Large Language Models (MLLMs): A Comprehensive Survey on Emerging Trends in Multimodal Reasoning,arXiv (Cornell University),preprint,2024,10.48550/arxiv.2401.06805,https://openalex.org/W4390961147,1.0,OK,both treat it as preprint
54,Video as the New Language for Real-World Decision Making,Preprint/technical report,arXiv preprint arXiv:2402.17139,,Video as the New Language for Real-World Decision Making,arXiv (Cornell University),preprint,2024,10.48550/arxiv.2402.17139,https://openalex.org/W4392270920,1.0,OK,both treat it as preprint
55,A Critical Evaluation of AI Feedback for Aligning Large Language Models,Archival published,"Advances in Neural Information Processing Systems 37 (NeurIPS 2024), Main Conference Track",https://proceedings.neurips.cc/paper_files/paper/2024/hash/33870b3e099880cd8e705cd07173ac27-Abstract-Conference.html,A Critical Evaluation of AI Feedback for Aligning Large Language Models,Advances in Neural Information Processing Systems 37,proceedings-article,2024,10.52202/079017-0919,,1.0,OK,
56,RAT: Retrieval Augmented Thoughts Elicit Context-Aware Reasoning in Long-Horizon Generation,Preprint/technical report,arXiv preprint arXiv:2403.05313,,RAT: Retrieval Augmented Thoughts Elicit Context-Aware Reasoning in Long-Horizon Generation,arXiv (Cornell University),preprint,2024,10.48550/arxiv.2403.05313,https://openalex.org/W4392678293,1.0,OK,both treat it as preprint
57,Beyond Chain-of-Thought: A Survey of Chain-of-X Paradigms for LLMs,Archival published,"Proceedings of the 31st International Conference on Computational Linguistics (COLING 2025), pages 10795–10809",https://doi.org/10.18653/v1/2025.coling-main.719,Beyond Chain-of-Thought: A Survey of Chain-of-X Paradigms for LLMs,arXiv (Cornell University),preprint,2024,10.48550/arxiv.2404.15676,https://openalex.org/W4395483223,1.0,DOWNGRADE,register says 'Archival published' but external source shows preprint/no venue (arXiv (Cornell University))
58,Can Small Language Models Help Large Language Models Reason Better?: LM-Guided Chain-of-Thought,Archival published,"Proceedings of LREC-COLING 2024, pages 2835–2843",https://aclanthology.org/2024.lrec-main.252/,Can Small Language Models Help Large Language Models Reason Better?: LM-Guided Chain-of-Thought,Proceedings of the Language Resources and Evaluation Conference,proceedings-article,2024,10.63317/2c35vp2yxb88,,1.0,VENUE_MISMATCH,"register venue 'Proceedings of LREC-COLING 2024, pages 2835–2843' vs external 'Proceedings of the Language Resources and Evaluation Conference'"
59,Mind's Eye of LLMs: Visualization-of-Thought: Elicits Spatial Reasoning in Large Language Models,Archival published,Advances in Neural Information Processing Systems,,Mind's Eye of LLMs: Visualization-of-Thought Elicits Spatial Reasoning in Large Language Models,,conference-paper,2024,10.52202/079017-2866,https://openalex.org/W4415796467,1.0,DOWNGRADE,register says 'Archival published' but external source shows preprint/no venue (none)
60,"Are Long-LLMs A Necessity For Long-Context Tasks: Hongjin Qian1,2, Zheng Liu2∗, Peitian Zhang1, Kelong Mao1, Yujia Zhou1",Preprint/technical report,arXiv preprint arXiv:2405.15318,,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
61,Buffer of Thoughts: Thought-Augmented Reasoning with Large Language Models,Archival published,Advances in Neural Information Processing Systems 37 (NeurIPS 2024),https://doi.org/10.52202/079017-3607,Buffer of Thoughts: Thought-Augmented Reasoning with Large Language Models,arXiv (Cornell University),preprint,2024,10.48550/arxiv.2406.04271,https://openalex.org/W4399454822,1.0,DOWNGRADE,register says 'Archival published' but external source shows preprint/no venue (arXiv (Cornell University))
62,"Retrieving, Rethinking and Revising: The Chain-of-Verification Can Improve Retrieval Augmented Generation",Archival published,Findings of the Association for Computational Linguistics: EMNLP 2024,https://doi.org/10.18653/v1/2024.findings-emnlp.607,"Retrieving, Rethinking and Revising: The Chain-of-Verification Can Improve Retrieval Augmented Generation",,conference-paper,2024,10.18653/v1/2024.findings-emnlp.607,https://openalex.org/W4404792856,1.0,DOWNGRADE,register says 'Archival published' but external source shows preprint/no venue (none)
63,Thinking LLMs: General Instruction Following with Thought Generation,Archival published,"Proceedings of the 42nd International Conference on Machine Learning (ICML 2025), PMLR 267",https://proceedings.mlr.press/v267/wu25o.html,Thinking LLMs: General Instruction Following with Thought Generation,arXiv (Cornell University),preprint,2024,10.48550/arxiv.2410.10630,https://openalex.org/W4403571128,1.0,DOWNGRADE,register says 'Archival published' but external source shows preprint/no venue (arXiv (Cornell University))
64,PRefLexOR: Preference-based Recursive Language Modeling for Exploratory Optimization of Reasoning and Agentic Thinking,Archival published,"npj Artificial Intelligence, Volume 1, Article 4",https://doi.org/10.1038/s44387-025-00003-z,PRefLexOR: preference-based recursive language modeling for exploratory optimization of reasoning and agentic thinking,npj Artificial Intelligence,article,2025,10.1038/s44387-025-00003-z,https://openalex.org/W4410374120,1.0,OK,
65,Benchmarking Multimodal Retrieval Augmented Generation with Dynamic VQA Dataset and Self-Adaptive Planning Agent,Archival accepted,International Conference on Learning Representations (ICLR 2025),https://openreview.net/forum?id=VvDEuyVXkG,Benchmarking Multimodal Retrieval Augmented Generation with Dynamic VQA Dataset and Self-adaptive Planning Agent,arXiv (Cornell University),preprint,2024,10.48550/arxiv.2411.02937,https://openalex.org/W4404354192,1.0,DOWNGRADE,register says 'Archival accepted' but external source shows preprint/no venue (arXiv (Cornell University))
66,Command A: An Enterprise-Ready Large Language Model,Preprint/technical report,arXiv preprint,,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
67,DeepSeek-R1 Thoughtology: Let’s -think: about LLM reasoning,Preprint/technical report,,2504.07128,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
68,ReAct: Synergizing Reasoning and Acting in Language Models,Archival published,International Conference on Learning Representations,,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
69,Reflexion: Language Agents with Verbal Reinforcement Learning,Archival published,Advances in NeurIPS,,Reflexion: language agents with verbal reinforcement learning,,conference-paper,2023,10.52202/075280-0377,https://openalex.org/W7133222210,1.0,DOWNGRADE,register says 'Archival published' but external source shows preprint/no venue (none)
70,Toolformer: Language Models Can Teach Themselves to Use Tools,Archival published,Advances in NeurIPS,,Toolformer: Language Models Can Teach Themselves to Use Tools,arXiv (Cornell University),preprint,2023,10.48550/arxiv.2302.04761,https://openalex.org/W4320165837,1.0,DOWNGRADE,register says 'Archival published' but external source shows preprint/no venue (arXiv (Cornell University))
71,MRKL Systems A modular neuro-symbolic architecture that combines large language models external knowledge sources and discrete reasoning,Preprint/technical report,arXiv preprint arXiv:2205.00445,https://doi.org/10.48550/arXiv.2205.00445,"MRKL Systems: A modular, neuro-symbolic architecture that combines large language models, external knowledge sources and discrete reasoning",arXiv (Cornell University),preprint,2022,10.48550/arxiv.2205.00445,https://openalex.org/W4225405251,1.0,OK,both treat it as preprint
72,Tree of Thoughts: Deliberate Problem Solving with Large Language Models,Preprint/technical report,arXiv preprint arXiv:2305.10601,https://doi.org/10.48550/arXiv.2305.10601,Tree of Thoughts: Deliberate Problem Solving with Large Language Models,arXiv (Cornell University),preprint,2023,10.48550/arxiv.2305.10601,https://openalex.org/W4377130677,1.0,OK,both treat it as preprint
73,Cognitive Architectures for Language Agents,Archival published,TMLR,arXiv:2309.02427,Cognitive Architectures for Language Agents,arXiv (Cornell University),preprint,2023,10.48550/arxiv.2309.02427,https://openalex.org/W4386528753,1.0,DOWNGRADE,register says 'Archival published' but external source shows preprint/no venue (arXiv (Cornell University))
74,The Rise and Potential of Large Language Model Based Agents A Survey,Archival published,Sci. China Inf. Sci.,https://doi.org/10.1007/s11432-024-4222-0,The rise and potential of large language model based agents: a survey,Science China Information Sciences,article,2025,10.1007/s11432-024-4222-0,https://openalex.org/W4406800520,1.0,OK,
75,Language Agent Tree Search Unifies Reasoning Acting and Planning in Language Models,Archival published,Proceedings of ICML,,Language Agent Tree Search Unifies Reasoning Acting and Planning in Language Models,arXiv (Cornell University),preprint,2023,10.48550/arxiv.2310.04406,https://openalex.org/W4389422760,1.0,DOWNGRADE,register says 'Archival published' but external source shows preprint/no venue (arXiv (Cornell University))
76,A Survey on Large Language Model based Autonomous Agents,Archival published,Front. Comput. Sci.,https://doi.org/10.1007/s11704-024-40231-1,A survey on large language model based autonomous agents,Frontiers of Computer Science,article,2024,10.1007/s11704-024-40231-1,https://openalex.org/W4393065402,1.0,OK,
77,TALM Tool Augmented Language Models,Preprint/technical report,arXiv / preprint,,TALM: Tool Augmented Language Models,arXiv (Cornell University),preprint,2022,10.48550/arxiv.2205.12255,https://openalex.org/W4281557623,1.0,OK,both treat it as preprint
78,Self-Refine: Iterative Refinement with Self-Feedback,Archival published,NeurIPS 2023,https://proceedings.neurips.cc/paper_files/paper/2023/hash/91edff07232fb1b55a505a9e9f6c0ff3-Abstract-Conference.html,Self-Refine: Iterative Refinement with Self-Feedback,,conference-paper,2023,10.52202/075280-2019,https://openalex.org/W7133236450,1.0,DOWNGRADE,register says 'Archival published' but external source shows preprint/no venue (none)
79,ART: Automatic Multi-step Reasoning and Tool-use for Large Language Models,Archival published,EMNLP 2023,https://doi.org/10.18653/v1/2023.emnlp-main.190,ART: Automatic multi-step reasoning and tool-use for large language models,arXiv (Cornell University),preprint,2023,10.48550/arxiv.2303.09014,https://openalex.org/W4327810433,1.0,DOWNGRADE,register says 'Archival published' but external source shows preprint/no venue (arXiv (Cornell University))
80,HuggingGPT: Solving AI Tasks with ChatGPT and its Friends in Hugging Face,Archival published,NeurIPS 2023,https://proceedings.neurips.cc/paper_files/paper/2023/hash/77c33e6a367922d003ff102ffb92b658-Abstract-Conference.html,HuggingGPT: Solving AI Tasks with ChatGPT and its Friends in Hugging Face,arXiv (Cornell University),preprint,2023,10.48550/arxiv.2303.17580,https://openalex.org/W4361866031,1.0,DOWNGRADE,register says 'Archival published' but external source shows preprint/no venue (arXiv (Cornell University))
