record_id,title,section_priority,has_exact_when_reading_todo,has_template_evidence_block,no_current_cycle_verification,has_concrete_numeric_evidence_signal,claim_use_status,a1_status,note_file
59,Mind's Eye of LLMs- Visualization-of-Thought- Elicits Spatial Reasoning in Large Language Models,S2 / P3,False,False,False,True,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0059.md
61,Buffer of Thoughts: Thought-Augmented Reasoning with Large Language Models,S2 / P3,False,False,False,True,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0061.md
62,"Retrieving, Rethinking and Revising: The Chain-of-Verification Can Improve Retrieval Augmented Generation",S2 / P3,False,False,False,False,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0062.md
63,Thinking LLMs: General Instruction Following with Thought Generation,S2 / P3,False,False,False,False,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0063.md
64,PRefLexOR: Preference-based Recursive Language Modeling for Exploratory Optimization of Reasoning and Agentic Thinking,S2 / P3,False,False,False,False,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0064.md
65,Benchmarking Multimodal Retrieval Augmented Generation with Dynamic VQA Dataset and Self-Adaptive Planning Agent,S2 / P3,False,False,False,False,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0065.md
68,ReAct: Synergizing Reasoning and Acting in Language Models,S3 / P0,False,False,False,True,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0068.md
69,Reflexion: Language Agents with Verbal Reinforcement Learning,S3 / P0,False,False,False,True,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0069.md
70,Toolformer: Language Models Can Teach Themselves to Use Tools,S3 / P0,False,False,False,True,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0070.md
73,Cognitive Architectures for Language Agents,S3 / P1,False,False,False,False,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0073.md
74,The Rise and Potential of Large Language Model Based Agents A Survey,S3 / P1,False,False,False,False,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0074.md
75,"Language Agent Tree Search Unifies Reasoning, Acting, and Planning in Language Models",S3 / P1,False,False,False,True,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0075.md
76,A Survey on Large Language Model based Autonomous Agents,S3 / P1,False,False,False,False,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0076.md
78,Self-Refine: Iterative Refinement with Self-Feedback,S3 / P2,False,False,False,False,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0078.md
79,ART: Automatic Multi-step Reasoning and Tool-use for Large Language Models,S3 / P2,False,False,False,False,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0079.md
80,HuggingGPT: Solving AI Tasks with ChatGPT and its Friends in Hugging Face,S3 / P2,False,False,False,False,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0080.md
84,ViperGPT: Visual Inference via Python Execution for Reasoning,S3 / P2,False,False,False,False,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0084.md
85,API-Bank: A Comprehensive Benchmark for Tool-Augmented LLMs,S3 / P2,False,False,False,False,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0085.md
86,Generative Agents: Interactive Simulacra of Human Behavior,S3 / P2,False,False,False,False,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0086.md
89,Chameleon: Plug-and-Play Compositional Reasoning with Large Language Models,S3 / P2,False,False,False,True,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0089.md
92,Gorilla: Large Language Model Connected with Massive APIs,S3 / P2,False,False,False,True,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0092.md
94,Large Language Models as Tool Makers,S3 / P2,False,False,False,False,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0094.md
95,MemoryBank: Enhancing Large Language Models with Long-Term Memory,S3 / P2,False,False,False,False,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0095.md
96,Reasoning with Language Model is Planning with World Model,S3 / P2,False,False,False,True,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0096.md
98,ToolLLM: Facilitating Large Language Models to Master 16000+ Real-World APIs,S3 / P2,False,False,False,True,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0098.md
102,ExpeL: LLM Agents Are Experiential Learners,S3 / P2,False,False,False,True,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0102.md
103,MetaGPT: Meta Programming for A Multi-Agent Collaborative Framework,S3 / P2,False,False,False,True,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0103.md
114,An LLM Compiler for Parallel Function Calling,S3 / P2,False,False,False,True,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0114.md
115,Large Language Model Based Multi-Agents: A Survey of Progress and Challenges,S3 / P2,False,False,False,False,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0115.md
119,Executable Code Actions Elicit Better LLM Agents,S3 / P2,False,False,False,True,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0119.md
125,Graph of Thoughts: Solving Elaborate Problems with Large Language Models,S3 / P2,False,False,False,True,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0125.md
131,SWE-agent: Agent-Computer Interfaces Enable Automated Software Engineering,S3 / P2,False,False,False,True,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0131.md
147,PlanGenLLMs: A Modern Survey of LLM Planning Capabilities,S3 / P2,False,False,False,False,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0147.md
157,ReflAct: World-Grounded Decision Making in LLM Agents via Goal-State Reflection,S3 / P2,False,False,False,True,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0157.md
162,OS Agents: A Survey on MLLM-based Agents for General Computing Devices Use,S3 / P2,False,False,False,False,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0162.md
169,"Large Language Model Agents: A Comprehensive Survey on Architectures, Capabilities, and Applications",S3 / P2,False,False,False,False,paper-specific note ready for synthesis; publication-status eligibility should be rechecked separately because the verified version is explicitly non-peer-reviewed,complete-or-needs-manual-quality-check,notes/papers/0169.md
173,From Language to Action: A Review of Large Language Models as Autonomous Agents and Tool Users,S3 / P2,False,False,False,False,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0173.md
175,A Survey on the Optimization of Large Language Model-based Agents,S3 / P2,False,False,False,False,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0175.md
176,PlanBench An Extensible Benchmark for Evaluating Large Language Models on Planning and Reasoning about Change,S3 / P3,False,False,False,True,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0176.md
181,Knowledge-enhanced Agents for Interactive Text Games,S3 / P3,False,False,False,True,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0181.md
182,Language Models Meet World Models: Embodied Experiences Enhance Language Models,S3 / P3,False,False,False,True,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0182.md
183,Automatically Correcting Large Language Models: Surveying the Landscape of Diverse Automated Correction Strategies,S3 / P3,False,False,False,False,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0183.md
186,CRAFT: Customizing LLMs by Creating and Retrieving from Specialized Toolsets,S3 / P3,False,False,False,True,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0186.md
187,AdaRefiner: Refining Decisions of Language Models with Adaptive Feedback,S3 / P3,False,False,False,True,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0187.md
188,AlphaZero-Like Tree-Search can Guide Large Language Model Decoding and Training,S3 / P3,False,False,False,False,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0188.md
189,AutoAgents: A Framework for Automatic Agent Generation,S3 / P3,False,False,False,True,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0189.md
190,Corex: Pushing the Boundaries of Complex Reasoning through Multi-Model Collaboration,S3 / P3,False,False,False,True,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0190.md
191,L2MAC: Large Language Model Automatic Computer for Extensive Code Generation,S3 / P3,False,False,False,True,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0191.md
192,Lemur: Harmonizing Natural Language and Code for Language Agents,S3 / P3,False,False,False,False,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0192.md
193,LLaMA-Rider: Spurring Large Language Models to Explore the Open World,S3 / P3,False,False,False,False,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0193.md
194,Automating the Generation of Prompts for LLM-based Action Choice in PDDL Planning,S3 / P3,False,False,False,False,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0194.md
196,JARVIS-1: Open-World Multi-Task Agents With Memory-Augmented Multimodal Language Models,S3 / P3,False,False,False,True,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0196.md
198,"A Survey on LLM-Based Multi-Agent Systems: Workflow, Infrastructure, and Challenges",S3 / P3,False,False,False,False,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0198.md
200,Self-Discover- Large Language Models Self-Compose Reasoning Structures,S3 / P3,False,False,False,False,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0200.md
201,"Position: Towards Unified Alignment Between Agents, Humans, and Environment",S3 / P3,False,False,False,False,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0201.md
202,A Human-Inspired Reading Agent with Gist Memory of Very Long Contexts,S3 / P3,False,False,False,True,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0202.md
203,When is Tree Search Useful for LLM Planning? It Depends on the Discriminator,S3 / P3,False,False,False,True,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0203.md
204,"WorldCoder, a Model-Based LLM Agent: Building World Models by Writing Code and Interacting with the Environment",S3 / P3,False,False,False,True,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0204.md
207,Can LLM-Augmented Autonomous Agents Cooperate? An Evaluation of Their Cooperative Capabilities Through Melting Pot,S3 / P3,False,False,False,False,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0207.md
208,Language Guided Exploration for RL Agents in Text Environments,S3 / P3,False,False,False,False,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0208.md
209,MAGIS: LLM-Based Multi-Agent Framework for GitHub Issue Resolution,S3 / P3,False,False,False,True,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0209.md
210,Playing NetHack with LLMs: Potential & Limitations as Zero-Shot Agents,S3 / P3,False,False,False,False,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0210.md
212,"Toward Self-Improvement of LLMs via Imagination, Searching, and Criticizing",S3 / P3,False,False,False,False,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0212.md
213,360°REA: Towards Reusable Experience Accumulation with 360° Assessment for Multi-Agent Systems,S3 / P3,False,False,False,True,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0213.md
214,A Survey on Large Language Model-Based Game Agents,S3 / P3,False,False,False,False,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0214.md
215,AgentKit: Structured LLM Reasoning with Dynamic Graphs,S3 / P3,False,False,False,True,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0215.md
216,Agent Planning with World Knowledge Model,S3 / P3,False,False,False,False,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0216.md
219,Ask-before-Plan: Proactive Language Agents for Real-World Planning,S3 / P3,False,False,False,False,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0219.md
220,"A Review of Prominent Paradigms for LLM-Based Agents: Tool Use (Including RAG), Planning, and Feedback Learning",S3 / P3,False,False,False,False,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0220.md
221,Chain of Agents: Large Language Models Collaborating on Long-Context Tasks,S3 / P3,False,False,False,True,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0221.md
222,FlowBench: Revisiting and Benchmarking Workflow-Guided Planning for LLM-based Agents,S3 / P3,False,False,False,False,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0222.md
223,AriGraph: Learning Knowledge Graph World Models with Episodic Memory for LLM Agents,S3 / P3,False,False,False,False,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0223.md
230,Planning in the Dark: LLM-Symbolic Planning Pipeline without Experts,S3 / P3,False,False,False,True,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0230.md
231,PRACT: Optimizing Principled Reasoning and Acting of LLM Agent,S3 / P3,False,False,False,False,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0231.md
232,Steering Large Language Models between Code Execution and Textual Reasoning,S3 / P3,False,False,False,True,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0232.md
233,ACC-Collab: An Actor-Critic Approach to Multi-Agent LLM Collaboration,S3 / P3,False,False,False,True,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0233.md
234,"AgentBank: Towards Generalized LLM Agents via Fine-Tuning on 50,000+ Interaction Trajectories",S3 / P3,False,False,False,True,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0234.md
237,OPTIMA: Optimizing Effectiveness and Efficiency for LLM-Based Multi-Agent Systems,S3 / P3,False,False,False,True,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0237.md
238,Proactive Agent: Shifting LLM Agents from Reactive Responses to Active Assistance,S3 / P3,False,False,False,True,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0238.md
239,TaskBench: Benchmarking Large Language Models for Task Automation,S3 / P3,False,False,False,True,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0239.md
242,EscapeBench: Towards Advancing Creative Intelligence of Language Model Agents,S3 / P3,False,False,False,True,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0242.md
244,The Lighthouse of Language: Enhancing LLM Agents via Critique-Guided Improvement,S3 / P3,False,False,False,True,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0244.md
247,LLMs are Greedy Agents: Effects of RL Fine-tuning on Decision-Making Abilities,S3 / P3,False,False,False,True,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0247.md
249,"Meta-Agent-Workflow: Streamlining Tool Usage in LLMs through Workflow Construction, Retrieval, and Refinement",S3 / P3,False,False,False,False,blocked pending full text,blocked-full-text-unavailable,notes/papers/0249.md
262,Agentic Context Engineering: Evolving Contexts for Self-Improving Language Models,S3 / P3,False,False,False,False,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0262.md
268,AgentOCR: Reimagining Agent History via Optical Self-Compression,S3 / P3,False,False,False,True,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0268.md
274,"Data Agents: Levels, State of the Art, and Open Problems",S3 / P3,False,False,False,False,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0274.md
279,World of Bits: An Open-Domain Platform for Web-Based Agents,S4 / P0,False,False,False,False,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0279.md
281,WebShop: Towards Scalable Real-World Web Interaction with Grounded Language Agents,S4 / P0,False,False,False,True,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0281.md
282,SeeAct- GPT-4V__ision__ is a Generalist Web Agent if Grounded,S4 / P0,False,False,False,True,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0282.md
283,- WebVoyager- Building an End-to-End Web Agent with,S4 / P0,False,False,False,True,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0283.md
284,Reinforcement Learning on Web Interfaces using Workflow-Guided Exploration,S4 / P1,False,False,False,False,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0284.md
285,DOM-Q-NET- Grounded RL on Structured Language,S4 / P1,False,False,False,True,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0285.md
286,A Real-World WebAgent with Planning Long Context Understanding and Program Synthesis,S4 / P1,False,False,False,True,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0286.md
287,Large Language Model Powered Agents in the Web,S4 / P1,False,False,False,False,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0287.md
288,AutoWebGLM: Bootstrap and Reinforce a Large Language Model-Based Web Navigating Agent,S4 / P1,False,False,False,False,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0288.md
289,Agent S An Open Agentic Framework that Uses Computers Like a Human,S4 / P1,False,False,False,True,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0289.md
295,Large Language Model-Brained GUI Agents- A Survey,S4 / P1,False,False,False,False,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0295.md
297,A Survey of WebAgents- Towards Next-Generation AI Agents for Web Automation with Large Foundation Models,S4 / P1,False,False,False,False,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0297.md
298,WALT- Web Agents that Learn Tools,S4 / P1,False,False,False,True,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0298.md
299,Mapping Natural Language Instructions to Mobile UI Action Sequences,S4 / P2,False,False,False,True,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0299.md
300,Grounding Open-Domain Instructions to Automate Web Support Tasks,S4 / P2,False,False,False,True,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0300.md
302,WebGLM- Towards an Efficient Web-Enhanced Question Answering System with Human Preferences,S4 / P2,False,False,False,False,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0302.md
303,A Zero-Shot Language Agent for Computer Control with Structured Reflection,S4 / P2,False,False,False,False,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0303.md
305,AppAgent Multimodal Agents as Smartphone Users,S4 / P2,False,False,False,True,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0305.md
307,Cradle Empowering Foundation Agents Towards General Computer Control,S4 / P2,False,False,False,False,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0307.md
310,Automating the Enterprise with Foundation Models,S4 / P2,False,False,False,True,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0310.md
311,OpenWebAgent- An Open Toolkit to Enable Web Agents on Large Language Models,S4 / P2,False,False,False,False,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0311.md
313,Turn Every Application into an Agent- Towards Efficient Human-Agent-Computer Interaction with API-First LLM-Based Agents,S4 / P2,False,False,False,True,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0313.md
318,ReachAgent Enhancing Mobile Agent via Page Reaching and Operation,S4 / P2,False,False,False,False,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0318.md
319,LiteWebAgent The Open-Source Suite for VLM-Based Web-Agent Applications,S4 / P2,False,False,False,False,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0319.md
320,LLM-Powered GUI Agents in Phone Automation- Surveying Progress and Prospects,S4 / P2,False,False,False,False,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0320.md
321,WebThinker- Empowering Large Reasoning Models with Deep Research Capability,S4 / P2,False,False,False,False,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0321.md
322,Beyond Browsing API-Based Web Agents,S4 / P2,False,False,False,True,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0322.md
323,GA- A Comprehensive Survey on LLM-based GUI Agent,S4 / P2,False,False,False,False,blocked pending publication-status revalidation,complete-or-needs-manual-quality-check,notes/papers/0323.md
328,OPENCUA- Open Foundations for Computer-Use Agents,S4 / P2,False,False,False,True,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0328.md
330,BrowserAgent- Building Web Agents with Human-Inspired Web Browsing Actions,S4 / P2,False,False,False,True,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0330.md
