record_id,title,machine_verdict,decision,final_status,final_venue,final_identifier,evidence_url,evidence_note,adjudicated_by,adjudicated_at,corpus_action
464,ScreenAI: A Vision-Language Model for UI and Infographics Understanding,DOWNGRADE,RETAIN_ARCHIVAL_OFFICIAL_IJCAI,Archival published,Proceedings of the Thirty-Third International Joint Conference on Artificial Intelligence (IJCAI-24),https://www.ijcai.org/proceedings/2024/339,https://www.ijcai.org/proceedings/2024/339,"Official IJCAI proceedings list ScreenAI, pages 3058–3068, DOI 10.24963/ijcai.2024/339.",ChatGPT-assisted manual evidence review,2026-09-13,keep archival published; retain IJCAI DOI
505,Thinking vs. Doing: Agents that Reason by Scaling Test-Time Interaction,DOWNGRADE,SET_ARCHIVAL_PUBLISHED_FINAL_TITLE,Archival published,Advances in Neural Information Processing Systems 38 (NeurIPS 2025),https://proceedings.neurips.cc/paper_files/paper/2025/hash/f7c4783621a20f5f11a316cd249e0252-Abstract-Conference.html,https://proceedings.neurips.cc/paper_files/paper/2025/hash/f7c4783621a20f5f11a316cd249e0252-Abstract-Conference.html,Official NeurIPS 2025 proceedings contain the paper under the final title “Thinking vs. Doing: Improving Agent Reasoning by Scaling Test-Time Interaction.”,ChatGPT-assisted manual evidence review,2026-09-13,set archival published; normalize final title/venue and proceedings identifier
548,WebGym: Scaling Training Environments for Visual Web Agents with Realistic Tasks,DOWNGRADE,RETAIN_ARCHIVAL_OFFICIAL_CVF,Archival published,Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR 2026),https://openaccess.thecvf.com/content/CVPR2026/papers/Bai_WebGym_Scaling_Training_Environments_for_Long-Horizon_Visual_Web_Agents_with_CVPR_2026_paper.pdf,https://openaccess.thecvf.com/content/CVPR2026/papers/Bai_WebGym_Scaling_Training_Environments_for_Long-Horizon_Visual_Web_Agents_with_CVPR_2026_paper.pdf,Official CVPR 2026 proceedings PDF contains WebGym under its final long-horizon title; author page also lists CVPR 2026.,ChatGPT-assisted manual evidence review,2026-09-13,keep archival published; normalize final title/venue and official CVF identifier
589,Structured Agent Distillation for Large Language Model,DOWNGRADE,SET_ARCHIVAL_PUBLISHED_AAMAS,Archival published,Proceedings of the 25th International Conference on Autonomous Agents and Multiagent Systems (AAMAS 2026),https://doi.org/10.65109/olhj8062,https://www.ifaamas.org/Proceedings/aamas2026/forms/contents.htm,Official AAMAS 2026 proceedings contents list “Structured Agent Distillation for Large Language Model Agents”; Crossref also returns proceedings DOI 10.65109/olhj8062.,ChatGPT-assisted manual evidence review,2026-09-13,set archival published; set AAMAS 2026 venue and DOI
761,Towards Trustworthy GUI Agents: A Survey,DOWNGRADE,SET_PREPRINT_WRONG_ACL_IDENTIFIER,Preprint/technical report,arXiv preprint,https://arxiv.org/abs/2503.23434,https://arxiv.org/abs/2503.23434,The stored ACL DOI 2025.findings-acl.1158 belongs to the different paper “GUI Agents: A Survey.” Author/community and DBLP records list “Towards Trustworthy GUI Agents: A Survey” as arXiv/CoRR; no final ACL publication was located.,ChatGPT-assisted manual evidence review,2026-09-13,set preprint/technical report; replace incorrect ACL DOI with arXiv identifier
771,IP Leakage Attacks Targeting LLM-Based Multi-Agent Systems,DOWNGRADE,SET_PREPRINT_NO_ARCHIVAL_EVIDENCE,Preprint/technical report,arXiv preprint,https://arxiv.org/abs/2505.12442,https://arxiv.org/abs/2505.12442,Manual search found only the arXiv/CoRR record for IP Leakage Attacks; no authoritative final venue or acceptance record was located.,ChatGPT-assisted manual evidence review,2026-09-13,set preprint/technical report; remove unsupported accepted status
777,Demonstrations of Integrity Attacks in Multi-Agent Systems,DOWNGRADE,SET_PREPRINT_NO_ARCHIVAL_EVIDENCE,Preprint/technical report,arXiv preprint,https://arxiv.org/abs/2506.04572,https://arxiv.org/abs/2506.04572,"Manual search found arXiv/CoRR plus an anonymous ACL submission, but no evidence of final acceptance/publication.",ChatGPT-assisted manual evidence review,2026-09-13,set preprint/technical report; remove unsupported accepted status
779,Simple Prompt Injection Attacks Can Leak Personal Data Observed by LLM Agents During Task Execution,DOWNGRADE,SET_PREPRINT_NO_ARCHIVAL_EVIDENCE,Preprint/technical report,arXiv preprint,https://arxiv.org/abs/2506.01055,https://arxiv.org/abs/2506.01055,Manual search and DBLP locate only the arXiv/CoRR version; no authoritative final venue or acceptance record was located.,ChatGPT-assisted manual evidence review,2026-09-13,set preprint/technical report; remove unsupported accepted status
783,AprielGuard,DOWNGRADE,SET_PREPRINT_NO_ARCHIVAL_EVIDENCE,Preprint/technical report,arXiv preprint,https://arxiv.org/abs/2512.20293,https://arxiv.org/abs/2512.20293,Manual search located AprielGuard on arXiv but no authoritative archival venue or final acceptance record.,ChatGPT-assisted manual evidence review,2026-09-13,set preprint/technical report; remove unsupported accepted status
786,SMCP: Secure Model Context Protocol,DOWNGRADE,SET_PREPRINT_NO_ARCHIVAL_EVIDENCE,Preprint/technical report,arXiv preprint,https://arxiv.org/abs/2602.01129,https://arxiv.org/abs/2602.01129,Manual search located SMCP on arXiv but no authoritative archival venue or final acceptance record.,ChatGPT-assisted manual evidence review,2026-09-13,set preprint/technical report; remove unsupported accepted status
788,ADAM: A Systematic Data Extraction Attack on Agent Memory via Adaptive Querying,DOWNGRADE,SET_PREPRINT_UNDER_REVIEW,Preprint/technical report,arXiv preprint,https://arxiv.org/abs/2604.09747,https://arxiv.org/abs/2604.09747,"ADAM is on arXiv; the located ICLR 2026 OpenReview manuscript explicitly says “Under review as a conference paper at ICLR 2026,” not accepted/published.",ChatGPT-assisted manual evidence review,2026-09-13,set preprint/technical report; remove unsupported accepted status
789,SnapGuard: Lightweight Prompt Injection Detection for Screenshot-Based Web Agents,DOWNGRADE,SET_PREPRINT_NO_ARCHIVAL_EVIDENCE,Preprint/technical report,arXiv preprint,https://arxiv.org/abs/2604.25562,https://arxiv.org/abs/2604.25562,DBLP classifies SnapGuard as CoRR/informal and manual search found no authoritative final venue or acceptance record.,ChatGPT-assisted manual evidence review,2026-09-13,set preprint/technical report; remove unsupported accepted status
