record_id,title,section,already_in_g1_matrix
671,"Automating Web Data Collection- Challenges, Solutions, and Python-Based Strategies for Effective Web Scraping",S6,no
673,ProductAgent Benchmarking Conversational Product Search Agent with Asking Clarification Questions,S6,no
675,OneKE A Dockerized Schema-Guided LLM Agent-based Knowledge Extraction System,S6,yes
684,Reagent: Converting Ordinary Webpages into Interactive Software Agents,S6,no
685,"DataAgent: Evaluating Large Language Models' Ability to Answer Zero-Shot, Natural Language Queries",S6,no
687,AutoDCWorkflow: LLM-based Data Cleaning Workflow Auto-Generation and Benchmark,S6,no
688,DataLab: A Unified Platform for LLM-Powered Business Intelligence,S6,no
690,AutoPrep: Natural Language Question-Aware Data Preparation with a Multi-Agent Framework,S6,no
692,WiNELL: Wikipedia Never-Ending Updating with LLM Agents,S6,yes
699,AdvAgent Controllable Blackbox Red-teaming on Web Agents,S7,no
702,EIA- Environmental Injection Attack on Generalist Web Agents for Privacy Leakage,S7,no
703,SafeArena Evaluating the Safety of Autonomous Web Agents,S7,no
709,WebInject Prompt Injection Attack to Web Agents,S7,no
717,Investigating the Impact of Dark Patterns on LLM-Based Web Agents,S7,no
718,WebCloak- Characterizing and Mitigating Threats from LLM-Driven Web Agents as Intelligent Scrapers,S7,no
797,Generalizability of Large Language Model-Based Agents- A comprehensive survey,S8,no
799,CowPilot A Framework for Autonomous and Human-Agent Collaborative Web Navigation,S8,no
801,"Agent A/B- Automated and Scalable A/B Testing on Live Websites with Interactive LLM Agents [MERGED: consolidates former duplicate row #802, ""AgentAB"" title variant — confirmed same paper]",S8,no
811,The Behavioral Fabric of LLM-Powered GUI Agents- HumanValues and Interaction Outcomes,S8,no
