record_id,title,old_status_category,new_status_category,old_venue,new_venue,old_identifier,new_identifier,bibliography_eligibility,final_exclusion_reason,adjudication_decision
42,A Systematic Evaluation of Large Language Models of Code,Workshop/conditional,Archival published,Proceedings of the 6th ACM SIGPLAN International Symposium on Machine Programming (Deep Learning for Code Workshop at ICLR 2022),Proceedings of the 6th ACM SIGPLAN International Symposium on Machine Programming,,https://doi.org/10.1145/3520312.3534862,Eligible if cited,,SET_ARCHIVAL_PUBLISHED_STRONG_TITLE_DOI
49,SelfCheck: Using LLMs to Zero-Shot Check Their Own Step-by-Step Reasoning,Archival published,Archival published,"The Twelfth International Conference on Learning Representations (ICLR 2024), Poster",ICLR 2024,https://openreview.net/forum?id=pTHfApDakA,https://openreview.net/forum?id=pTHfApDakA,Eligible if cited,,RETAIN_ARCHIVAL_OFFICIAL_OPENREVIEW
57,Beyond Chain-of-Thought: A Survey of Chain-of-X Paradigms for LLMs,Archival published,Archival published,"Proceedings of the 31st International Conference on Computational Linguistics (COLING 2025), pages 10795–10809",Proceedings of the 31st International Conference on Computational Linguistics (COLING 2025),https://doi.org/10.18653/v1/2025.coling-main.719,https://aclanthology.org/2025.coling-main.719/,Eligible if cited,,RETAIN_ARCHIVAL_OFFICIAL_ACL
58,Can Small Language Models Help Large Language Models Reason Better?: LM-Guided Chain-of-Thought,Archival published,Archival published,"Proceedings of LREC-COLING 2024, pages 2835–2843","Proceedings of the 2024 Joint International Conference on Computational Linguistics, Language Resources and Evaluation (LREC-COLING 2024)",https://aclanthology.org/2024.lrec-main.252/,https://aclanthology.org/2024.lrec-main.252/,Eligible if cited,,RETAIN_ARCHIVAL_NORMALIZE_VENUE
60,"Are Long-LLMs A Necessity For Long-Context Tasks- Hongjin Qian1,2, Zheng Liu2∗, Peitian Zhang1, Kelong Mao1, Yujia Zhou1",Preprint/technical report,Preprint/technical report,arXiv preprint arXiv:2405.15318,arXiv / preprint,,https://arxiv.org/abs/2405.15318,Not eligible under strict journal/conference rule,Publication status not eligible under strict archival journal/conference rule: Preprint/technical report,RETAIN_PREPRINT_TARGETED_SEARCH_NO_ARCHIVAL
63,Thinking LLMs: General Instruction Following with Thought Generation,Archival published,Archival published,"Proceedings of the 42nd International Conference on Machine Learning (ICML 2025), PMLR 267","Proceedings of the 42nd International Conference on Machine Learning, PMLR 267",https://proceedings.mlr.press/v267/wu25o.html,https://proceedings.mlr.press/v267/wu25o.html,Eligible if cited,,RETAIN_ARCHIVAL_OFFICIAL_PROCEEDINGS
65,Benchmarking Multimodal Retrieval Augmented Generation with Dynamic VQA Dataset and Self-Adaptive Planning Agent,Archival accepted,Archival published,International Conference on Learning Representations (ICLR 2025),ICLR 2025,https://openreview.net/forum?id=VvDEuyVXkG,https://openreview.net/forum?id=VvDEuyVXkG,Eligible if cited,,SET_ARCHIVAL_PUBLISHED
68,ReAct- Synergizing Reasoning and Acting in Language Models,Archival published,Archival published,International Conference on Learning Representations,ICLR 2023,,https://openreview.net/forum?id=WE_vluYUL-X,Eligible if cited,,RETAIN_ARCHIVAL_OFFICIAL_ICLR
72,Tree of Thoughts- Deliberate Problem Solving with Large Language Models,Preprint/technical report,Archival published,arXiv preprint arXiv:2305.10601,Advances in Neural Information Processing Systems 36,https://doi.org/10.48550/arXiv.2305.10601,https://doi.org/10.52202/075280-0517,Eligible if cited,,SET_ARCHIVAL_PUBLISHED_STRONG_TITLE_DOI
73,Cognitive Architectures for Language Agents,Archival published,Archival published,TMLR,Transactions on Machine Learning Research,arXiv:2309.02427,https://openreview.net/pdf?id=1i6ZCvflQJ,Eligible if cited,,RETAIN_ARCHIVAL_OFFICIAL_TMLR
75,Language Agent Tree Search Unifies Reasoning Acting and Planning in Language Models,Archival published,Archival published,Proceedings of ICML,Proceedings of ICML,,https://proceedings.mlr.press/v235/zhou24r.html,Eligible if cited,,RETAIN_ARCHIVAL_OFFICIAL_PMLR
79,ART: Automatic Multi-step Reasoning and Tool-use for Large Language Models,Archival published,Preprint/technical report,EMNLP 2023,arXiv preprint,https://doi.org/10.18653/v1/2023.emnlp-main.190,https://arxiv.org/abs/2303.09014,Not eligible under strict journal/conference rule,Publication status not eligible under strict archival journal/conference rule: Preprint/technical report,SET_PREPRINT_WRONG_ACL_IDENTIFIER
81,Language Models can Solve Computer Tasks,Preprint/technical report,Archival published,arXiv / preprint,Advances in Neural Information Processing Systems 36,,https://doi.org/10.52202/075280-1723,Eligible if cited,,SET_ARCHIVAL_PUBLISHED_STRONG_TITLE_DOI
83,TaskMatrix.AI Completing Tasks by Connecting Foundation Models with Millions of APIs,Preprint/technical report,Archival published,arXiv / Microsoft technical report,Intelligent Computing,,https://doi.org/10.34133/icomputing.0063,Eligible if cited,,SET_ARCHIVAL_PUBLISHED_STRONG_TITLE_DOI
86,Generative Agents: Interactive Simulacra of Human Behavior,Archival published,Archival published,UIST 2023,Proceedings of the 36th Annual ACM Symposium on User Interface Software and Technology (UIST 2023),https://doi.org/10.1145/3586183.3606763,https://doi.org/10.1145/3586183.3606763,Eligible if cited,,RETAIN_ARCHIVAL_NORMALIZE_VENUE
90,Tool Learning with Foundation Models,Preprint/technical report,Archival published,arXiv / survey,ACM Computing Surveys,,https://doi.org/10.1145/3704435,Eligible if cited,,SET_ARCHIVAL_PUBLISHED_ACM
91,AdaPlanner Adaptive Planning from Feedback with Language Models,Preprint/technical report,Archival published,arXiv / preprint,Advances in Neural Information Processing Systems 36,,https://doi.org/10.52202/075280-2537,Eligible if cited,,SET_ARCHIVAL_PUBLISHED_STRONG_TITLE_DOI
93,Interactive Natural Language Processing,Preprint/technical report,Archival published,arXiv / survey-style paper,Synthesis Lectures on Human Language Technologies / Springer Nature,,https://doi.org/10.1007/978-3-032-06264-2,Not eligible under strict journal/conference rule,Publication type outside strict journal/conference rule (book),SET_ARCHIVAL_PUBLISHED_SPRINGER_BOOK
94,Large Language Models as Tool Makers,Archival published,Archival published,The Twelfth International Conference on Learning Representations (ICLR 2024),ICLR 2024,https://openreview.net/forum?id=qV83K9d5WB,https://openreview.net/forum?id=qV83K9d5WB,Eligible if cited,,RETAIN_ARCHIVAL_OFFICIAL_OPENREVIEW
98,ToolLLM: Facilitating Large Language Models to Master 16000+ Real-World APIs,Archival published,Archival published,The Twelfth International Conference on Learning Representations (ICLR 2024),ICLR 2024,https://openreview.net/forum?id=dHng2O0Jjr,https://openreview.net/forum?id=dHng2O0Jjr,Eligible if cited,,RETAIN_ARCHIVAL_OFFICIAL_ICLR
99,AutoDroid- LLM-powered Task Automation in Android,Preprint/technical report,Archival published,arXiv / preprint,Proceedings of the 30th Annual International Conference on Mobile Computing and Networking,,https://doi.org/10.1145/3636534.3649379,Eligible if cited,,SET_ARCHIVAL_PUBLISHED_STRONG_TITLE_DOI
103,MetaGPT: Meta Programming for A Multi-Agent Collaborative Framework,Archival published,Archival published,"The Twelfth International Conference on Learning Representations (ICLR 2024), Oral",ICLR 2024,https://openreview.net/forum?id=VtmBAGCN7o,https://openreview.net/forum?id=VtmBAGCN7o,Eligible if cited,,RETAIN_ARCHIVAL_OFFICIAL_OPENREVIEW
107,AgentTuning Enabling Generalized Agent Abilities for LLMs,Unconfirmed,Archival published,ACL 2024 / Findings-style venue likely; verify before final citation,Findings of the Association for Computational Linguistics ACL 2024,,https://doi.org/10.18653/v1/2024.findings-acl.181,Eligible if cited,,SET_ARCHIVAL_PUBLISHED_STRONG_TITLE_DOI
110,OpenAgents An Open Platform for Language Agents in the Wild,Unconfirmed,Archival published,EMNLP 2024 demo/system track likely; verify before final citation,COLM 2024,,https://openreview.net/forum?id=sKATR2O1Y0,Eligible if cited,,SET_ARCHIVAL_PUBLISHED
112,ADaPT As-Needed Decomposition and Planning with Language Models,Preprint/technical report,Archival published,arXiv / preprint,Findings of the Association for Computational Linguistics: NAACL 2024,,https://doi.org/10.18653/v1/2024.findings-naacl.264,Eligible if cited,,SET_ARCHIVAL_PUBLISHED_STRONG_TITLE_DOI
113,Agent Lumos Unified and Modular Training for Open-Source Language Agents,Preprint/technical report,Archival published,arXiv / preprint,Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),,https://doi.org/10.18653/v1/2024.acl-long.670,Eligible if cited,,SET_ARCHIVAL_PUBLISHED_STRONG_TITLE_DOI
114,An LLM Compiler for Parallel Function Calling,Archival published,Archival published,"Proceedings of the 41st International Conference on Machine Learning (ICML 2024), PMLR 235, pages 24370-24391","Proceedings of the 41st International Conference on Machine Learning, PMLR 235",https://proceedings.mlr.press/v235/kim24y.html,https://proceedings.mlr.press/v235/kim24y.html,Eligible if cited,,RETAIN_ARCHIVAL_OFFICIAL_PROCEEDINGS
115,"Large Language Model based Multi-Agents- A Survey of Progress and Challenges Taicheng Guo1 , Xiuying Chen2 , Yaqi Wang3∗, Ruidi Chang , Shichao Pei4 ,",Archival published,Archival published,"IJCAI 2024 (Survey Track), pp. 8048–8057",IJCAI 2024 Survey Track,https://doi.org/10.24963/ijcai.2024/890; 2402.01680,https://doi.org/10.24963/ijcai.2024/890,Eligible if cited,,RETAIN_ARCHIVAL_OFFICIAL_IJCAI
118,PreAct- Predicting Future in ReAct Enhances Agent’s Planning Ability,Preprint/technical report,Archival published,arXiv / preprint,COLING 2025,,https://dblp.org/rec/conf/coling/FuHLDW0X25,Eligible if cited,,SET_ARCHIVAL_PUBLISHED_COLING
119,Executable Code Actions Elicit Better LLM Agents,Archival published,Archival published,"Proceedings of the 41st International Conference on Machine Learning (ICML 2024), PMLR 235, pages 50208-50232","Proceedings of the 41st International Conference on Machine Learning, PMLR 235",https://proceedings.mlr.press/v235/wang24h.html,https://proceedings.mlr.press/v235/wang24h.html,Eligible if cited,,RETAIN_ARCHIVAL_OFFICIAL_PROCEEDINGS
121,UFO A UI-Focused Agent for Windows OS Interaction,Preprint/technical report,Archival published,arXiv / Microsoft technical report,Proceedings of the 2025 Conference of the Nations of the Americas Chapter of the Association for Computational Linguistics: Human Language Technologies (Volume 1: Long Papers),,https://doi.org/10.18653/v1/2025.naacl-long.26,Eligible if cited,,SET_ARCHIVAL_PUBLISHED_STRONG_TITLE_DOI
123,LLMs in the Imaginarium- Tool Learning through Simulated Trial and Error,Preprint/technical report,Archival published,arXiv / preprint,Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),,https://doi.org/10.18653/v1/2024.acl-long.570,Eligible if cited,,SET_ARCHIVAL_PUBLISHED_STRONG_TITLE_DOI
124,KnowAgent Knowledge-Augmented Planning for LLM-Based Agents,Preprint/technical report,Archival published,arXiv / preprint,Findings of the Association for Computational Linguistics: NAACL 2025,,https://doi.org/10.18653/v1/2025.findings-naacl.205,Eligible if cited,,SET_ARCHIVAL_PUBLISHED_STRONG_TITLE_DOI
127,THE LANDSCAPE OF EMERGING AI AGENT ARCHITECTURES,Preprint/technical report,Preprint/technical report,arXiv (tech report),arXiv / preprint,2404.11584,https://arxiv.org/abs/2404.11584,Not eligible under strict journal/conference rule,Publication status not eligible under strict archival journal/conference rule: Preprint/technical report,RETAIN_PREPRINT_TARGETED_SEARCH_NO_ARCHIVAL
128,A Survey on the Memory Mechanism of Large Language Model based Agents,Preprint/technical report,Archival published,arXiv / survey,ACM Transactions on Information Systems,,https://doi.org/10.1145/3748302,Eligible if cited,,SET_ARCHIVAL_PUBLISHED_STRONG_TITLE_DOI
130,Agent Design Pattern Catalogue A Collection of Architectural Patterns for Foundation Model based Agents,Preprint/technical report,Archival published,arXiv / preprint,Journal of Systems and Software,,https://doi.org/10.1016/j.jss.2024.112278,Eligible if cited,,SET_ARCHIVAL_PUBLISHED_STRONG_TITLE_DOI
132,AvaTaR- Optimizing LLM Agents for Tool Usage via Contrastive Reasoning,Preprint/technical report,Archival published,arXiv / preprint,Advances in Neural Information Processing Systems 37,,https://doi.org/10.52202/079017-0817,Eligible if cited,,SET_ARCHIVAL_PUBLISHED_STRONG_TITLE_DOI
133,Tool Learning with Large Language Models- A Survey,Preprint/technical report,Archival published,arXiv / survey,Frontiers of Computer Science,,https://doi.org/10.1007/s11704-024-40678-2,Eligible if cited,,SET_ARCHIVAL_PUBLISHED_FCS
134,Mobile-Agent-v2 Mobile Device Operation Assistant with Effective Navigation via Multi-Agent Collaboration,Preprint/technical report,Archival published,arXiv / preprint,Advances in Neural Information Processing Systems 37,,https://doi.org/10.52202/079017-0088,Eligible if cited,,SET_ARCHIVAL_PUBLISHED_STRONG_TITLE_DOI
135,AppWorld A Controllable World of Apps and People for Benchmarking Interactive Coding Agents,Unconfirmed,Archival published,ACL 2024 / benchmark paper likely; verify before final citation,Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),,https://doi.org/10.18653/v1/2024.acl-long.850,Eligible if cited,,SET_ARCHIVAL_PUBLISHED_STRONG_TITLE_DOI
137,Recursive Introspection Teaching Language Model Agents How to Self-Improve,Preprint/technical report,Archival published,arXiv / preprint,Advances in Neural Information Processing Systems 37,,https://doi.org/10.52202/079017-1754,Eligible if cited,,SET_ARCHIVAL_PUBLISHED_STRONG_TITLE_DOI
141,xLAM A Family of Large Action Models to Empower AI Agent Systems,Preprint/technical report,Archival published,arXiv / Salesforce technical report,Proceedings of the 2025 Conference of the Nations of the Americas Chapter of the Association for Computational Linguistics: Human Language Technologies (Volume 1: Long Papers),,https://doi.org/10.18653/v1/2025.naacl-long.578,Eligible if cited,,SET_ARCHIVAL_PUBLISHED_STRONG_TITLE_DOI
146,Agentic Reasoning- Reasoning LLMs with Tools for the Deep Research,Preprint/technical report,Preprint/technical report,arXiv / preprint,arXiv / preprint,,https://arxiv.org/abs/2502.04644,Not eligible under strict journal/conference rule,Publication status not eligible under strict archival journal/conference rule: Preprint/technical report,RETAIN_PREPRINT_TARGETED_SEARCH_NO_ARCHIVAL
149,"Agentic Large Language Models, a survey",Preprint/technical report,Archival published,arXiv / survey,Journal of Artificial Intelligence Research,,https://doi.org/10.1613/jair.1.18675,Eligible if cited,,SET_ARCHIVAL_PUBLISHED_JAIR
150,API Agents vs. GUI Agents- Divergence and Convergence,Preprint/technical report,Workshop/non-archival,arXiv / preprint,ICML 2025 Workshop on Computer Use Agents,,https://arxiv.org/abs/2503.11069,Not eligible under strict journal/conference rule,Publication status not eligible under strict archival journal/conference rule: Workshop/non-archival,SET_WORKSHOP_NON_ARCHIVAL
152,Advances and Challenges in Foundation Agents,Preprint/technical report,Preprint/technical report,arXiv book/survey; uploaded duplicate,arXiv / preprint,,https://arxiv.org/abs/2504.01990,Not eligible under strict journal/conference rule,Publication status not eligible under strict archival journal/conference rule: Preprint/technical report,RETAIN_PREPRINT_TARGETED_SEARCH_NO_ARCHIVAL
156,LLM-Based Human-Agent Collaboration and Interaction Systems A Survey,Preprint/technical report,Archival published,arXiv / survey; overlaps with previous human-agent survey,Findings of the Association for Computational Linguistics: ACL 2026,,https://doi.org/10.18653/v1/2026.findings-acl.1811,Eligible if cited,,SET_ARCHIVAL_PUBLISHED_STRONG_TITLE_DOI
158,Deep Research Agents- A Systematic Examination And Roadmap,Preprint/technical report,Preprint/technical report,arXiv / survey,arXiv / preprint,,https://arxiv.org/abs/2506.18096,Not eligible under strict journal/conference rule,Publication status not eligible under strict archival journal/conference rule: Preprint/technical report,RETAIN_PREPRINT_TARGETED_SEARCH_NO_ARCHIVAL
159,MMSearch-R1- Incentivizing LMMs to Search,Preprint/technical report,Archival published,arXiv / preprint,Proceedings of the 64th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),,https://doi.org/10.18653/v1/2026.acl-long.114,Eligible if cited,,SET_ARCHIVAL_PUBLISHED_STRONG_TITLE_DOI
162,OS Agents- A Survey on MLLM-based Agents for General Computing Devices Use,Archival published,Archival published,Proceedings of the 63rd Annual Meeting of the Association for Computational Linguistics,Proceedings of the 63rd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),arXiv:2412.04453,https://aclanthology.org/2025.acl-long.369/,Eligible if cited,,RETAIN_ARCHIVAL_CORRECT_TITLE_IDENTIFIER
165,Beyond Pipelines- A Survey of the Paradigm Shift toward Model-Native Agentic AI,Preprint/technical report,Preprint/technical report,arXiv / survey with journal-style template,arXiv / preprint,,https://arxiv.org/abs/2510.16720,Not eligible under strict journal/conference rule,Publication status not eligible under strict archival journal/conference rule: Preprint/technical report,RETAIN_PREPRINT_TARGETED_SEARCH_NO_ARCHIVAL
166,Experience-Driven Exploration for Efficient API-Free AI Agents,Preprint/technical report,Preprint/technical report,arXiv / preprint,arXiv / ICLR 2026 submission under review,,https://arxiv.org/abs/2510.15259,Not eligible under strict journal/conference rule,Publication status not eligible under strict archival journal/conference rule: Preprint/technical report,RETAIN_PREPRINT_ICLR_UNDER_REVIEW
167,Memory as Action- Autonomous Context Curation for Long-Horizon Agentic Tasks,Preprint/technical report,Archival published,arXiv / preprint,Findings of the Association for Computational Linguistics: ACL 2026,,https://doi.org/10.18653/v1/2026.findings-acl.956,Eligible if cited,,SET_ARCHIVAL_PUBLISHED_STRONG_TITLE_DOI
169,"Large Language Model Agents- A Comprehensive Survey on Architectures, Capabilities, and Applications",Archival published,Preprint/technical report,"Preprints.org, not peer-reviewed version",Preprints.org,,https://www.preprints.org/manuscript/202512.2119,Not eligible under strict journal/conference rule,Publication status not eligible under strict archival journal/conference rule: Preprint/technical report,SET_PREPRINT_ONLY
170,"Memory in the Age of AI Agents- A Survey Forms, Functions and Dynamics",Preprint/technical report,Preprint/technical report,arXiv / survey,arXiv / manuscript,,https://arxiv.org/abs/2512.13564,Not eligible under strict journal/conference rule,Publication status not eligible under strict archival journal/conference rule: Preprint/technical report,RETAIN_PREPRINT_NO_FINAL_VENUE
172,"AI Agent Systems- Architectures, Applications, and Evaluation",Preprint/technical report,Preprint/technical report,arXiv / survey,arXiv / preprint,,https://arxiv.org/abs/2601.01743,Not eligible under strict journal/conference rule,Publication status not eligible under strict archival journal/conference rule: Preprint/technical report,RETAIN_PREPRINT_TARGETED_SEARCH_NO_ARCHIVAL
174,"Toward Efficient Agents- Memory, Tool learning, and Planning",Preprint/technical report,Preprint/technical report,arXiv / survey,arXiv / preprint,,https://arxiv.org/abs/2601.14192,Not eligible under strict journal/conference rule,Publication status not eligible under strict archival journal/conference rule: Preprint/technical report,RETAIN_PREPRINT_TARGETED_SEARCH_NO_ARCHIVAL
175,A Survey on the Optimization of Large Language Model-based agents,Archival published,Archival published,ACM-style journal article / arXiv version,ACM Computing Surveys,,https://doi.org/10.1145/3789261,Eligible if cited,,RETAIN_ARCHIVAL_CORRECT_VENUE
186,CRAFT: Customizing LLMs by Creating and Retrieving from Specialized Toolsets,Archival published,Archival published,"The Twelfth International Conference on Learning Representations (ICLR 2024), Poster",ICLR 2024,https://openreview.net/forum?id=G0vdDSt9XM,https://openreview.net/forum?id=G0vdDSt9XM,Eligible if cited,,RETAIN_ARCHIVAL_OFFICIAL_OPENREVIEW
188,AlphaZero-Like Tree-Search can Guide Large Language Model Decoding and Training,Archival published,Archival published,"Proceedings of the 41st International Conference on Machine Learning (ICML 2024), PMLR 235, pages 49890-49920","Proceedings of the 41st International Conference on Machine Learning, PMLR 235",https://proceedings.mlr.press/v235/wan24c.html,https://proceedings.mlr.press/v235/wan24c.html,Eligible if cited,,RETAIN_ARCHIVAL_OFFICIAL_PROCEEDINGS
189,AutoAgents: A Framework for Automatic Agent Generation,Archival published,Archival published,"Proceedings of the Thirty-Third International Joint Conference on Artificial Intelligence (IJCAI-24), Main Track, pages 22-30",Proceedings of the Thirty-Third International Joint Conference on Artificial Intelligence (IJCAI-24),https://doi.org/10.24963/ijcai.2024/3,https://www.ijcai.org/proceedings/2024/0003,Eligible if cited,,RETAIN_ARCHIVAL_OFFICIAL_IJCAI
190,Corex: Pushing the Boundaries of Complex Reasoning through Multi-Model Collaboration,Archival accepted,Archival published,Conference on Language Modeling (COLM 2024),COLM 2024,https://openreview.net/forum?id=7BCmIWVT0V,https://openreview.net/forum?id=7BCmIWVT0V,Eligible if cited,,SET_ARCHIVAL_PUBLISHED
191,L2MAC: Large Language Model Automatic Computer for Extensive Code Generation,Archival published,Archival published,"The Twelfth International Conference on Learning Representations (ICLR 2024), Poster",ICLR 2024,https://openreview.net/forum?id=EhrzQwsV4K,https://openreview.net/forum?id=EhrzQwsV4K,Eligible if cited,,RETAIN_ARCHIVAL_OFFICIAL_OPENREVIEW
192,Lemur: Harmonizing Natural Language and Code for Language Agents,Archival published,Archival published,"The Twelfth International Conference on Learning Representations (ICLR 2024), Spotlight",ICLR 2024,https://openreview.net/forum?id=hNhwSmtXRh,https://openreview.net/forum?id=hNhwSmtXRh,Eligible if cited,,RETAIN_ARCHIVAL_OFFICIAL_OPENREVIEW
199,"Exploring Large Language Model based Intelligent Agents- Definitions, Methods, and Prospects",Preprint/technical report,Archival published,,WIREs Data Mining and Knowledge Discovery,2401.03428,https://doi.org/10.1002/widm.70111,Eligible if cited,,SET_ARCHIVAL_PUBLISHED_MANUAL_OFFICIAL
201,"Position: Towards Unified Alignment Between Agents, Humans, and Environment",Archival published,Archival published,"Proceedings of the 41st International Conference on Machine Learning (ICML 2024), PMLR 235, pages 56251-56275",ICML 2024 / PMLR 235,https://proceedings.mlr.press/v235/yang24p.html,https://proceedings.mlr.press/v235/yang24p.html,Eligible if cited,,RETAIN_ARCHIVAL_OFFICIAL_PMLR
202,A Human-Inspired Reading Agent with Gist Memory of Very Long Contexts,Archival published,Archival published,"Proceedings of the 41st International Conference on Machine Learning (ICML 2024), PMLR 235, pages 26396-26415","Proceedings of the 41st International Conference on Machine Learning, PMLR 235",https://proceedings.mlr.press/v235/lee24c.html,https://proceedings.mlr.press/v235/lee24c.html,Eligible if cited,,RETAIN_ARCHIVAL_OFFICIAL_PROCEEDINGS
214,A Survey on Large Language Model-Based Game Agents,Archival accepted,Archival accepted,ACM Computing Surveys (to appear),ACM Computing Surveys,https://doi.org/10.48550/arXiv.2404.02039; arXiv:2404.02039,https://doi.org/10.48550/arXiv.2404.02039; arXiv:2404.02039,Eligible if cited,,RETAIN_ARCHIVAL_ACCEPTED_ACM
215,AgentKit: Structured LLM Reasoning with Dynamic Graphs,Archival accepted,Archival published,Conference on Language Modeling (COLM 2024),COLM 2024,https://openreview.net/forum?id=PKfAq8N4fK,https://openreview.net/forum?id=PKfAq8N4fK,Eligible if cited,,SET_ARCHIVAL_PUBLISHED
220,"A Review of Prominent Paradigms for LLM-Based Agents: Tool Use (Including RAG), Planning, and Feedback Learning",Archival published,Archival published,"Proceedings of the 31st International Conference on Computational Linguistics (COLING 2025), pages 9760–9779",Proceedings of the 31st International Conference on Computational Linguistics (COLING 2025),https://aclanthology.org/2025.coling-main.658/,https://aclanthology.org/2025.coling-main.652/,Eligible if cited,,RETAIN_ARCHIVAL_CORRECT_IDENTIFIER
232,Steering Large Language Models between Code Execution and Textual Reasoning,Archival published,Archival published,ICLR 2025,ICLR 2025,"proceedings.iclr.cc (2025, OpenReview 5X5Z7Ffrjb); 2410.03524",https://proceedings.iclr.cc/paper_files/paper/2025/hash/f763f7c9a6599e14b07add5937d8189c-Abstract-Conference.html,Eligible if cited,,RETAIN_ARCHIVAL_OFFICIAL_ICLR
233,ACC-Collab: An Actor-Critic Approach to Multi-Agent LLM Collaboration,Archival published,Archival published,International Conference on Learning Representations (ICLR 2025),ICLR 2025,https://openreview.net/forum?id=nfKfAzkiez,https://openreview.net/forum?id=nfKfAzkiez,Eligible if cited,,RETAIN_ARCHIVAL_OFFICIAL_OPENREVIEW
238,Proactive Agent: Shifting LLM Agents from Reactive Responses to Active Assistance,Archival accepted,Archival published,International Conference on Learning Representations (ICLR 2025),ICLR 2025,https://openreview.net/forum?id=sRIU6k2TcU,https://openreview.net/forum?id=sRIU6k2TcU,Eligible if cited,,SET_ARCHIVAL_PUBLISHED
241,Agents Are Not Enough,Preprint/technical report,Archival published,"arXiv (marked ""under review"")",Computer,2412.16241,https://doi.org/10.1109/mc.2025.3575829,Eligible if cited,,SET_ARCHIVAL_PUBLISHED_STRONG_TITLE_DOI
247,LLMs are Greedy Agents: Effects of RL Fine-tuning on Decision-Making Abilities,Archival published,Archival published,"International Conference on Learning Representations (ICLR 2026), Poster",ICLR 2026,https://openreview.net/forum?id=weUP6H5Ko9,https://openreview.net/forum?id=weUP6H5Ko9,Eligible if cited,,RETAIN_ARCHIVAL_OFFICIAL_ICLR
