record_id,title,year,venue,publication_status,status_category,existing_identifier,existing_archival_doi,doi_final,doi_status,doi_source,verification_url,crossref_title,crossref_score,crossref_type,crossref_year,openalex_title,openalex_score,manual_decision,notes
19,An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale,2021,ICLR 2021,Published,Archival published,https://openreview.net/forum?id=YicbFdNTTy,,,verified_no_archival_doi_expected_for_venue,,,An image is worth a thousand words,0.4262,journal-article,2019,An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale,1.0400,,
20,Training Compute-Optimal Large Language Models,2022,Advances in Neural Information Processing Systems,Published,Archival published,arXiv:2203.15556,,10.52202/068431-2176,added_verified_archival_doi_crossref,Crossref exact-title search,https://doi.org/10.52202/068431-2176,Training Compute-Optimal Large Language Models,1.0400,proceedings-article,2022,Training Compute-Optimal Large Language Models,1.0400,,
21,Flamingo: a Visual Language Model for Few-Shot Learning,2022,Advances in Neural Information Processing Systems 35 (NeurIPS 2022),Published,Archival published,https://proceedings.neurips.cc/paper_files/paper/2022/hash/960a172bc7fbf0177ccccbb411a7d800-Abstract-Conference.html,,10.52202/068431-1723,added_verified_archival_doi_crossref,Crossref exact-title search,https://doi.org/10.52202/068431-1723,Flamingo: A Visual Language Model for Few-Shot Learning,1.0400,proceedings-article,2022,Flamingo: a Visual Language Model for Few-Shot Learning,1.0400,,
22,Emergent Abilities of Large Language Models,2022,Transactions on Machine Learning Research,Published,Archival published,https://openreview.net/forum?id=yzkSU5zdwD,,,verified_no_archival_doi_expected_for_venue,,,Are Emergent Abilities of Large Language Models a Mirage?,0.8180,proceedings-article,2023,Emergent Abilities of Large Language Models,1.0400,,
23,BLIP-2: Bootstrapping Language-Image Pre-training with Frozen Image Encoders and Large Language Models,2023,"Proceedings of the 40th International Conference on Machine Learning, PMLR 202",Published,Archival published,https://proceedings.mlr.press/v202/li23q.html,,,verified_no_archival_doi_expected_for_venue,,,Applying Bootstrapping Language-Image Pre-training for Nutrition Detection from Food Images,0.4802,book-chapter,2025,BLIP-2: Bootstrapping Language-Image Pre-training with Frozen Image Encoders and Large Language Models,1.0400,,
24,Language Is Not All You Need: Aligning Perception with Language Models,2023,NeurIPS 2023,Published,Archival published,https://proceedings.neurips.cc/paper_files/paper/2023/hash/e425b75bac5742a008d643826428787c-Abstract-Conference.html,,10.52202/075280-3155,added_verified_archival_doi_crossref,Crossref exact-title search,https://doi.org/10.52202/075280-3155,Language Is Not All You Need: Aligning Perception with Language Models,1.0400,proceedings-article,2023,Language Is Not All You Need: Aligning Perception with Language Models,1.0400,,
25,Multimodal Chain-of-Thought Reasoning in Language Models,2024,Transactions on Machine Learning Research,Published,Archival published,https://openreview.net/forum?id=y1pPWFVfvR,,,verified_no_archival_doi_manual,Official TMLR/OpenReview record,https://openreview.net/forum?id=y1pPWFVfvR,,,,,,,no_doi,"TMLR uses the OpenReview record here. DOI 10.59350/90sh1-hbs94 is Crossref posted-content, not the archival journal DOI of record."
26,PaLM-E: An Embodied Multimodal Language Model,2023,"Proceedings of the 40th International Conference on Machine Learning, PMLR 202",Published,Archival published,https://proceedings.mlr.press/v202/driess23a.html,,,verified_no_archival_doi_expected_for_venue,,,ManipLLM: Embodied Multimodal Large Language Model for Object-Centric Robotic Manipulation,0.4914,proceedings-article,2024,PaLM-E: An Embodied Multimodal Language Model,1.0400,,
27,SelfCheckGPT: Zero-Resource Black-Box Hallucination Detection for Generative Large Language Models,2023,EMNLP 2023,Published,Archival published,https://doi.org/10.18653/v1/2023.emnlp-main.557,10.18653/v1/2023.emnlp-main.557,10.18653/v1/2023.emnlp-main.557,verified_existing_archival_doi,Crossref direct DOI lookup,https://doi.org/10.18653/v1/2023.emnlp-main.557,SelfCheckGPT: Zero-Resource Black-Box Hallucination Detection for Generative Large Language Models,1.0000,proceedings-article,2023,,,,
28,InstructBLIP: Towards General-purpose Vision-Language Models with Instruction Tuning,2023,"Advances in Neural Information Processing Systems 36 (NeurIPS 2023), Main Conference Track",Published,Archival published,https://proceedings.neurips.cc/paper_files/paper/2023/hash/9a6a435e75419a836fe47ab6793623e6-Abstract-Conference.html,,10.52202/075280-2142,added_verified_archival_doi_crossref,Crossref exact-title search,https://doi.org/10.52202/075280-2142,InstructBLIP: Towards General-purpose Vision-Language Models with Instruction Tuning,1.0400,proceedings-article,2023,InstructBLIP: Towards General-purpose Vision-Language Models with Instruction Tuning,1.0400,,
30,"Self-RAG: Learning to Retrieve, Generate, and Critique through Self-Reflection",2024,ICLR 2024,Published,Archival published,https://openreview.net/forum?id=hSyW5go0v8,,,verified_no_archival_doi_expected_for_venue,,,"Learning to Retrieve, Generate, and Compress: A Unified View of Efficient RAG",0.5613,posted-content,2025,Adaptive-RAG: Learning to Adapt Retrieval-Augmented Large Language Models through Question Complexity,0.4405,,
34,To CoT or Not to CoT? Chain-of-Thought Helps Mainly on Math and Symbolic Reasoning,2025,ICLR 2025,Published,Archival published,https://openreview.net/forum?id=4hSaB8l9cB,,,verified_no_archival_doi_expected_for_venue,,,CoT-VTM: Visual-to-Music Generation with Chain-of-Thought Reasoning,0.4954,proceedings-article,2025,,,,API notes: Crossref=ok; OpenAlex=HTTP 400
38,A Survey of Frontiers in LLM Reasoning Inference Scaling Learning to Reason and Agentic Systems,2025,Transactions on Machine Learning Research,Published,Archival published,https://openreview.net/forum?id=SlsZZ25InC,,,verified_no_archival_doi_expected_for_venue,,,Secure Agentic Reinforcement Learning for LLM-Driven SaaS Systems,0.4231,book-chapter,2026,"A Survey of Frontiers in LLM Reasoning: Inference Scaling, Learning to Reason, and Agentic Systems",1.0400,,
39,How Can We Know What Language Models Know?,2020,"Transactions of the Association for Computational Linguistics, Volume 8",Published,Archival published,https://doi.org/10.1162/tacl_a_00324,10.1162/tacl_a_00324,10.1162/tacl_a_00324,verified_existing_archival_doi,Crossref direct DOI lookup,https://doi.org/10.1162/tacl_a_00324,How Can We Know What Language Models Know?,1.0000,journal-article,2020,,,,
40,How Much Knowledge Can You Pack Into the Parameters of a Language Model?,2020,EMNLP 2020,Published,Archival published,https://doi.org/10.18653/v1/2020.emnlp-main.437,10.18653/v1/2020.emnlp-main.437,10.18653/v1/2020.emnlp-main.437,verified_existing_archival_doi,Crossref direct DOI lookup,https://doi.org/10.18653/v1/2020.emnlp-main.437,How Much Knowledge Can You Pack Into the Parameters of a Language Model?,1.0000,proceedings-article,2020,,,,
41,Experience Grounds Language,2020,EMNLP 2020,Published,Archival published,https://doi.org/10.18653/v1/2020.emnlp-main.703,10.18653/v1/2020.emnlp-main.703,10.18653/v1/2020.emnlp-main.703,verified_existing_archival_doi,Crossref direct DOI lookup,https://doi.org/10.18653/v1/2020.emnlp-main.703,Experience Grounds Language,1.0000,proceedings-article,2020,,,,
44,Selection-Inference: Exploiting Large Language Models for Interpretable Logical Reasoning,2023,ICLR 2023,Published,Archival published,https://openreview.net/forum?id=3Pf3Wg6o-A4,,,verified_no_archival_doi_expected_for_venue,,,Large Language Models and Logical Reasoning,0.6060,journal-article,2023,Selection-Inference: Exploiting Large Language Models for Interpretable Logical Reasoning,1.0200,,
46,Adapting Language Models to Compress Contexts,2023,"Proceedings of the 2023 Conference on Empirical Methods in Natural Language Processing, pages 3829-3846",Published,Archival published,https://doi.org/10.18653/v1/2023.emnlp-main.232,10.18653/v1/2023.emnlp-main.232,10.18653/v1/2023.emnlp-main.232,verified_existing_archival_doi,Crossref direct DOI lookup,https://doi.org/10.18653/v1/2023.emnlp-main.232,Adapting Language Models to Compress Contexts,1.0000,proceedings-article,2023,,,,
47,AlpacaFarm: A Simulation Framework for Methods that Learn from Human Feedback,2023,"Advances in Neural Information Processing Systems 36 (NeurIPS 2023), Main Conference Track",Published,Archival published,https://proceedings.neurips.cc/paper_files/paper/2023/hash/5fc47800ee5b30b8777fdd30abcaaf3b-Abstract-Conference.html,,10.52202/075280-1308,added_verified_archival_doi_crossref,Crossref exact-title search,https://doi.org/10.52202/075280-1308,AlpacaFarm: A Simulation Framework for Methods that Learn from Human Feedback,1.0400,proceedings-article,2023,AlpacaFarm: A Simulation Framework for Methods that Learn from Human Feedback,1.0400,,
48,Random-Access Infinite Context Length for Transformers,2023,"Advances in Neural Information Processing Systems 36 (NeurIPS 2023), Main Conference Track",Published,Archival published,https://proceedings.neurips.cc/paper_files/paper/2023/hash/ab05dc8bf36a9f66edbff6992ec86f56-Abstract-Conference.html,,10.52202/075280-2378,added_verified_archival_doi_crossref_openalex,Crossref + OpenAlex exact-title search,https://doi.org/10.52202/075280-2378,Random-Access Infinite Context Length for Transformers,1.0400,proceedings-article,2023,Random-Access Infinite Context Length for Transformers,1.0400,,
49,SelfCheck: Using LLMs to Zero-Shot Check Their Own Step-by-Step Reasoning,2024,ICLR 2024,Published,Archival published,https://openreview.net/forum?id=pTHfApDakA,,,verified_no_archival_doi_expected_for_venue,,,Hint of Pseudo Code (HoPC): Zero-Shot Step by Step Pseudo Code Reasoning Prompting,0.4244,book-chapter,2026,SelfCheck: Using LLMs to Zero-Shot Check Their Own Step-by-Step Reasoning,1.0200,,
50,Chain-of-Verification Reduces Hallucination in Large Language Models,2024,"Findings of the Association for Computational Linguistics: ACL 2024, pages 3563-3578",Published,Archival published,https://doi.org/10.18653/v1/2024.findings-acl.212,10.18653/v1/2024.findings-acl.212,10.18653/v1/2024.findings-acl.212,verified_existing_archival_doi,Crossref direct DOI lookup,https://doi.org/10.18653/v1/2024.findings-acl.212,Chain-of-Verification Reduces Hallucination in Large Language Models,1.0000,proceedings-article,2024,,,,
51,FreshLLMs: Refreshing Large Language Models with Search Engine Augmentation,2024,"Findings of the Association for Computational Linguistics: ACL 2024, pages 13697-13720",Published,Archival published,https://doi.org/10.18653/v1/2024.findings-acl.813,10.18653/v1/2024.findings-acl.813,10.18653/v1/2024.findings-acl.813,verified_existing_archival_doi,Crossref direct DOI lookup,https://doi.org/10.18653/v1/2024.findings-acl.813,FreshLLMs: Refreshing Large Language Models with Search Engine Augmentation,1.0000,proceedings-article,2024,,,,
55,A Critical Evaluation of AI Feedback for Aligning Large Language Models,2024,"Advances in Neural Information Processing Systems 37 (NeurIPS 2024), Main Conference Track",Published,Archival published,https://proceedings.neurips.cc/paper_files/paper/2024/hash/33870b3e099880cd8e705cd07173ac27-Abstract-Conference.html,,10.52202/079017-0919,added_verified_archival_doi_crossref,Crossref exact-title search,https://doi.org/10.52202/079017-0919,A Critical Evaluation of AI Feedback for Aligning Large Language Models,1.0400,proceedings-article,2024,A Survey of Large Language Models,0.5083,,
57,Beyond Chain-of-Thought: A Survey of Chain-of-X Paradigms for LLMs,2025,Proceedings of the 31st International Conference on Computational Linguistics (COLING 2025),Published,Archival published,https://aclanthology.org/2025.coling-main.719/,,,verified_no_archival_doi_manual,Official ACL Anthology record,https://aclanthology.org/2025.coling-main.719/,,,,,,,no_doi,The official COLING 2025 metadata has a blank DOI field.
58,Can Small Language Models Help Large Language Models Reason Better?: LM-Guided Chain-of-Thought,2024,"Proceedings of the 2024 Joint International Conference on Computational Linguistics, Language Resources and Evaluation (LREC-COLING 2024)",Published,Archival published,https://aclanthology.org/2024.lrec-main.252/,,10.63317/2c35vp2yxb88,added_verified_archival_doi_crossref,Crossref exact-title search,https://doi.org/10.63317/2c35vp2yxb88,Can Small Language Models Help Large Language Models Reason Better?: LM-Guided Chain-of-Thought,1.0400,proceedings-article,2024,,,,
59,Mind's Eye of LLMs- Visualization-of-Thought- Elicits Spatial Reasoning in Large Language Models,2024,Advances in Neural Information Processing Systems,Published,Archival published,,,10.52202/079017-2866,added_verified_archival_doi_crossref_openalex,Crossref + OpenAlex exact-title search,https://doi.org/10.52202/079017-2866,Mind's Eye of LLMs: Visualization-of-Thought Elicits Spatial Reasoning in Large Language Models,1.0400,proceedings-article,2024,Mind's Eye of LLMs: Visualization-of-Thought Elicits Spatial Reasoning in Large Language Models,1.0400,,
61,Buffer of Thoughts: Thought-Augmented Reasoning with Large Language Models,2024,Advances in Neural Information Processing Systems 37 (NeurIPS 2024),Published,Archival published,https://doi.org/10.52202/079017-3607,10.52202/079017-3607,10.52202/079017-3607,verified_existing_archival_doi,Crossref direct DOI lookup,https://doi.org/10.52202/079017-3607,Buffer of Thoughts: Thought-Augmented Reasoning with Large Language Models,1.0000,proceedings-article,2024,,,,
62,"Retrieving, Rethinking and Revising: The Chain-of-Verification Can Improve Retrieval Augmented Generation",2024,Findings of the Association for Computational Linguistics: EMNLP 2024,Published,Archival published,https://doi.org/10.18653/v1/2024.findings-emnlp.607,10.18653/v1/2024.findings-emnlp.607,10.18653/v1/2024.findings-emnlp.607,verified_existing_archival_doi,Crossref direct DOI lookup,https://doi.org/10.18653/v1/2024.findings-emnlp.607,"Retrieving, Rethinking and Revising: The Chain-of-Verification Can Improve Retrieval Augmented Generation",1.0000,proceedings-article,2024,,,,
63,Thinking LLMs: General Instruction Following with Thought Generation,2025,"Proceedings of the 42nd International Conference on Machine Learning, PMLR 267",Published,Archival published,https://proceedings.mlr.press/v267/wu25o.html,,,verified_no_archival_doi_expected_for_venue,,,HIRAG: Hierarchical-Thought Instruction-Tuning Retrieval-Augmented Generation,0.4935,proceedings-article,2025,Thinking LLMs: General Instruction Following with Thought Generation,1.0200,,
64,PRefLexOR: Preference-based Recursive Language Modeling for Exploratory Optimization of Reasoning and Agentic Thinking,2025,"npj Artificial Intelligence, Volume 1, Article 4",Published,Archival published,https://doi.org/10.1038/s44387-025-00003-z,10.1038/s44387-025-00003-z,10.1038/s44387-025-00003-z,verified_existing_archival_doi,Crossref direct DOI lookup,https://doi.org/10.1038/s44387-025-00003-z,PRefLexOR: preference-based recursive language modeling for exploratory optimization of reasoning and agentic thinking,1.0000,journal-article,2025,,,,
65,Benchmarking Multimodal Retrieval Augmented Generation with Dynamic VQA Dataset and Self-Adaptive Planning Agent,2025,ICLR 2025,Published,Archival published,https://openreview.net/forum?id=VvDEuyVXkG,,,verified_no_archival_doi_expected_for_venue,,,Chart-MRAG: Benchmarking Multimodal Retrieval Augmented Generation on Chart-based Documents,0.5369,proceedings-article,2026,Benchmarking Multimodal Retrieval Augmented Generation with Dynamic VQA Dataset and Self-adaptive Planning Agent,1.0200,,
68,ReAct- Synergizing Reasoning and Acting in Language Models,2023,ICLR 2023,Published,Archival published,https://openreview.net/forum?id=WE_vluYUL-X,,,verified_no_archival_doi_expected_for_venue,,,Reasoning Planning for Language Models,0.5429,proceedings-article,2025,Role play with large language models,0.4338,,
69,Reflexion- Language Agents with Verbal Reinforcement Learning,2023,Advances in NeurIPS,Published,Archival published,,,10.52202/075280-0377,added_verified_archival_doi_crossref_openalex,Crossref + OpenAlex exact-title search,https://doi.org/10.52202/075280-0377,Reflexion: language agents with verbal reinforcement learning,1.0400,proceedings-article,2023,Reflexion: language agents with verbal reinforcement learning,1.0400,,
70,Toolformer- Language Models Can Teach Themselves to Use Tools,2023,Advances in NeurIPS,Published,Archival published,,,10.52202/075280-2997,added_verified_archival_doi_crossref,Crossref exact-title search,https://doi.org/10.52202/075280-2997,Toolformer: Language Models Can Teach Themselves to Use Tools,1.0400,proceedings-article,2023,Toolformer: Language Models Can Teach Themselves to Use Tools,1.0400,,
73,Cognitive Architectures for Language Agents,2024,Transactions on Machine Learning Research,Published,Archival published,https://openreview.net/pdf?id=1i6ZCvflQJ,,,verified_no_archival_doi_expected_for_venue,,,Augmenting Cognitive Architectures with Large Language Models,0.6192,journal-article,2024,Cognitive Architectures for Language Agents,1.0200,,
74,The Rise and Potential of Large Language Model Based Agents A Survey,2025,Sci. China Inf. Sci.,Published,Archival published,https://doi.org/10.1007/s11432-024-4222-0,10.1007/s11432-024-4222-0,10.1007/s11432-024-4222-0,verified_existing_archival_doi,Crossref direct DOI lookup,https://doi.org/10.1007/s11432-024-4222-0,The rise and potential of large language model based agents: a survey,1.0000,journal-article,2025,,,,
75,Language Agent Tree Search Unifies Reasoning Acting and Planning in Language Models,2024,Proceedings of ICML,Published,Archival published,https://proceedings.mlr.press/v235/zhou24r.html,,,verified_no_archival_doi_expected_for_venue,,,Reasoning-guided structured planning and search in large language models,0.5189,journal-article,2026,Language Agent Tree Search Unifies Reasoning Acting and Planning in Language Models,1.0200,,
76,A Survey on Large Language Model based Autonomous Agents,2024,Front. Comput. Sci.,Published,Archival published,https://doi.org/10.1007/s11704-024-40231-1,10.1007/s11704-024-40231-1,10.1007/s11704-024-40231-1,verified_existing_archival_doi,Crossref direct DOI lookup,https://doi.org/10.1007/s11704-024-40231-1,A survey on large language model based autonomous agents,1.0000,journal-article,2024,,,,
78,Self-Refine: Iterative Refinement with Self-Feedback,2023,NeurIPS 2023,Published,Archival published,https://proceedings.neurips.cc/paper_files/paper/2023/hash/91edff07232fb1b55a505a9e9f6c0ff3-Abstract-Conference.html,,10.52202/075280-2019,added_verified_archival_doi_crossref_openalex,Crossref + OpenAlex exact-title search,https://doi.org/10.52202/075280-2019,Self-Refine: Iterative Refinement with Self-Feedback,1.0400,proceedings-article,2023,Self-Refine: Iterative Refinement with Self-Feedback,1.0400,,
80,HuggingGPT: Solving AI Tasks with ChatGPT and its Friends in Hugging Face,2023,NeurIPS 2023,Published,Archival published,https://proceedings.neurips.cc/paper_files/paper/2023/hash/77c33e6a367922d003ff102ffb92b658-Abstract-Conference.html,,10.52202/075280-1657,added_verified_archival_doi_crossref,Crossref exact-title search,https://doi.org/10.52202/075280-1657,HuggingGPT: Solving AI Tasks with ChatGPT and its Friends in Hugging Face,1.0400,proceedings-article,2023,HuggingGPT: Solving AI Tasks with ChatGPT and its Friends in Hugging Face,1.0400,,
84,ViperGPT: Visual Inference via Python Execution for Reasoning,2023,ICCV 2023,Published,Archival published,https://doi.org/10.1109/ICCV51070.2023.01092,10.1109/iccv51070.2023.01092,10.1109/iccv51070.2023.01092,verified_existing_archival_doi,Crossref direct DOI lookup,https://doi.org/10.1109/iccv51070.2023.01092,ViperGPT: Visual Inference via Python Execution for Reasoning,1.0000,proceedings-article,2023,,,,
85,API-Bank: A Comprehensive Benchmark for Tool-Augmented LLMs,2023,EMNLP 2023,Published,Archival published,https://doi.org/10.18653/v1/2023.emnlp-main.187,10.18653/v1/2023.emnlp-main.187,10.18653/v1/2023.emnlp-main.187,verified_existing_archival_doi,Crossref direct DOI lookup,https://doi.org/10.18653/v1/2023.emnlp-main.187,API-Bank: A Comprehensive Benchmark for Tool-Augmented LLMs,1.0000,proceedings-article,2023,,,,
86,Generative Agents: Interactive Simulacra of Human Behavior,2023,Proceedings of the 36th Annual ACM Symposium on User Interface Software and Technology (UIST 2023),Published,Archival published,https://doi.org/10.1145/3586183.3606763,10.1145/3586183.3606763,10.1145/3586183.3606763,verified_existing_archival_doi,Crossref direct DOI lookup,https://doi.org/10.1145/3586183.3606763,Generative Agents: Interactive Simulacra of Human Behavior,1.0000,proceedings-article,2023,,,,
89,Chameleon: Plug-and-Play Compositional Reasoning with Large Language Models,2023,NeurIPS 2023,Published,Archival published,https://proceedings.neurips.cc/paper_files/paper/2023/hash/871ed095b734818cfba48db6aeb25a62-Abstract-Conference.html,,10.52202/075280-1882,added_verified_archival_doi_crossref,Crossref exact-title search,https://doi.org/10.52202/075280-1882,Chameleon: Plug-and-Play Compositional Reasoning with Large Language Models,1.0400,proceedings-article,2023,Chameleon: Plug-and-Play Compositional Reasoning with Large Language Models,1.0400,,
92,Gorilla: Large Language Model Connected with Massive APIs,2024,"Advances in Neural Information Processing Systems 37 (NeurIPS 2024), Main Conference Track",Published,Archival published,https://proceedings.neurips.cc/paper_files/paper/2024/hash/e4c61f578ff07830f5c37378dd3ecb0d-Abstract-Conference.html,,10.52202/079017-4020,added_verified_archival_doi_crossref_openalex,Crossref + OpenAlex exact-title search,https://doi.org/10.52202/079017-4020,Gorilla: Large Language Model Connected with Massive APIs,1.0400,proceedings-article,2024,Gorilla: Large Language Model Connected with Massive APIs,1.0400,,
94,Large Language Models as Tool Makers,2024,ICLR 2024,Published,Archival published,https://openreview.net/forum?id=qV83K9d5WB,,,verified_no_archival_doi_expected_for_venue,,,Evaluating Large Language Models as Judicial Decision-Makers,0.6413,posted-content,2026,Large Language Models as Tool Makers,1.0200,,
95,MemoryBank: Enhancing Large Language Models with Long-Term Memory,2024,"Proceedings of the AAAI Conference on Artificial Intelligence, 38(17), 19724-19731",Published,Archival published,https://doi.org/10.1609/aaai.v38i17.29946,10.1609/aaai.v38i17.29946,10.1609/aaai.v38i17.29946,verified_existing_archival_doi,Crossref direct DOI lookup,https://doi.org/10.1609/aaai.v38i17.29946,MemoryBank: Enhancing Large Language Models with Long-Term Memory,1.0000,journal-article,2024,,,,
96,Reasoning with Language Model is Planning with World Model,2023,"Proceedings of the 2023 Conference on Empirical Methods in Natural Language Processing, pages 8154-8173",Published,Archival published,https://doi.org/10.18653/v1/2023.emnlp-main.507,10.18653/v1/2023.emnlp-main.507,10.18653/v1/2023.emnlp-main.507,verified_existing_archival_doi,Crossref direct DOI lookup,https://doi.org/10.18653/v1/2023.emnlp-main.507,Reasoning with Language Model is Planning with World Model,1.0000,proceedings-article,2023,,,,
98,ToolLLM: Facilitating Large Language Models to Master 16000+ Real-World APIs,2024,ICLR 2024,Published,Archival published,https://openreview.net/forum?id=dHng2O0Jjr,,,verified_no_archival_doi_expected_for_venue,,,MetaTool: Facilitating Large Language Models to Master Tools with Meta-task Augmentation,0.5957,proceedings-article,2025,Benchmarking Large Language Models in Retrieval-Augmented Generation,0.4535,,
102,ExpeL: LLM Agents Are Experiential Learners,2024,"Proceedings of the AAAI Conference on Artificial Intelligence, 38(17), 19632-19642",Published,Archival published,https://doi.org/10.1609/aaai.v38i17.29936,10.1609/aaai.v38i17.29936,10.1609/aaai.v38i17.29936,verified_existing_archival_doi,Crossref direct DOI lookup,https://doi.org/10.1609/aaai.v38i17.29936,ExpeL: LLM Agents Are Experiential Learners,1.0000,journal-article,2024,,,,
103,MetaGPT: Meta Programming for A Multi-Agent Collaborative Framework,2024,ICLR 2024,Published,Archival published,https://openreview.net/forum?id=VtmBAGCN7o,,,verified_no_archival_doi_expected_for_venue,,,MARS: A Multi-Agent Collaborative Reasoning Framework for Service Recommendation,0.5291,journal-article,2026,MetaGPT: Meta Programming for A Multi-Agent Collaborative Framework,1.0200,,
114,An LLM Compiler for Parallel Function Calling,2024,"Proceedings of the 41st International Conference on Machine Learning, PMLR 235",Published,Archival published,https://proceedings.mlr.press/v235/kim24y.html,,,verified_no_archival_doi_expected_for_venue,,,Enhancing LLM Function Calling with Structured Outputs,0.4175,proceedings-article,2025,An LLM Compiler for Parallel Function Calling,1.0200,,
