record_id,section,priority,year,title,publication_status,status_category,venue,identifier,verification_source,bibliography_eligibility,note_quality,evidence_readiness,pages,canonical_status_detail,final_exclusion_reason
20,S2,P2,2022,Training Compute-Optimal Large Language Models,Published,Archival published,Advances in Neural Information Processing Systems,arXiv:2203.15556,Verified in final SLR bibliography,Eligible if cited,B,Ready for claim-level use,,,
21,S2,P2,2022,Flamingo: a Visual Language Model for Few-Shot Learning,Published,Archival published,NeurIPS 2022,https://proceedings.neurips.cc/paper_files/paper/2022/hash/960a172bc7fbf0177ccccbb411a7d800-Abstract-Conference.html,Verified in final SLR bibliography,Eligible if cited,C,Usable after targeted full-text check,,Published — archival conference paper,
22,S2,P2,2022,Emergent Abilities of Large Language Models,Published,Archival published,Transactions on Machine Learning Research,https://openreview.net/forum?id=yzkSU5zdwD,Verified in final SLR bibliography,Eligible if cited,C,Usable after targeted full-text check,,Published — archival journal paper,
23,S2,P2,2023,BLIP-2: Bootstrapping Language-Image Pre-training with Frozen Image Encoders and Large Language Models,Published,Archival published,"ICML 2023, PMLR 202",https://proceedings.mlr.press/v202/li23q.html,Verified in final SLR bibliography,Eligible if cited,C,Usable after targeted full-text check,,Published — archival conference paper,
24,S2,P2,2023,Language Is Not All You Need: Aligning Perception with Language Models,Published,Archival published,NeurIPS 2023,https://proceedings.neurips.cc/paper_files/paper/2023/hash/e425b75bac5742a008d643826428787c-Abstract-Conference.html,Verified in final SLR bibliography,Eligible if cited,C,Usable after targeted full-text check,,Published — archival conference paper,
25,S2,P2,2024,Multimodal Chain-of-Thought Reasoning in Language Models,Published,Archival published,Transactions on Machine Learning Research,https://openreview.net/forum?id=y1pPWFVfvR,Verified in final SLR bibliography,Eligible if cited,C,Usable after targeted full-text check,,Published — archival journal paper,
26,S2,P2,2023,PaLM-E: An Embodied Multimodal Language Model,Published,Archival published,"ICML 2023, PMLR 202",https://proceedings.mlr.press/v202/driess23a.html,Verified in final SLR bibliography,Eligible if cited,C,Usable after targeted full-text check,,Published — archival conference paper,
27,S2,P2,2023,SelfCheckGPT: Zero-Resource Black-Box Hallucination Detection for Generative Large Language Models,Published,Archival published,EMNLP 2023,https://doi.org/10.18653/v1/2023.emnlp-main.557,Verified in final SLR bibliography,Eligible if cited,C,Usable after targeted full-text check,,Published — archival conference paper,
28,S2,P2,2023,InstructBLIP: Towards General-purpose Vision-Language Models with Instruction Tuning,Published,Archival published,"Advances in Neural Information Processing Systems 36 (NeurIPS 2023), Main Conference Track",https://proceedings.neurips.cc/paper_files/paper/2023/hash/9a6a435e75419a836fe47ab6793623e6-Abstract-Conference.html,Verified in final SLR bibliography,Eligible if cited,C,Usable after targeted full-text check,,Published - archival conference paper,
30,S2,P2,2024,"Self-RAG: Learning to Retrieve, Generate, and Critique through Self-Reflection",Published,Archival published,The Twelfth International Conference on Learning Representations (ICLR 2024),https://openreview.net/forum?id=hSyW5go0v8,https://openreview.net/forum?id=hSyW5go0v8,Eligible if cited,C,Usable after targeted full-text check,,Published - archival conference paper,
34,S2,P2,2025,To CoT or Not to CoT? Chain-of-Thought Helps Mainly on Math and Symbolic Reasoning,Published,Archival published,International Conference on Learning Representations (ICLR 2025),https://openreview.net/forum?id=4hSaB8l9cB,https://openreview.net/,Eligible if cited,C,Usable after targeted full-text check,,Published - archival conference paper,
38,S2,P2,2025,A Survey of Frontiers in LLM Reasoning Inference Scaling Learning to Reason and Agentic Systems,Published,Archival published,Transactions on Machine Learning Research,https://openreview.net/forum?id=frontierslLMreasoning,Verified in final SLR bibliography,Eligible if cited,B,Ready for claim-level use,,,
39,S2,P3,2020,How Can We Know What Language Models Know?,Published,Archival published,"Transactions of the Association for Computational Linguistics, Volume 8",https://doi.org/10.1162/tacl_a_00324,Verified in final SLR bibliography,Eligible if cited,Missing,Needs paper-specific evidence note,,Published — archival journal paper,
40,S2,P3,2020,How Much Knowledge Can You Pack Into the Parameters of a Language Model?,Published,Archival published,EMNLP 2020,https://doi.org/10.18653/v1/2020.emnlp-main.437,Verified in final SLR bibliography,Eligible if cited,Missing,Needs paper-specific evidence note,,Published — archival conference paper,
41,S2,P3,2020,Experience Grounds Language,Published,Archival published,EMNLP 2020,https://doi.org/10.18653/v1/2020.emnlp-main.703,Verified in final SLR bibliography,Eligible if cited,Missing,Needs paper-specific evidence note,,Published — archival conference paper,
44,S2,P3,2023,Selection-Inference: Exploiting Large Language Models for Interpretable Logical Reasoning,Published,Archival published,ICLR 2023,https://openreview.net/forum?id=3Pf3Wg6o-A4,Verified in final SLR bibliography,Eligible if cited,Missing,Needs paper-specific evidence note,,Published — archival conference paper,
46,S2,P3,2023,Adapting Language Models to Compress Contexts,Published,Archival published,"Proceedings of the 2023 Conference on Empirical Methods in Natural Language Processing, pages 3829-3846",https://doi.org/10.18653/v1/2023.emnlp-main.232,Verified in final SLR bibliography,Eligible if cited,Missing,Needs paper-specific evidence note,,Published - archival conference paper,
47,S2,P3,2023,AlpacaFarm: A Simulation Framework for Methods that Learn from Human Feedback,Published,Archival published,"Advances in Neural Information Processing Systems 36 (NeurIPS 2023), Main Conference Track",https://proceedings.neurips.cc/paper_files/paper/2023/hash/5fc47800ee5b30b8777fdd30abcaaf3b-Abstract-Conference.html,Verified in final SLR bibliography,Eligible if cited,Missing,Needs paper-specific evidence note,,Published - archival conference paper,
48,S2,P3,2023,Random-Access Infinite Context Length for Transformers,Published,Archival published,"Advances in Neural Information Processing Systems 36 (NeurIPS 2023), Main Conference Track",https://proceedings.neurips.cc/paper_files/paper/2023/hash/ab05dc8bf36a9f66edbff6992ec86f56-Abstract-Conference.html,Verified in final SLR bibliography,Eligible if cited,Missing,Needs paper-specific evidence note,,Published - archival conference paper,
49,S2,P3,2024,SelfCheck: Using LLMs to Zero-Shot Check Their Own Step-by-Step Reasoning,Published,Archival published,"The Twelfth International Conference on Learning Representations (ICLR 2024), Poster",https://openreview.net/forum?id=pTHfApDakA,Verified in final SLR bibliography,Eligible if cited,Missing,Needs paper-specific evidence note,,Published - archival conference paper,
50,S2,P3,2024,Chain-of-Verification Reduces Hallucination in Large Language Models,Published,Archival published,"Findings of the Association for Computational Linguistics: ACL 2024, pages 3563-3578",https://doi.org/10.18653/v1/2024.findings-acl.212,https://aclanthology.org/2024.findings-acl.212/,Eligible if cited,Missing,Needs paper-specific evidence note,,Published - archival conference paper,
51,S2,P3,2024,FreshLLMs: Refreshing Large Language Models with Search Engine Augmentation,Published,Archival published,"Findings of the Association for Computational Linguistics: ACL 2024, pages 13697-13720",https://doi.org/10.18653/v1/2024.findings-acl.813,https://aclanthology.org/2024.findings-acl.813/,Eligible if cited,Missing,Needs paper-specific evidence note,,Published - archival conference paper,
55,S2,P3,2024,A Critical Evaluation of AI Feedback for Aligning Large Language Models,Published,Archival published,"Advances in Neural Information Processing Systems 37 (NeurIPS 2024), Main Conference Track",https://proceedings.neurips.cc/paper_files/paper/2024/hash/33870b3e099880cd8e705cd07173ac27-Abstract-Conference.html,https://proceedings.neurips.cc/paper_files/paper/2024/hash/33870b3e099880cd8e705cd07173ac27-Abstract-Conference.html,Eligible if cited,Missing,Needs paper-specific evidence note,,Published - archival conference paper,
57,S2,P3,2025,Beyond Chain-of-Thought: A Survey of Chain-of-X Paradigms for LLMs,Published,Archival published,"Proceedings of the 31st International Conference on Computational Linguistics (COLING 2025), pages 10795–10809",https://doi.org/10.18653/v1/2025.coling-main.719,https://aclanthology.org/2025.coling-main.719/,Eligible if cited,Missing,Needs paper-specific evidence note,,Published - archival conference survey,
58,S2,P3,2024,Can Small Language Models Help Large Language Models Reason Better?: LM-Guided Chain-of-Thought,Published,Archival published,"Proceedings of LREC-COLING 2024, pages 2835–2843",https://aclanthology.org/2024.lrec-main.252/,https://aclanthology.org/2024.lrec-main.252/,Eligible if cited,Missing,Needs paper-specific evidence note,,Published - archival conference paper,
59,S2,P3,2024,Mind's Eye of LLMs- Visualization-of-Thought- Elicits Spatial Reasoning in Large Language Models,Published,Archival published,Advances in Neural Information Processing Systems,,Verified in final SLR bibliography,Eligible if cited,A,Ready for claim-level use,,,
61,S2,P3,2024,Buffer of Thoughts: Thought-Augmented Reasoning with Large Language Models,Published,Archival published,Advances in Neural Information Processing Systems 37 (NeurIPS 2024),https://doi.org/10.52202/079017-3607,https://proceedings.neurips.cc/,Eligible if cited,Missing,Needs paper-specific evidence note,,Published - archival conference paper,
62,S2,P3,2024,"Retrieving, Rethinking and Revising: The Chain-of-Verification Can Improve Retrieval Augmented Generation",Published,Archival published,Findings of the Association for Computational Linguistics: EMNLP 2024,https://doi.org/10.18653/v1/2024.findings-emnlp.607,https://aclanthology.org/2024.findings-emnlp.607/,Eligible if cited,Missing,Needs paper-specific evidence note,,Published - archival conference paper,
63,S2,P3,2025,Thinking LLMs: General Instruction Following with Thought Generation,Published,Archival published,"Proceedings of the 42nd International Conference on Machine Learning (ICML 2025), PMLR 267",https://proceedings.mlr.press/v267/wu25o.html,https://proceedings.mlr.press/v267/wu25o.html,Eligible if cited,Missing,Needs paper-specific evidence note,,Published - archival conference paper,
64,S2,P3,2025,PRefLexOR: Preference-based Recursive Language Modeling for Exploratory Optimization of Reasoning and Agentic Thinking,Published,Archival published,"npj Artificial Intelligence, Volume 1, Article 4",https://doi.org/10.1038/s44387-025-00003-z,https://doi.org/10.1038/s44387-025-00003-z,Eligible if cited,Missing,Needs paper-specific evidence note,,Published - archival journal article,
65,S2,P3,2025,Benchmarking Multimodal Retrieval Augmented Generation with Dynamic VQA Dataset and Self-Adaptive Planning Agent,Accepted,Archival accepted,International Conference on Learning Representations (ICLR 2025),https://openreview.net/forum?id=VvDEuyVXkG,https://openreview.net/forum?id=VvDEuyVXkG,Eligible if cited,Missing,Needs paper-specific evidence note,,Published - archival conference paper,
68,S3,P0,2023,ReAct- Synergizing Reasoning and Acting in Language Models,Published,Archival published,International Conference on Learning Representations,,Verified in ACM survey,Eligible if cited,A,Ready for claim-level use,,,
69,S3,P0,2023,Reflexion- Language Agents with Verbal Reinforcement Learning,Published,Archival published,Advances in NeurIPS,,Verified in ACM survey,Eligible if cited,A,Ready for claim-level use,,,
70,S3,P0,2023,Toolformer- Language Models Can Teach Themselves to Use Tools,Published,Archival published,Advances in NeurIPS,,Verified in ACM survey,Eligible if cited,A,Ready for claim-level use,,,
73,S3,P1,2024,Cognitive Architectures for Language Agents,Published,Archival published,TMLR,arXiv:2309.02427,Verified in ACM survey,Eligible if cited,A,Ready for claim-level use,,,
74,S3,P1,2025,The Rise and Potential of Large Language Model Based Agents A Survey,Published,Archival published,Sci. China Inf. Sci.,https://doi.org/10.1007/s11432-024-4222-0,Verified in ACM survey,Eligible if cited,A,Ready for claim-level use,,,
75,S3,P1,2024,Language Agent Tree Search Unifies Reasoning Acting and Planning in Language Models,Published,Archival published,Proceedings of ICML,,Verified in ACM survey,Eligible if cited,A,Ready for claim-level use,,,
76,S3,P1,2024,A Survey on Large Language Model based Autonomous Agents,Published,Archival published,Front. Comput. Sci.,https://doi.org/10.1007/s11704-024-40231-1,Verified in ACM survey,Eligible if cited,A,Ready for claim-level use,,,
78,S3,P2,2023,Self-Refine: Iterative Refinement with Self-Feedback,Published,Archival published,NeurIPS 2023,https://proceedings.neurips.cc/paper_files/paper/2023/hash/91edff07232fb1b55a505a9e9f6c0ff3-Abstract-Conference.html,Verified in final SLR bibliography,Eligible if cited,C,Usable after targeted full-text check,,Published — archival conference paper,
79,S3,P2,2023,ART: Automatic Multi-step Reasoning and Tool-use for Large Language Models,Published,Archival published,EMNLP 2023,https://doi.org/10.18653/v1/2023.emnlp-main.190,Verified in final SLR bibliography,Eligible if cited,C,Usable after targeted full-text check,,Published — archival conference paper,
80,S3,P2,2023,HuggingGPT: Solving AI Tasks with ChatGPT and its Friends in Hugging Face,Published,Archival published,NeurIPS 2023,https://proceedings.neurips.cc/paper_files/paper/2023/hash/77c33e6a367922d003ff102ffb92b658-Abstract-Conference.html,Verified in final SLR bibliography,Eligible if cited,C,Usable after targeted full-text check,,Published — archival conference paper,
84,S3,P2,2023,ViperGPT: Visual Inference via Python Execution for Reasoning,Published,Archival published,ICCV 2023,https://doi.org/10.1109/ICCV51070.2023.01092,Verified in final SLR bibliography,Eligible if cited,C,Usable after targeted full-text check,,Published — archival conference paper,
85,S3,P2,2023,API-Bank: A Comprehensive Benchmark for Tool-Augmented LLMs,Published,Archival published,EMNLP 2023,https://doi.org/10.18653/v1/2023.emnlp-main.187,Verified in final SLR bibliography,Eligible if cited,C,Usable after targeted full-text check,,Published — archival conference paper,
86,S3,P2,2023,Generative Agents: Interactive Simulacra of Human Behavior,Published,Archival published,UIST 2023,https://doi.org/10.1145/3586183.3606763,Verified in final SLR bibliography,Eligible if cited,C,Usable after targeted full-text check,,Published — archival conference paper,
89,S3,P2,2023,Chameleon: Plug-and-Play Compositional Reasoning with Large Language Models,Published,Archival published,NeurIPS 2023,https://proceedings.neurips.cc/paper_files/paper/2023/hash/871ed095b734818cfba48db6aeb25a62-Abstract-Conference.html,Verified in final SLR bibliography,Eligible if cited,C,Usable after targeted full-text check,,Published — archival conference paper,
92,S3,P2,2024,Gorilla: Large Language Model Connected with Massive APIs,Published,Archival published,"Advances in Neural Information Processing Systems 37 (NeurIPS 2024), Main Conference Track",https://proceedings.neurips.cc/paper_files/paper/2024/hash/e4c61f578ff07830f5c37378dd3ecb0d-Abstract-Conference.html,Verified in final SLR bibliography,Eligible if cited,C,Usable after targeted full-text check,,Published - archival conference paper,
94,S3,P2,2024,Large Language Models as Tool Makers,Published,Archival published,The Twelfth International Conference on Learning Representations (ICLR 2024),https://openreview.net/forum?id=qV83K9d5WB,Verified in final SLR bibliography,Eligible if cited,C,Usable after targeted full-text check,,Published - archival conference paper,
95,S3,P2,2024,MemoryBank: Enhancing Large Language Models with Long-Term Memory,Published,Archival published,"Proceedings of the AAAI Conference on Artificial Intelligence, 38(17), 19724-19731",https://doi.org/10.1609/aaai.v38i17.29946,Verified in final SLR bibliography,Eligible if cited,C,Usable after targeted full-text check,,Published - archival conference paper,
96,S3,P2,2023,Reasoning with Language Model is Planning with World Model,Published,Archival published,"Proceedings of the 2023 Conference on Empirical Methods in Natural Language Processing, pages 8154-8173",https://doi.org/10.18653/v1/2023.emnlp-main.507,Verified in final SLR bibliography,Eligible if cited,C,Usable after targeted full-text check,,Published - archival conference paper,
98,S3,P2,2024,ToolLLM: Facilitating Large Language Models to Master 16000+ Real-World APIs,Published,Archival published,The Twelfth International Conference on Learning Representations (ICLR 2024),https://openreview.net/forum?id=dHng2O0Jjr,Verified in final SLR bibliography,Eligible if cited,C,Usable after targeted full-text check,,Published - archival conference paper,
102,S3,P2,2024,ExpeL: LLM Agents Are Experiential Learners,Published,Archival published,"Proceedings of the AAAI Conference on Artificial Intelligence, 38(17), 19632-19642",https://doi.org/10.1609/aaai.v38i17.29936,Verified in final SLR bibliography,Eligible if cited,C,Usable after targeted full-text check,,Published - archival conference paper,
103,S3,P2,2024,MetaGPT: Meta Programming for A Multi-Agent Collaborative Framework,Published,Archival published,"The Twelfth International Conference on Learning Representations (ICLR 2024), Oral",https://openreview.net/forum?id=VtmBAGCN7o,Verified in ACM survey,Eligible if cited,C,Usable after targeted full-text check,,Published - archival conference paper,
114,S3,P2,2024,An LLM Compiler for Parallel Function Calling,Published,Archival published,"Proceedings of the 41st International Conference on Machine Learning (ICML 2024), PMLR 235, pages 24370-24391",https://proceedings.mlr.press/v235/kim24y.html,https://proceedings.mlr.press/v235/kim24y.html,Eligible if cited,C,Usable after targeted full-text check,,Published - archival conference paper,
115,S3,P2,2024,"Large Language Model based Multi-Agents- A Survey of Progress and Challenges Taicheng Guo1 , Xiuying Chen2 , Yaqi Wang3∗, Ruidi Chang , Shichao Pei4 ,",Published,Archival published,"IJCAI 2024 (Survey Track), pp. 8048–8057",https://doi.org/10.24963/ijcai.2024/890; 2402.01680,External venue audit: compass_artifact_wf-d28261fe-4e0d-53d9-9225-a8a9fe0f3b8a_text_markdown.md,Eligible if cited,B,Ready for claim-level use,,,
119,S3,P2,2024,Executable Code Actions Elicit Better LLM Agents,Published,Archival published,"Proceedings of the 41st International Conference on Machine Learning (ICML 2024), PMLR 235, pages 50208-50232",https://proceedings.mlr.press/v235/wang24h.html,https://proceedings.mlr.press/v235/wang24h.html,Eligible if cited,C,Usable after targeted full-text check,,Published - archival conference paper,
125,S3,P2,2024,Graph of Thoughts: Solving Elaborate Problems with Large Language Models,Published,Archival published,"Proceedings of the AAAI Conference on Artificial Intelligence, volume 38, issue 16, pages 17682–17690",https://doi.org/10.1609/aaai.v38i16.29720,https://ojs.aaai.org/index.php/AAAI/article/view/29720,Eligible if cited,C,Usable after targeted full-text check,,Published - archival conference paper,
131,S3,P2,2024,SWE-agent: Agent-Computer Interfaces Enable Automated Software Engineering,Published,Archival published,Advances in Neural Information Processing Systems 37 (NeurIPS 2024),https://proceedings.neurips.cc/paper_files/paper/2024/hash/5a7c947568c1b11d7d4a2c5b9b3f9e7f-Abstract-Conference.html,https://proceedings.neurips.cc/,Eligible if cited,C,Usable after targeted full-text check,,Published - archival conference paper,
147,S3,P2,2025,PlanGenLLMs- A Modern Survey of LLM Planning Capabilities,Published,Archival published,Proceedings of ACL (Long Papers),https://doi.org/10.18653/v1/2025.acl-long.958,Verified in ACM survey,Eligible if cited,B,Ready for claim-level use,,,
157,S3,P2,2025,ReflAct World-Grounded Decision Making in LLM Agents via Goal-State Reflection,Published,Archival published,Proceedings of EMNLP,arXiv:2505.15182,Verified in ACM survey,Eligible if cited,B,Ready for claim-level use,,,
162,S3,P2,2025,OS Agents- A Survey on MLLM-based Agents for General Computing Devices Use,Published,Archival published,Proceedings of the 63rd Annual Meeting of the Association for Computational Linguistics,arXiv:2412.04453,Verified in final SLR bibliography,Eligible if cited,B,Ready for claim-level use,,,
169,S3,P2,2025,"Large Language Model Agents- A Comprehensive Survey on Architectures, Capabilities, and Applications",Published / peer-reviewed,Archival published,"Preprints.org, not peer-reviewed version",,Checked in local evidence note,Eligible if cited,B,Ready for claim-level use,,,
173,S3,P2,2026,From language to action- a review of large language models as autonomous agents and tool users,Published,Archival published,Artificial Intelligence Review,https://doi.org/10.1007/s10462-025-11190-1,Verified in final SLR bibliography,Eligible if cited,B,Ready for claim-level use,,,
175,S3,P2,2026,A Survey on the Optimization of Large Language Model-based agents,Published / peer-reviewed,Archival published,ACM-style journal article / arXiv version,,Checked in local evidence note,Eligible if cited,B,Ready for claim-level use,,,
176,S3,P3,2023,PlanBench An Extensible Benchmark for Evaluating Large Language Models on Planning and Reasoning about Change,Published,Archival published,"NeurIPS 2023 Datasets & Benchmarks Track (NeurIPS vol. 36, pp. 38975–38987)",proceedings.neurips.cc hash 7a92bcdede88c7afd108072faf5485c8; 2206.10498,External venue audit: compass_artifact_wf-66bb940a-379a-5795-bc36-a71c71b8cc78_text_markdown.md,Eligible if cited,B,Ready for claim-level use,,,
181,S3,P3,2023,Knowledge-enhanced Agents for Interactive Text Games,Published,Archival published,"K-CAP '23: Proceedings of the 12th Knowledge Capture Conference, pages 157-165",https://doi.org/10.1145/3587259.3627561,External venue audit: compass_artifact_wf-66bb940a-379a-5795-bc36-a71c71b8cc78_text_markdown.md,Eligible if cited,Missing,Needs paper-specific evidence note,,Published - archival conference paper,
182,S3,P3,2023,Language Models Meet World Models: Embodied Experiences Enhance Language Models,Published,Archival published,"Advances in Neural Information Processing Systems 36 (NeurIPS 2023), Main Conference Track",https://proceedings.neurips.cc/paper_files/paper/2023/hash/ee6630dcbcff857026e474fc857aa9f0-Abstract-Conference.html,External venue audit: compass_artifact_wf-66bb940a-379a-5795-bc36-a71c71b8cc78_text_markdown.md,Eligible if cited,Missing,Needs paper-specific evidence note,,Published - archival conference paper,
183,S3,P3,2024,Automatically Correcting Large Language Models: Surveying the Landscape of Diverse Automated Correction Strategies,Published,Archival published,"Transactions of the Association for Computational Linguistics, Volume 12, pages 484-506",https://doi.org/10.1162/tacl_a_00660,External venue audit: compass_artifact_wf-66bb940a-379a-5795-bc36-a71c71b8cc78_text_markdown.md,Eligible if cited,Missing,Needs paper-specific evidence note,,Published - archival journal paper,
186,S3,P3,2024,CRAFT: Customizing LLMs by Creating and Retrieving from Specialized Toolsets,Published,Archival published,"The Twelfth International Conference on Learning Representations (ICLR 2024), Poster",https://openreview.net/forum?id=G0vdDSt9XM,External venue audit: compass_artifact_wf-d28261fe-4e0d-53d9-9225-a8a9fe0f3b8a_text_markdown.md,Eligible if cited,Missing,Needs paper-specific evidence note,,Published - archival conference paper,
187,S3,P3,2024,AdaRefiner: Refining Decisions of Language Models with Adaptive Feedback,Published,Archival published,"Findings of the Association for Computational Linguistics: NAACL 2024, pages 782-799",https://doi.org/10.18653/v1/2024.findings-naacl.50,External venue audit: compass_artifact_wf-ff807bfc-4f1e-5eb3-9b2e-e812ae5796a1_text_markdown.md,Eligible if cited,Missing,Needs paper-specific evidence note,,Published - archival conference paper,
188,S3,P3,2024,AlphaZero-Like Tree-Search can Guide Large Language Model Decoding and Training,Published,Archival published,"Proceedings of the 41st International Conference on Machine Learning (ICML 2024), PMLR 235, pages 49890-49920",https://proceedings.mlr.press/v235/wan24c.html,https://proceedings.mlr.press/v235/wan24c.html,Eligible if cited,Missing,Needs paper-specific evidence note,,Published - archival conference paper,
189,S3,P3,2024,AutoAgents: A Framework for Automatic Agent Generation,Published,Archival published,"Proceedings of the Thirty-Third International Joint Conference on Artificial Intelligence (IJCAI-24), Main Track, pages 22-30",https://doi.org/10.24963/ijcai.2024/3,External venue audit: compass_artifact_wf-d28261fe-4e0d-53d9-9225-a8a9fe0f3b8a_text_markdown.md,Eligible if cited,Missing,Needs paper-specific evidence note,,Published - archival conference paper,
190,S3,P3,2024,Corex: Pushing the Boundaries of Complex Reasoning through Multi-Model Collaboration,Accepted,Archival accepted,Conference on Language Modeling (COLM 2024),https://openreview.net/forum?id=7BCmIWVT0V,External venue audit: compass_artifact_wf-d28261fe-4e0d-53d9-9225-a8a9fe0f3b8a_text_markdown.md,Eligible if cited,Missing,Needs paper-specific evidence note,,Published - archival conference paper,
191,S3,P3,2024,L2MAC: Large Language Model Automatic Computer for Extensive Code Generation,Published,Archival published,"The Twelfth International Conference on Learning Representations (ICLR 2024), Poster",https://openreview.net/forum?id=EhrzQwsV4K,https://openreview.net/forum?id=EhrzQwsV4K,Eligible if cited,Missing,Needs paper-specific evidence note,,Published - archival conference paper,
192,S3,P3,2024,Lemur: Harmonizing Natural Language and Code for Language Agents,Published,Archival published,"The Twelfth International Conference on Learning Representations (ICLR 2024), Spotlight",https://openreview.net/forum?id=hNhwSmtXRh,https://openreview.net/forum?id=hNhwSmtXRh,Eligible if cited,Missing,Needs paper-specific evidence note,,Published - archival conference paper,
193,S3,P3,2024,LLaMA-Rider: Spurring Large Language Models to Explore the Open World,Published,Archival published,"Findings of the Association for Computational Linguistics: NAACL 2024, pages 4705-4724",https://doi.org/10.18653/v1/2024.findings-naacl.292,https://aclanthology.org/2024.findings-naacl.292/,Eligible if cited,Missing,Needs paper-specific evidence note,,Published - archival conference paper,
194,S3,P3,2025,Automating the Generation of Prompts for LLM-based Action Choice in PDDL Planning,Published,Archival published,"Proceedings of the 35th International Conference on Automated Planning and Scheduling (ICAPS 2025), volume 35, issue 1, pages 250-259",https://doi.org/10.1609/icaps.v35i1.36126,https://ojs.aaai.org/index.php/ICAPS/article/view/36126,Eligible if cited,Missing,Needs paper-specific evidence note,,Published - archival conference paper,
196,S3,P3,2025,JARVIS-1: Open-World Multi-Task Agents With Memory-Augmented Multimodal Language Models,Published,Archival published,"IEEE Transactions on Pattern Analysis and Machine Intelligence, volume 47, issue 3, pages 1894-1907",https://doi.org/10.1109/TPAMI.2024.3511593,https://ieeexplore.ieee.org/document/10778628/,Eligible if cited,C,Usable after targeted full-text check,,Published - archival journal paper,
198,S3,P3,2024,"A Survey on LLM-Based Multi-Agent Systems: Workflow, Infrastructure, and Challenges",Published,Archival published,"Vicinagearth, volume 1, article 9",https://doi.org/10.1007/s44336-024-00009-2,https://link.springer.com/article/10.1007/s44336-024-00009-2,Eligible if cited,Missing,Needs paper-specific evidence note,,Published - archival journal review,
200,S3,P3,2024,Self-Discover- Large Language Models Self-Compose Reasoning Structures,Published,Archival published,NeurIPS 2024 (Main Conf. Track),https://openreview.net/forum?id=BROvXhmzYK; 2402.03620,External venue audit: compass_artifact_wf-d28261fe-4e0d-53d9-9225-a8a9fe0f3b8a_text_markdown.md,Eligible if cited,B,Ready for claim-level use,,,
