adjudication_batch,record_id,title,machine_verdict,decision,final_status,final_venue,final_identifier,evidence_url,evidence_note,adjudicated_by,adjudicated_at,corpus_action
A1,110,OpenAgents: An Open Platform for Language Agents in the Wild,VENUE_MISMATCH,SET_ARCHIVAL_PUBLISHED,Archival published,COLM 2024,https://openreview.net/forum?id=sKATR2O1Y0,https://openreview.net/pdf?id=sKATR2O1Y0,Official OpenReview paper states 'Published as a conference paper at COLM 2024'. Replace the unconfirmed/EMNLP-likely register entry with COLM 2024.,ChatGPT-assisted manual evidence review,2026-09-13,set status Archival published; set venue COLM 2024; set identifier
A3_upgrades,112,ADaPT As-Needed Decomposition and Planning with Language Models,UPGRADE,SET_ARCHIVAL_PUBLISHED_STRONG_TITLE_DOI,Archival published,Findings of the Association for Computational Linguistics: NAACL 2024,https://doi.org/10.18653/v1/2024.findings-naacl.264,https://doi.org/10.18653/v1/2024.findings-naacl.264,"Exact/near-exact title match with a strong archival DOI and archival container 'Findings of the Association for Computational Linguistics: NAACL 2024', corroborated by the v2.2 Crossref/OpenAlex verification evidence. Upgrade the register from 'Preprint/technical report' to archival published.",ChatGPT-assisted manual evidence review,2026-09-13,set status Archival published; set archival venue and identifier
A3_upgrades,113,Agent Lumos Unified and Modular Training for Open-Source Language Agents,UPGRADE,SET_ARCHIVAL_PUBLISHED_STRONG_TITLE_DOI,Archival published,Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),https://doi.org/10.18653/v1/2024.acl-long.670,https://doi.org/10.18653/v1/2024.acl-long.670,"Exact/near-exact title match with a strong archival DOI and archival container 'Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers)', corroborated by the v2.2 Crossref/OpenAlex verification evidence. Upgrade the register from 'Preprint/technical report' to archival published.",ChatGPT-assisted manual evidence review,2026-09-13,set status Archival published; set archival venue and identifier
A2_official_proceedings,114,An LLM Compiler for Parallel Function Calling,DOWNGRADE,RETAIN_ARCHIVAL_OFFICIAL_PROCEEDINGS,Archival published,"Proceedings of the 41st International Conference on Machine Learning, PMLR 235",https://proceedings.mlr.press/v235/kim24y.html,https://proceedings.mlr.press/v235/kim24y.html,"Official PMLR page lists the exact paper in ICML 2024, PMLR 235:24370-24391. Automated downgrade is false.",ChatGPT-assisted manual evidence review,2026-09-13,keep archival published; retain PMLR identifier
B2_NO_MATCH,115,"Large Language Model based Multi-Agents: A Survey of Progress and Challenges Taicheng Guo1 , Xiuying Chen2 , Yaqi Wang3∗, Ruidi Chang , Shichao Pei4 ,",NO_MATCH,RETAIN_ARCHIVAL_OFFICIAL_IJCAI,Archival published,IJCAI 2024 Survey Track,https://doi.org/10.24963/ijcai.2024/890,https://doi.org/10.24963/ijcai.2024/890,IJCAI DOI identifies the survey as an archival IJCAI 2024 publication.,ChatGPT-assisted manual evidence review,2026-09-13,keep archival; retain DOI
B2_NO_MATCH,118,PreAct: Predicting Future in ReAct Enhances Agent’s Planning Ability,NO_MATCH,SET_ARCHIVAL_PUBLISHED_COLING,Archival published,COLING 2025,https://dblp.org/rec/conf/coling/FuHLDW0X25,https://dblp.org/rec/conf/coling/FuHLDW0X25,"DBLP records the final paper PreAct: Prediction Enhances Agent's Planning Ability in COLING 2025, pages 1-16. The prior preprint-only decision was outdated.",ChatGPT-assisted manual evidence review,2026-09-13,upgrade to Archival published; COLING 2025; retain arXiv 2402.11534 as preprint lineage
A2_official_proceedings,119,Executable Code Actions Elicit Better LLM Agents,DOWNGRADE,RETAIN_ARCHIVAL_OFFICIAL_PROCEEDINGS,Archival published,"Proceedings of the 41st International Conference on Machine Learning, PMLR 235",https://proceedings.mlr.press/v235/wang24h.html,https://proceedings.mlr.press/v235/wang24h.html,Official PMLR proceedings page confirms the exact paper as an ICML 2024 publication. Automated downgrade is false.,ChatGPT-assisted manual evidence review,2026-09-13,keep archival published; retain PMLR identifier
A3_upgrades,121,UFO A UI-Focused Agent for Windows OS Interaction,UPGRADE,SET_ARCHIVAL_PUBLISHED_STRONG_TITLE_DOI,Archival published,Proceedings of the 2025 Conference of the Nations of the Americas Chapter of the Association for Computational Linguistics: Human Language Technologies (Volume 1: Long Papers),https://doi.org/10.18653/v1/2025.naacl-long.26,https://doi.org/10.18653/v1/2025.naacl-long.26,"Exact/near-exact title match with a strong archival DOI and archival container 'Proceedings of the 2025 Conference of the Nations of the Americas Chapter of the Association for Computational Linguistics: Human Language Technologies (Volume 1: Long Papers)', corroborated by the v2.2 Crossref/OpenAlex verification evidence. Upgrade the register from 'Preprint/technical report' to archival published.",ChatGPT-assisted manual evidence review,2026-09-13,set status Archival published; set archival venue and identifier
A3_upgrades,123,LLMs in the Imaginarium: Tool Learning through Simulated Trial and Error,UPGRADE,SET_ARCHIVAL_PUBLISHED_STRONG_TITLE_DOI,Archival published,Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),https://doi.org/10.18653/v1/2024.acl-long.570,https://doi.org/10.18653/v1/2024.acl-long.570,"Exact/near-exact title match with a strong archival DOI and archival container 'Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers)', corroborated by the v2.2 Crossref/OpenAlex verification evidence. Upgrade the register from 'Preprint/technical report' to archival published.",ChatGPT-assisted manual evidence review,2026-09-13,set status Archival published; set archival venue and identifier
A3_upgrades,124,KnowAgent Knowledge-Augmented Planning for LLM-Based Agents,UPGRADE,SET_ARCHIVAL_PUBLISHED_STRONG_TITLE_DOI,Archival published,Findings of the Association for Computational Linguistics: NAACL 2025,https://doi.org/10.18653/v1/2025.findings-naacl.205,https://doi.org/10.18653/v1/2025.findings-naacl.205,"Exact/near-exact title match with a strong archival DOI and archival container 'Findings of the Association for Computational Linguistics: NAACL 2025', corroborated by the v2.2 Crossref/OpenAlex verification evidence. Upgrade the register from 'Preprint/technical report' to archival published.",ChatGPT-assisted manual evidence review,2026-09-13,set status Archival published; set archival venue and identifier
B2_NO_MATCH,127,THE LANDSCAPE OF EMERGING AI AGENT ARCHITECTURES,NO_MATCH,RETAIN_PREPRINT_TARGETED_SEARCH_NO_ARCHIVAL,Preprint/technical report,arXiv / preprint,https://arxiv.org/abs/2404.11584,https://arxiv.org/abs/2404.11584,Targeted exact-title review found no later authoritative conference or journal publication as of 2026-09-13; the existing preprint classification is retained.,ChatGPT-assisted manual evidence review,2026-09-13,retain Preprint/technical report; normalize arXiv identifier when available
A3_upgrades,128,A Survey on the Memory Mechanism of Large Language Model based Agents,UPGRADE,SET_ARCHIVAL_PUBLISHED_STRONG_TITLE_DOI,Archival published,ACM Transactions on Information Systems,https://doi.org/10.1145/3748302,https://doi.org/10.1145/3748302,"Exact/near-exact title match with a strong archival DOI and archival container 'ACM Transactions on Information Systems', corroborated by the v2.2 Crossref/OpenAlex verification evidence. Upgrade the register from 'Preprint/technical report' to archival published.",ChatGPT-assisted manual evidence review,2026-09-13,set status Archival published; set archival venue and identifier
A3_upgrades,130,Agent Design Pattern Catalogue A Collection of Architectural Patterns for Foundation Model based Agents,UPGRADE,SET_ARCHIVAL_PUBLISHED_STRONG_TITLE_DOI,Archival published,Journal of Systems and Software,https://doi.org/10.1016/j.jss.2024.112278,https://doi.org/10.1016/j.jss.2024.112278,"Exact/near-exact title match with a strong archival DOI and archival container 'Journal of Systems and Software', corroborated by the v2.2 Crossref/OpenAlex verification evidence. Upgrade the register from 'Preprint/technical report' to archival published.",ChatGPT-assisted manual evidence review,2026-09-13,set status Archival published; set archival venue and identifier
A3_upgrades,132,AvaTaR: Optimizing LLM Agents for Tool Usage via Contrastive Reasoning,UPGRADE,SET_ARCHIVAL_PUBLISHED_STRONG_TITLE_DOI,Archival published,Advances in Neural Information Processing Systems 37,https://doi.org/10.52202/079017-0817,https://doi.org/10.52202/079017-0817,"Exact/near-exact title match with a strong archival DOI and archival container 'Advances in Neural Information Processing Systems 37', corroborated by the v2.2 Crossref/OpenAlex verification evidence. Upgrade the register from 'Preprint/technical report' to archival published.",ChatGPT-assisted manual evidence review,2026-09-13,set status Archival published; set archival venue and identifier
C1_suspicious_OK_PREPRINT,133,Tool Learning with Large Language Models: A Survey,OK_PREPRINT,SET_ARCHIVAL_PUBLISHED_FCS,Archival published,Frontiers of Computer Science,https://doi.org/10.1007/s11704-024-40678-2,https://journal.hep.com.cn/fcs/EN/10.1007/s11704-024-40678-2,"The journal's official page lists the exact survey in Frontiers of Computer Science 2025, volume 19 issue 8, article 198343, DOI 10.1007/s11704-024-40678-2, with acceptance and online-publication dates.",ChatGPT-assisted manual evidence review,2026-09-13,set Archival published; venue Frontiers of Computer Science; DOI 10.1007/s11704-024-40678-2
