record_id,title,register_status,register_venue,register_identifier,identifier_host,direct_authoritative_identifier,machine_verdict,machine_notes,found_title,found_venue,found_year,found_doi,candidate_sources,archival_evidence,suspicious_ok_preprint,priority,adjudication_decision,authoritative_evidence_url,authoritative_evidence_note,adjudicated_by,adjudicated_at,b2_bucket
150,API Agents vs. GUI Agents: Divergence and Convergence,Preprint/technical report,arXiv / preprint,,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,REGISTER_PREPRINT
152,Advances and Challenges in Foundation Agents,Preprint/technical report,arXiv book/survey; uploaded duplicate,,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,REGISTER_PREPRINT
158,Deep Research Agents: A Systematic Examination And Roadmap,Preprint/technical report,arXiv / survey,,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,REGISTER_PREPRINT
165,Beyond Pipelines: A Survey of the Paradigm Shift toward Model-Native Agentic AI,Preprint/technical report,arXiv / survey with journal-style template,,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,REGISTER_PREPRINT
166,Experience-Driven Exploration for Efficient API-Free AI Agents,Preprint/technical report,arXiv / preprint,,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,REGISTER_PREPRINT
170,"Memory in the Age of AI Agents: A Survey Forms, Functions and Dynamics",Preprint/technical report,arXiv / survey,,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,REGISTER_PREPRINT
172,"AI Agent Systems: Architectures, Applications, and Evaluation",Preprint/technical report,arXiv / survey,,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,REGISTER_PREPRINT
174,"Toward Efficient Agents: Memory, Tool learning, and Planning",Preprint/technical report,arXiv / survey,,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,REGISTER_PREPRINT
201,"Position: Towards Unified Alignment Between Agents, Humans, and Environment",Archival published,"Proceedings of the 41st International Conference on Machine Learning (ICML 2024), PMLR 235, pages 56251-56275",https://proceedings.mlr.press/v235/yang24p.html,proceedings.mlr.press,yes,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,ARCHIVAL_WITH_DIRECT_ID
251,OTC: Optimal Tool Calls via Reinforcement Learning,Preprint/technical report,arXiv,2504.14870,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,REGISTER_PREPRINT
252,Towards Agentic RAG with Deep Reasoning: A Survey of RAG-Reasoning Systems in LLMs,Preprint/technical report,arXiv preprint,,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,REGISTER_PREPRINT
254,A Comprehensive Survey of Self-Evolving AI Agents,Preprint/technical report,arXiv,2508.07407,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,REGISTER_PREPRINT
256,AgentScope 1.0: A Developer-Centric Framework for Building Agentic Applications,Preprint/technical report,arXiv preprint arXiv:2508.16279,,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,REGISTER_PREPRINT
264,ALITA-G: Self-Evolving Generative Agent for Agent Generation,Preprint/technical report,arXiv preprint arXiv:2510.23601,,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,REGISTER_PREPRINT
265,AlphaApollo: Orchestrating Foundation Models and Professional Tools into a Self-Evolving System for Deep Agentic Reasoning,Workshop/conditional,Lifelong Agent Workshop at ICLR 2026,,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,REGISTER_UNCONFIRMED
267,The Era of Agentic Organization: Learning to Organize with Language Models,Preprint/technical report,arXiv preprint arXiv:2510.26658,,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,REGISTER_PREPRINT
301,Synapse: Leveraging Few-Shot Exemplars for Human-Level Computer Control,Preprint/technical report,arXiv preprint,,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,REGISTER_PREPRINT
313,Turn Every Application into an Agent: Towards Efficient Human-Agent-Computer Interaction with API-First LLM-Based Agents,Archival published,Proceedings of ACL (Long Papers),arXiv:2409.17140,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,ARCHIVAL_NO_DIRECT_ID
316,"AI Agents for Computer Use: A Review of Instruction-based Computer Control, GUI Automation, and Operator Assistants",Preprint/technical report,arXiv,2501.16150,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,REGISTER_PREPRINT
326,Agentic Web: Weaving the Next Web with AI Agents,Preprint/technical report,arXiv preprint arXiv:2502.09543,arXiv:2502.09543,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,REGISTER_PREPRINT
327,CoAct-1: Computer-using Agents with Coding as Actions,Preprint/technical report,arXiv preprint arXiv:2504.13762,arXiv:2504.13762,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,REGISTER_PREPRINT
329,Are LLM Agents the New RPA: A Comparative Study with RPA Across Enterprise Workflows,Preprint/technical report,arXiv:2502.01354,arXiv:2502.01354,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,REGISTER_PREPRINT
336,A Comprehensive Survey of Agents for Computer Use,Archival published,Journal of Artificial Intelligence Research,https://doi.org/10.1613/jair.1.17178,doi.org,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,ARCHIVAL_WITH_DIRECT_ID
338,WebArena: A Realistic Web Environment for Building Autonomous Agents,Archival published,International Conference on Learning Representations,,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,ARCHIVAL_NO_DIRECT_ID
353,BEARCUBS A benchmark for computer-using web agents,Archival published,COLM,,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,ARCHIVAL_NO_DIRECT_ID
358,DeepShop: A Benchmark for Deep Research Shopping Agents,Preprint/technical report,arXiv preprint arXiv:2506.02839,,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,REGISTER_PREPRINT
365,"BrowseComp-V3: A Visual, Vertical, and Verifiable Benchmark for Multimodal Browsing Agents",Preprint/technical report,arXiv preprint arXiv:2602.12876,,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,REGISTER_PREPRINT
366,PATHWAYS: Evaluating Investigation and Context Discovery in AI Web Agents,Preprint/technical report,arXiv preprint arXiv:2602.05354,https://doi.org/10.48550/arXiv.2602.05354,doi.org,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,REGISTER_PREPRINT
389,A3: Android Agent Arena for Mobile GUI Agents,Archival published,Findings of ACL 2026,https://aclanthology.org/2026.findings-acl.184/; 2501.01149,aclanthology.org,yes,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,ARCHIVAL_WITH_DIRECT_ID
413,NEWSAGENT: Benchmarking Multimodal Agents as Journalists with Real-World Newswriting Tasks,Archival published,Findings of ACL 2026 (volume live; ISBN 979-8-89176-395-1),https://aclanthology.org/volumes/2026.findings-acl/; 2509.00446,aclanthology.org,yes,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,ARCHIVAL_WITH_DIRECT_ID
431,Auto-Eval Judge: Towards a General Agentic Framework for Task Completion Evaluation,Preprint/technical report,arXiv preprint,,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,REGISTER_PREPRINT
449,UGround: Unified Visual Grounding for GUI Agents,Archival published,International Conference on Learning Representations,https://openreview.net/forum?id=kxnoqaisCT,openreview.net,yes,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,ARCHIVAL_WITH_DIRECT_ID
470,"Multimodal LLM Agents: Exploring LLM interactions in Software, Web and Operating Systems",Workshop/non-archival,CS598 course/LLM-Agent workshop (OpenReview YGLOpASCY5); no arXiv ID,,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,ARCHIVAL_SUSPICIOUS_VENUE
473,Beyond Pixels: Exploring DOM Downsampling for LLM-Based Web Agents,Preprint/technical report,arXiv preprint arXiv:2508.04412,,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,REGISTER_PREPRINT
486,WebSailor Navigating Super-human Reasoning for Web Agent,Preprint/technical report,arXiv preprint arXiv:2507.02592,,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,REGISTER_PREPRINT
487,AgentFold: Long-Horizon Web Agents with Proactive Context Management,Preprint/technical report,arXiv preprint arXiv:2510.24699,,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,REGISTER_PREPRINT
491,HEAP: HIERARCHICAL POLICIES FOR,Archival accepted,COLM 2024,https://openreview.net/forum?id=5fg0VtRxgi; 2310.03720,openreview.net,yes,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,ARCHIVAL_WITH_DIRECT_ID
502,InfiGUI-R1 Advancing Multimodal GUI Agents from Reactive Actors to Deliberative Reasoners,Preprint/technical report,arXiv preprint arXiv:2504.14239,,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,REGISTER_PREPRINT
510,Web World Models,Preprint/technical report,arXiv preprint arXiv:2512.23676,,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,REGISTER_PREPRINT
523,NNetscape Navigator: Complex Demonstrations for Web Agents Without a Demonstrator,Preprint/technical report,arXiv (ICLR 2025 submission withdrawn),2410.02907,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,REGISTER_PREPRINT
540,WebExplorer: Explore and Evolve for Training Long-Horizon Web Agents,Preprint/technical report,arXiv preprint arXiv:2509.06501,,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,REGISTER_PREPRINT
545,Avenir-Web1: Human-Experience-Imitating Multimodal Web Agents with Mixture of Grounding Experts,Preprint/technical report,arXiv preprint arXiv:2602.02468,,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,REGISTER_PREPRINT
585,ProgRM Build Better GUI Agents with Progress Rewards,Preprint/technical report,arXiv preprint arXiv:2505.18121,,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,REGISTER_PREPRINT
607,Online Process Reward Learning for Agentic Reinforcement Learning,Preprint/technical report,—,https://arxiv.org/abs/2509.19199; arXiv:2509.19199,arxiv.org,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,REGISTER_PREPRINT
620,The Unreasonable Effectiveness of Scaling Agents for Computer Use,Preprint/technical report,arXiv (Simular),2510.02250,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,REGISTER_PREPRINT
629,WEBSERV: A Browser-Server Environment for Efficient Training of Reinforcement Learning-based Web Agents at Scale,Workshop/non-archival,NeurIPS 2025 MTI-LLM Workshop (Poster),https://openreview.net/forum?id=YHcHQY8TIY; arXiv:2510.16252,openreview.net,yes,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,ARCHIVAL_WITH_DIRECT_ID
637,Agent Lightning: Train ANY AI Agents with Reinforcement Learning,Preprint/technical report,arXiv preprint arXiv:2508.03680,,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,REGISTER_PREPRINT
649,Aegis: Taxonomy and Optimizations for Overcoming Agent-Environment Failures in LLM Agents,Preprint/technical report,arXiv preprint arXiv:2508.19504,,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,REGISTER_PREPRINT
651,Where LLM Agents Fail and How They Can Learn From Failures,Preprint/technical report,arXiv preprint arXiv:2509.25370,,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,REGISTER_PREPRINT
653,What Do LLMAgents Know About Their World: Task2Quiz: A Paradigm for Studying Environment Understanding,Preprint/technical report,arXiv preprint arXiv:2601.09503,,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,REGISTER_PREPRINT
658,VeriLA A Human-Centered Evaluation Framework for Interpretable Verification of LLM Agent Failures,Preprint/technical report,arXiv preprint arXiv:2503.12651,,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,REGISTER_PREPRINT
664,NEXT-EVAL: Next Evaluation of Traditional and LLM Web Data Record Extraction,Preprint/technical report,arXiv preprint arXiv:2505.17125,,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,REGISTER_PREPRINT
670,ScrapeGraphAI-100k: A Large-Scale Dataset for LLM-Based Web Information Extraction,Preprint/technical report,arXiv preprint arXiv:2602.15189,,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,REGISTER_PREPRINT
676,"Advanced Web Scraping in the Modern Web: Techniques, Prevention, and AI Integration",Unconfirmed,,,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,REGISTER_UNCONFIRMED
679,An Agentic Toolkit for Adaptive Information Extraction from Regulatory Documents,Preprint/technical report,arXiv preprint arXiv:2509.11773,,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,REGISTER_PREPRINT
682,Mind2Report: A Cognitive Deep Research Agent for Expert-Level Commercial Report Synthesis,Preprint/technical report,arXiv preprint arXiv:2601.04879,,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,REGISTER_PREPRINT
692,WiNELL: Wikipedia Never-Ending Updating with LLM Agents,Archival published,Proceedings of the ACM Web Conference 2026,https://doi.org/10.1145/3774904.3792695,doi.org,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,ARCHIVAL_WITH_DIRECT_ID
721,AI Kill Switch for malicious web-based LLM agent,Preprint/technical report,arXiv preprint arXiv:2503.08792,https://doi.org/10.48550/arXiv.2503.08792,doi.org,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,REGISTER_PREPRINT
738,GuardAgent: Safeguard LLM Agents via Knowledge-Enabled Reasoning,Archival published,"Proceedings of the 42nd International Conference on Machine Learning (ICML 2025), PMLR 267:68316–68342",https://proceedings.mlr.press/v267/xiang25a.html,proceedings.mlr.press,yes,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,ARCHIVAL_WITH_DIRECT_ID
755,Context is Key for Agent Security,Preprint/technical report,,,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,REGISTER_PREPRINT
759,A Practical Memory Injection Attack against LLM Agents,Archival published,Advances in Neural Information Processing Systems,arXiv:2411.09921,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,ARCHIVAL_NO_DIRECT_ID
780,Reliable Weak-to-Strong Monitoring of LLM Agents,Archival published,International Conference on Learning Representations,arXiv:2505.08786,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,ARCHIVAL_NO_DIRECT_ID
784,LLM Agents for Automated Web Vulnerability Reproduction: Are We There Yet,Archival accepted,,,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,ARCHIVAL_NO_DIRECT_ID
801,"Agent A/B: Automated and Scalable A/B Testing on Live Websites with Interactive LLM Agents [MERGED: consolidates former duplicate row #802, ""AgentAB"" title variant — confirmed same paper]",Archival published,ACM CHI 2026 Extended Abstracts,https://doi.org/10.1145/3772363.3799039; 2504.09723,doi.org,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,ARCHIVAL_WITH_DIRECT_ID
