record_id,title,register_status,register_venue,register_identifier,identifier_host,direct_authoritative_identifier,machine_verdict,machine_notes,found_title,found_venue,found_year,found_doi,candidate_sources,archival_evidence,suspicious_ok_preprint,priority,adjudication_decision,authoritative_evidence_url,authoritative_evidence_note,adjudicated_by,adjudicated_at,venue_family
307,Cradle Empowering Foundation Agents Towards General Computer Control,Archival published,Proceedings of the 42nd International Conference on Machine Learning,arXiv:2403.03186,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,Cradle: Empowering Foundation Agents Towards General Computer Control,arXiv,2024,10.48550/arxiv.2403.03186,datacite:arxiv | openalex:arxiv | openalex:title | openalex:title,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2403.03186,no,B1,PENDING,,,,,PMLR_ICML
323,GA: A Comprehensive Survey on LLM-based GUI Agent,Archival published,TechRxiv / submitted manuscript,,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,GA: A Comprehensive Survey on LLM-based GUI Agent,,2025,10.36227/techrxiv.175322671.12208812/v1,openalex:title | crossref:title,crossref:title: crossref type=posted-content (preprint),no,B1,PENDING,,,,,OTHER
330,BrowserAgent: Building Web Agents with Human-Inspired Web Browsing Actions,Archival published,Transactions on Machine Learning Research,arXiv:2412.10074,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,BrowserAgent: Building Web Agents with Human-Inspired Web Browsing Actions,,2025,10.48550/arxiv.2510.10666,openalex:title,openalex:title: OpenAlex type=preprint,no,B1,PENDING,,,,,OPENREVIEW_TMLR
340,WebLINX: Real-World Website Navigation with Multi-Turn Dialogue,Archival published,Proceedings of ICML,,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,WebLINX: Real-World Website Navigation with Multi-Turn Dialogue,,2024,10.48550/arxiv.2402.05930,openalex:title,openalex:title: OpenAlex type=preprint,no,B1,PENDING,,,,,PMLR_ICML
341,AgentBench Evaluating LLMs as Agents,Archival published,International Conference on Learning Representations,arXiv:2308.03688,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,AgentBench: Evaluating LLMs as Agents,arXiv,2023,10.48550/arxiv.2308.03688,datacite:arxiv | openalex:arxiv | openalex:title,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2308.03688,no,B1,PENDING,,,,,OPENREVIEW_ICLR
342,GAIA a benchmark for General AI Assistants,Archival published,International Conference on Learning Representations,arXiv:2311.12983,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,GAIA: a benchmark for General AI Assistants,arXiv,2023,10.48550/arxiv.2311.12983,datacite:arxiv | openalex:arxiv | openalex:title,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2311.12983,no,B1,PENDING,,,,,OPENREVIEW_ICLR
344,WorkArena: How Capable Are Web Agents at Solving Common Knowledge Work Tasks,Archival published,Proceedings of ICML,,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,WorkArena: How Capable Are Web Agents at Solving Common Knowledge Work Tasks?,,2024,10.48550/arxiv.2403.07718,openalex:title,openalex:title: OpenAlex type=preprint,no,B1,PENDING,,,,,PMLR_ICML
351,The BrowserGym Ecosystem for Web Agent Research,Archival published,TMLR,arXiv:2412.05467,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,The BrowserGym Ecosystem for Web Agent Research,arXiv,2024,10.48550/arxiv.2412.05467,datacite:arxiv | openalex:arxiv | openalex:title | openalex:title,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2412.05467,no,B1,PENDING,,,,,OPENREVIEW_TMLR
356,AgentRewardBench Evaluating Automatic Evaluations of Web Agent Trajectories,Archival published,COLM,,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,AgentRewardBench: Evaluating Automatic Evaluations of Web Agent Trajectories,,2025,10.48550/arxiv.2504.08942,openalex:title,openalex:title: OpenAlex type=preprint,no,B1,PENDING,,,,,OPENREVIEW_COLM
367,ST-WebAgentBench: A Benchmark for Evaluating Safety and Trustworthiness in Web Agents,Archival published,International Conference on Learning Representations,arXiv:2410.06703,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,ST-WebAgentBench: A Benchmark for Evaluating Safety and Trustworthiness in Web Agents,arXiv,2024,10.48550/arxiv.2410.06703,datacite:arxiv | openalex:arxiv | openalex:title,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2410.06703,no,B1,PENDING,,,,,OPENREVIEW_ICLR
372,ASSISTGUI: Task-Oriented Desktop Graphical User Interface Automation,Archival published,"IEEE Xplore proceedings (title variant ""AssistGUI: Task-Oriented PC GUI Automation"")",IEEE Xplore doc 10656030; 2312.13108,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,AssistGUI: Task-Oriented PC Graphical User Interface Automation,2024 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),2024,10.1109/cvpr52733.2024.01262,datacite:arxiv | openalex:arxiv | openalex:title | crossref:title,crossref:title: crossref type=proceedings-article venue='2024 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)',no,B1,PENDING,,,,,IEEE
373,TravelPlanner A Benchmark for Real-World Planning with Language Agents,Archival published,Proceedings of ICML,arXiv:2402.01622,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,TravelPlanner: A Benchmark for Real-World Planning with Language Agents,arXiv,2024,10.48550/arxiv.2402.01622,datacite:arxiv | openalex:arxiv | openalex:title,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2402.01622,no,B1,PENDING,,,,,PMLR_ICML
374,AndroidWorld A Dynamic Benchmarking Environment for Autonomous Agents,Archival published,International Conference on Learning Representations,arXiv:2405.14573,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,AndroidWorld: A Dynamic Benchmarking Environment for Autonomous Agents,arXiv,2024,10.48550/arxiv.2405.14573,datacite:arxiv | openalex:arxiv | openalex:title,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2405.14573,no,B1,PENDING,,,,,OPENREVIEW_ICLR
376,-bench A Benchmark for Tool-Agent-User Interaction in Real-World Domains,Archival published,International Conference on Learning Representations,arXiv:2406.12045,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,$τ$-bench: A Benchmark for Tool-Agent-User Interaction in Real-World Domains,arXiv,2024,10.48550/arxiv.2406.12045,datacite:arxiv | openalex:arxiv | openalex:title,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2406.12045,no,B1,PENDING,,,,,OPENREVIEW_ICLR
377,AI Agents That Matter,Archival published,TMLR,arXiv:2407.01502,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,AI Agents That Matter,arXiv,2024,10.48550/arxiv.2407.01502,datacite:arxiv | openalex:arxiv | openalex:title,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2407.01502,no,B1,PENDING,,,,,OPENREVIEW_TMLR
381,VisualAgentBench Towards Large Multimodal Models as Visual Foundation Agents,Archival published,International Conference on Learning Representations,arXiv:2408.06327,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,VisualAgentBench: Towards Large Multimodal Models as Visual Foundation Agents,arXiv,2024,10.48550/arxiv.2408.06327,datacite:arxiv | openalex:arxiv | openalex:title,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2408.06327,no,B1,PENDING,,,,,OPENREVIEW_ICLR
383,Windows Agent Arena Evaluating Multi-Modal OS Agents at Scale,Archival published,Proceedings of ICML,arXiv:2409.08264,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,Windows Agent Arena: Evaluating Multi-Modal OS Agents at Scale,arXiv,2024,10.48550/arxiv.2409.08264,datacite:arxiv | openalex:arxiv | openalex:title,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2409.08264,no,B1,PENDING,,,,,PMLR_ICML
384,SPA-Bench: A Comprehensive Benchmark for SmartPhone Agent Evaluation,Archival published,International Conference on Learning Representations,arXiv:2410.15164,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,SPA-Bench: A Comprehensive Benchmark for SmartPhone Agent Evaluation,arXiv,2024,10.48550/arxiv.2410.15164,datacite:arxiv | openalex:arxiv | openalex:title,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2410.15164,no,B1,PENDING,,,,,OPENREVIEW_ICLR
385,Agent-as-a-Judge Evaluate Agents with Agents,Archival published,Proceedings of ICML,arXiv:2410.10934,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,Agent-as-a-Judge: Evaluate Agents with Agents,arXiv,2024,10.48550/arxiv.2410.10934,datacite:arxiv | openalex:arxiv | openalex:title,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2410.10934,no,B1,PENDING,,,,,PMLR_ICML
387,VideoWebArena Evaluating Long Context Multimodal Agents with Video Understanding Web Tasks,Archival published,ICLR 2025,"proceedings.iclr.cc (2025, OpenReview unDQOUah0F); 2410.19100",,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,VideoWebArena: Evaluating Long Context Multimodal Agents with Video Understanding Web Tasks,arXiv,2024,10.48550/arxiv.2410.19100,datacite:arxiv | openalex:arxiv | openalex:title,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2410.19100,no,B1,PENDING,,,,,OPENREVIEW_ICLR
415,DRBench: A Realistic Benchmark for Enterprise Deep Research,Archival published,International Conference on Learning Representations,arXiv:2510.00172,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,DRBench: A Realistic Benchmark for Enterprise Deep Research,arXiv,2025,10.48550/arxiv.2510.00172,datacite:arxiv | openalex:arxiv | openalex:title,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2510.00172,no,B1,PENDING,,,,,OPENREVIEW_ICLR
419,TheMCPCompany: Creating General-purpose Agents with Task-specific Tools,Archival published,International Conference on Learning Representations,arXiv:2504.11676,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,TheMCPCompany: Creating General-purpose Agents with Task-specific Tools,,2025,10.48550/arxiv.2510.19286,openalex:title,openalex:title: OpenAlex type=preprint,no,B1,PENDING,,,,,OPENREVIEW_ICLR
424,Ego2Web: A Web Agent Benchmark Grounded in Egocentric Videos,Archival published,CVPR 2026 (CVF Open Access),https://openaccess.thecvf.com/CVPR2026; 2603.22529,openaccess.thecvf.com,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,Ego2Web: A Web Agent Benchmark Grounded in Egocentric Videos,arXiv,2026,10.48550/arxiv.2603.22529,datacite:arxiv | openalex:arxiv | openalex:title | openalex:title,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2603.22529,no,B1,PENDING,,,,,CVF
425,AgentWebBench: Benchmarking Multi-Agent Coordination in Agentic Web,Archival accepted,ICML 2026 (Proc. 43rd Int. Conf. on Machine Learning; Poster),https://icml.cc/ (2026 proceedings); 2604.10938,icml.cc,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,AgentWebBench: Benchmarking Multi-Agent Coordination in Agentic Web,arXiv,2026,10.48550/arxiv.2604.10938,datacite:arxiv | openalex:arxiv | openalex:title | openalex:title,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2604.10938,no,B1,PENDING,,,,,PMLR_ICML
433,A Long Way to Go: Investigating Length Correlations in RLHF,Archival published,First Conference on Language Modeling (COLM 2024),arXiv:2310.03716,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,A Long Way to Go: Investigating Length Correlations in RLHF,arXiv,2023,10.48550/arxiv.2310.03716,datacite:arxiv | openalex:arxiv | openalex:title,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2310.03716,no,B1,PENDING,,,,,OPENREVIEW_COLM
437,Pix2Struct: Screenshot Parsing as Pretraining for Visual Language Understanding,Archival published,Proceedings of ICML,arXiv:2210.03347,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,Pix2Struct: Screenshot Parsing as Pretraining for Visual Language Understanding,arXiv,2022,10.48550/arxiv.2210.03347,datacite:arxiv | openalex:arxiv | openalex:title,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2210.03347,no,B1,PENDING,,,,,PMLR_ICML
439,Pix2Act -- From Pixels to UI Actions: Learning to Follow Instructions via Graphical User Interfaces,Archival published,Advances in NeurIPS,arXiv:2306.00245,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,From Pixels to UI Actions: Learning to Follow Instructions via Graphical User Interfaces,Advances in Neural Information Processing Systems 36,2023,10.52202/075280-1490,datacite:arxiv | openalex:arxiv | openalex:title | crossref:title,crossref:title: crossref type=proceedings-article venue='Advances in Neural Information Processing Systems 36',no,B1,PENDING,,,,,NEURIPS
443,OmniParser for Pure Vision Based GUI Agent,Archival published,International Conference on Learning Representations,arXiv:2408.00203,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,OmniParser for Pure Vision Based GUI Agent,arXiv,2024,10.48550/arxiv.2408.00203,datacite:arxiv | openalex:arxiv | openalex:title,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2408.00203,no,B1,PENDING,,,,,OPENREVIEW_ICLR
444,OS-ATLAS: A Foundation Action Model for Generalist GUI Agents,Archival published,International Conference on Learning Representations,arXiv:2410.23218,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,OS-ATLAS: A Foundation Action Model for Generalist GUI Agents,arXiv,2024,10.48550/arxiv.2410.23218,datacite:arxiv | openalex:arxiv | openalex:title,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2410.23218,no,B1,PENDING,,,,,OPENREVIEW_ICLR
453,LCoW: Learning to Contextualize Web Pages for Enhanced Decision Making by LLM Agents,Archival published,International Conference on Learning Representations,arXiv:2503.10689,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,Learning to Contextualize Web Pages for Enhanced Decision Making by LLM Agents,arXiv,2025,10.48550/arxiv.2503.10689,datacite:arxiv | openalex:arxiv | openalex:title,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2503.10689,no,B1,PENDING,,,,,OPENREVIEW_ICLR
457,Synapse Trajectory-as-Exemplar Prompting with Memory for Computer Control,Archival published,International Conference on Learning Representations,arXiv:2306.07863,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,Synapse: Trajectory-as-Exemplar Prompting with Memory for Computer Control,arXiv,2023,10.48550/arxiv.2306.07863,datacite:arxiv | openalex:arxiv | openalex:title,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2306.07863,no,B1,PENDING,,,,,OPENREVIEW_ICLR
462,GUI-World A Video Benchmark and Dataset for Multimodal GUI-oriented Understanding,Archival published,International Conference on Learning Representations,arXiv:2406.10819,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,GUI-World: A Video Benchmark and Dataset for Multimodal GUI-oriented Understanding,arXiv,2024,10.48550/arxiv.2406.10819,datacite:arxiv | openalex:arxiv | openalex:title,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2406.10819,no,B1,PENDING,,,,,OPENREVIEW_ICLR
464,ScreenAI: A Vision-Language Model for UI and Infographics Understanding,Archival published,Proceedings of IJCAI,https://doi.org/10.24963/ijcai.2024/339,doi.org,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,ScreenAI: A Vision-Language Model for UI and Infographics Understanding,,2024,10.48550/arxiv.2402.04615,openalex:title,openalex:title: OpenAlex type=preprint,no,B1,PENDING,,,,,AAAI_IJCAI
465,Aguvis Unified Pure Vision Agents for Autonomous GUI Interaction,Archival published,Proceedings of ICML,arXiv:2412.04689,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,Aguvis: Unified Pure Vision Agents for Autonomous GUI Interaction,,2024,10.48550/arxiv.2412.04454,openalex:title,openalex:title: OpenAlex type=preprint,no,B1,PENDING,,,,,PMLR_ICML
481,Agent S2 A Compositional Generalist-Specialist Framework for Computer Use Agents,Archival published,COLM,arXiv:2504.00906,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,Agent S2: A Compositional Generalist-Specialist Framework for Computer Use Agents,arXiv,2025,10.48550/arxiv.2504.00906,datacite:arxiv | openalex:arxiv | openalex:title,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2504.00906,no,B1,PENDING,,,,,OPENREVIEW_COLM
483,AGENTOCCAM: A Simple Yet Strong Baseline for LLM-Based Web Agents,Archival published,International Conference on Learning Representations,arXiv:2410.13825,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,AgentOccam: A Simple Yet Strong Baseline for LLM-Based Web Agents,arXiv,2024,10.48550/arxiv.2410.13825,datacite:arxiv | openalex:arxiv | openalex:title,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2410.13825,no,B1,PENDING,,,,,OPENREVIEW_ICLR
484,WebDreamer: Is Your LLM Secretly a World Model of the Internet Model-Based Planning for Web Agents,Archival published,TMLR,arXiv:2411.06559,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,Is Your LLM Secretly a World Model of the Internet? Model-Based Planning for Web Agents,arXiv,2024,10.48550/arxiv.2411.06559,datacite:arxiv | openalex:arxiv | openalex:title,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2411.06559,no,B1,PENDING,,,,,OPENREVIEW_TMLR
490,Tree Search for Language Model Agents,Archival published,TMLR,arXiv:2407.01476,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,Tree Search for Language Model Agents,arXiv,2024,10.48550/arxiv.2407.01476,datacite:arxiv | openalex:arxiv | openalex:title,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2407.01476,no,B1,PENDING,,,,,OPENREVIEW_TMLR
497,ExACT Teaching AI Agents to Explore with Reflective-MCTS and Exploratory Learning,Archival published,International Conference on Learning Representations,arXiv:2410.02052,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,ExACT: Teaching AI Agents to Explore with Reflective-MCTS and Exploratory Learning,arXiv,2024,10.48550/arxiv.2410.02052,datacite:arxiv | openalex:arxiv | openalex:title,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2410.02052,no,B1,PENDING,,,,,OPENREVIEW_ICLR
501,Inducing Programmatic Skills for Agentic Tasks,Archival published,COLM,arXiv:2504.06821,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,Inducing Programmatic Skills for Agentic Tasks,arXiv,2025,10.48550/arxiv.2504.06821,datacite:arxiv | openalex:arxiv | openalex:title,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2504.06821,no,B1,PENDING,,,,,OPENREVIEW_COLM
504,SteP: Stacked LLM Policies for Web Actions,Archival published,First COLM,arXiv:2310.03720,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,SteP: Stacked LLM Policies for Web Actions,arXiv,2023,10.48550/arxiv.2310.03720,datacite:arxiv | openalex:arxiv | openalex:title,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2310.03720,no,B1,PENDING,,,,,OPENREVIEW_COLM
505,Thinking vs. Doing: Agents that Reason by Scaling Test-Time Interaction,Archival accepted,NeurIPS 2025 (poster),neurips.cc/virtual/2025/130833 (OpenReview un1TRwNgiv); 2506.07976,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,Thinking vs. Doing: Agents that Reason by Scaling Test-Time Interaction,arXiv,2025,10.48550/arxiv.2506.07976,datacite:arxiv | openalex:arxiv | openalex:title,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2506.07976,no,B1,PENDING,,,,,NEURIPS
517,WebRL: Training LLM Web Agents via Self-Evolving Online Curriculum Reinforcement Learning,Archival published,International Conference on Learning Representations,arXiv:2411.02337,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,WebRL: Training LLM Web Agents via Self-Evolving Online Curriculum Reinforcement Learning,arXiv,2024,10.48550/arxiv.2411.02337,datacite:arxiv | openalex:arxiv | openalex:title,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2411.02337,no,B1,PENDING,,,,,OPENREVIEW_ICLR
