record_id,title,register_status,register_venue,register_identifier,resolved_via,title_match,found_title,found_venue,found_type,found_year,found_doi,openalex_id,candidate_sources,candidate_count,archival_candidate_count,strong_archival_candidate_count,rejected_title_mismatches,archival_evidence,VERDICT,notes
11,Large Language Models are Zero-Shot Reasoners,Archival published,Advances in Neural Information Processing Systems,,crossref:title,1.0,Large Language Models Are Zero-Shot Reasoners,Advances in Neural Information Processing Systems 35,proceedings-article,2022,10.52202/068431-1613,,openalex:title | openalex:title | crossref:title,3,2,2,,openalex:title: DOI prefix 10.52202 (NeurIPS/PMLR) | openalex:title: pages 22199-22213 | crossref:title: crossref type=proceedings-article venue='Advances in Neural Information Processing Systems 35',OK_ARCHIVAL,
12,Least-to-Most Prompting Enables Complex Reasoning in Large Language Models,Archival published,International Conference on Learning Representations,,openalex:title,1.0,Least-to-Most Prompting Enables Complex Reasoning in Large Language Models,,preprint,2022,10.48550/arxiv.2205.10625,https://openalex.org/W4281483047,openalex:title,1,0,0,,openalex:title: OpenAlex type=preprint,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found
13,Visual Instruction Tuning,Archival published,Advances in Neural Information Processing Systems,,crossref:title,1.0,Visual Instruction Tuning,Advances in Neural Information Processing Systems 36,proceedings-article,2023,10.52202/075280-1516,,openalex:title | openalex:title | crossref:title,3,2,2,,openalex:title: DOI prefix 10.52202 (NeurIPS/PMLR) | openalex:title: pages 34892-34916 | crossref:title: crossref type=proceedings-article venue='Advances in Neural Information Processing Systems 36',OK_ARCHIVAL,
15,GPT-4 Technical Report,Preprint/technical report,arXiv preprint arXiv:2303.08774,https://doi.org/10.48550/arXiv.2303.08774,openalex:title,1.0,GPT-4 Technical Report,Leibniz international proceedings in informatics,preprint,2023,10.4230/lipics.cosit.2024.11,https://openalex.org/W4327810158,datacite:arxiv | openalex:title,2,1,0,,openalex:title: location[journal]='Leibniz international proceedings in informatics',OK_PREPRINT,uncorroborated OpenAlex-only archival signal ignored pending manual verification: Leibniz international proceedings in informatics
16,Gemini 1.5: Unlocking multimodal understanding across millions of tokens of context,Preprint/technical report,arXiv preprint arXiv:2403.05530,https://doi.org/10.48550/arXiv.2403.05530,datacite:arxiv,1.0,Gemini 1.5: Unlocking multimodal understanding across millions of tokens of context,arXiv,Preprint,2024,10.48550/arxiv.2403.05530,,datacite:arxiv | openalex:doi | openalex:title,3,0,0,,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2403.05530,OK_PREPRINT,
17,BART Denoising Sequence-to-Sequence Pre-training for Natural Language Generation Translation and Comprehension,Archival published,Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,https://doi.org/10.18653/v1/2020.acl-main.703,crossref:doi,1.0,"BART: Denoising Sequence-to-Sequence Pre-training for Natural Language Generation, Translation, and Comprehension",Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,proceedings-article,2020,10.18653/v1/2020.acl-main.703,,openalex:doi | crossref:doi,2,2,2,,openalex:doi: DOI prefix 10.18653 (ACL Anthology) | openalex:doi: pages 7871-7880 | crossref:doi: crossref type=proceedings-article venue='Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics',OK_ARCHIVAL,
19,An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale,Archival published,ICLR 2021,https://openreview.net/forum?id=YicbFdNTTy,openalex:title,1.0,An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale,International Conference on Learning Representations,conference-paper,2021,,https://openalex.org/W3119786062,openalex:title | openalex:title,2,1,1,,openalex:title: location[conference]='International Conference on Learning Representations',OK_ARCHIVAL,
20,Training Compute-Optimal Large Language Models,Archival published,Advances in Neural Information Processing Systems,arXiv:2203.15556,openalex:title,1.0,Training Compute-Optimal Large Language Models,,conference-paper,2022,10.52202/068431-2176,https://openalex.org/W7133225605,datacite:arxiv | openalex:arxiv | openalex:title | openalex:title,4,1,1,,openalex:title: DOI prefix 10.52202 (NeurIPS/PMLR) | openalex:title: pages 30016-30030,OK_ARCHIVAL,
22,Emergent Abilities of Large Language Models,Archival published,Transactions on Machine Learning Research,https://openreview.net/forum?id=yzkSU5zdwD,openalex:title,1.0,Emergent Abilities of Large Language Models,,preprint,2022,10.48550/arxiv.2206.07682,https://openalex.org/W4283026156,openalex:title,1,0,0,,openalex:title: OpenAlex type=preprint,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found
23,BLIP-2: Bootstrapping Language-Image Pre-training with Frozen Image Encoders and Large Language Models,Archival published,"ICML 2023, PMLR 202",https://proceedings.mlr.press/v202/li23q.html,openalex:title,1.0,BLIP-2: Bootstrapping Language-Image Pre-training with Frozen Image Encoders and Large Language Models,,preprint,2023,10.48550/arxiv.2301.12597,https://openalex.org/W4318718936,openalex:title,1,0,0,,openalex:title: OpenAlex type=preprint,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found
24,Language Is Not All You Need: Aligning Perception with Language Models,Archival published,NeurIPS 2023,https://proceedings.neurips.cc/paper_files/paper/2023/hash/e425b75bac5742a008d643826428787c-Abstract-Conference.html,crossref:title,1.0,Language Is Not All You Need: Aligning Perception with Language Models,Advances in Neural Information Processing Systems 36,proceedings-article,2023,10.52202/075280-3155,,openalex:title | openalex:title | crossref:title,3,2,2,,openalex:title: DOI prefix 10.52202 (NeurIPS/PMLR) | openalex:title: pages 72096-72109 | crossref:title: crossref type=proceedings-article venue='Advances in Neural Information Processing Systems 36',OK_ARCHIVAL,
25,Multimodal Chain-of-Thought Reasoning in Language Models,Archival published,Transactions on Machine Learning Research,https://openreview.net/forum?id=y1pPWFVfvR,crossref:title,1.0,Multimodal Chain-of-Thought Reasoning in Language Models,,posted-content,2025,10.59350/90sh1-hbs94,,openalex:title | openalex:title | openalex:title | crossref:title | crossref:title | crossref:title | crossref:title,7,0,0,,crossref:title: crossref type=posted-content (preprint),DOWNGRADE,register claims archival; no strong title-consistent archival evidence found
26,PaLM-E: An Embodied Multimodal Language Model,Archival published,"ICML 2023, PMLR 202",https://proceedings.mlr.press/v202/driess23a.html,openalex:title,1.0,PaLM-E: An Embodied Multimodal Language Model,,preprint,2023,10.48550/arxiv.2303.03378,https://openalex.org/W4323572061,openalex:title,1,0,0,,openalex:title: OpenAlex type=preprint,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found
27,SelfCheckGPT: Zero-Resource Black-Box Hallucination Detection for Generative Large Language Models,Archival published,EMNLP 2023,https://doi.org/10.18653/v1/2023.emnlp-main.557,crossref:doi,1.0,SelfCheckGPT: Zero-Resource Black-Box Hallucination Detection for Generative Large Language Models,Proceedings of the 2023 Conference on Empirical Methods in Natural Language Processing,proceedings-article,2023,10.18653/v1/2023.emnlp-main.557,,openalex:doi | crossref:doi,2,2,2,,openalex:doi: DOI prefix 10.18653 (ACL Anthology) | openalex:doi: pages 9004-9017 | crossref:doi: crossref type=proceedings-article venue='Proceedings of the 2023 Conference on Empirical Methods in Natural Language Processing',OK_ARCHIVAL,
28,InstructBLIP: Towards General-purpose Vision-Language Models with Instruction Tuning,Archival published,"Advances in Neural Information Processing Systems 36 (NeurIPS 2023), Main Conference Track",https://proceedings.neurips.cc/paper_files/paper/2023/hash/9a6a435e75419a836fe47ab6793623e6-Abstract-Conference.html,crossref:title,1.0,InstructBLIP: Towards General-purpose Vision-Language Models with Instruction Tuning,Advances in Neural Information Processing Systems 36,proceedings-article,2023,10.52202/075280-2142,,openalex:title | openalex:title | crossref:title,3,2,2,,openalex:title: DOI prefix 10.52202 (NeurIPS/PMLR) | openalex:title: pages 49250-49267 | crossref:title: crossref type=proceedings-article venue='Advances in Neural Information Processing Systems 36',OK_ARCHIVAL,
29,Llama 2: Open Foundation and Fine-Tuned Chat Models,Preprint/technical report,arXiv preprint arXiv:2307.09288,arXiv:2307.09288,datacite:arxiv,1.0,Llama 2: Open Foundation and Fine-Tuned Chat Models,arXiv,Preprint,2023,10.48550/arxiv.2307.09288,,datacite:arxiv,1,0,0,,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2307.09288,OK_PREPRINT,
30,"Self-RAG: Learning to Retrieve, Generate, and Critique through Self-Reflection",Archival published,The Twelfth International Conference on Learning Representations (ICLR 2024),https://openreview.net/forum?id=hSyW5go0v8,unresolved,,,,,,,,,0,0,0,,,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually"
31,A Survey of Reasoning with Foundation Models,Preprint/technical report,arXiv preprint arXiv:2312.11562,arXiv:2312.11562,datacite:arxiv,1.0,A Survey of Reasoning with Foundation Models,arXiv,Preprint,2023,10.48550/arxiv.2312.11562,,datacite:arxiv | openalex:arxiv | openalex:title | openalex:title,4,0,0,,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2312.11562,OK_PREPRINT,
32,Hallucination of Multimodal Large Language Models: A Survey,Preprint/technical report,arXiv preprint arXiv:2404.18930,arXiv:2404.18930,datacite:arxiv,1.0,Hallucination of Multimodal Large Language Models: A Survey,arXiv,Preprint,2024,10.48550/arxiv.2404.18930,,datacite:arxiv | openalex:arxiv | openalex:title,3,0,0,,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2404.18930,OK_PREPRINT,
33,The Llama 3 Herd of Models,Preprint/technical report,arXiv preprint arXiv:2407.21783,arXiv:2407.21783,datacite:arxiv,1.0,The Llama 3 Herd of Models,arXiv,Preprint,2024,10.48550/arxiv.2407.21783,,datacite:arxiv | openalex:title,2,0,0,,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2407.21783,OK_PREPRINT,
34,To CoT or Not to CoT? Chain-of-Thought Helps Mainly on Math and Symbolic Reasoning,Archival published,International Conference on Learning Representations (ICLR 2025),https://openreview.net/forum?id=4hSaB8l9cB,unresolved,,,,,,,,,0,0,0,,,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually"
35,LLMs Still Can't Plan; Can LRMs: A Preliminary Evaluation of OpenAI's o1 on PlanBench,Preprint/technical report,arXiv preprint arXiv:2409.13373,arXiv:2409.13373,datacite:arxiv,1.0,LLMs Still Can't Plan; Can LRMs? A Preliminary Evaluation of OpenAI's o1 on PlanBench,arXiv,Preprint,2024,10.48550/arxiv.2409.13373,,datacite:arxiv | openalex:arxiv | openalex:title,3,0,0,,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2409.13373,OK_PREPRINT,
36,Retrieval Augmented Generation (RAG) and Beyond: A Comprehensive Survey on How to Make your LLMs use External Data More Wisely,Preprint/technical report,arXiv preprint,,openalex:title,1.0,Retrieval Augmented Generation (RAG) and Beyond: A Comprehensive Survey on How to Make your LLMs use External Data More Wisely,,preprint,2024,10.48550/arxiv.2409.14924,https://openalex.org/W4403796472,openalex:title,1,0,0,,openalex:title: OpenAlex type=preprint,OK_PREPRINT,
37,Qwen2.5-VL Technical Report,Preprint/technical report,arXiv preprint arXiv:2502.13923,arXiv:2502.13923,datacite:arxiv,1.0,Qwen2.5-VL Technical Report,arXiv,Preprint,2025,10.48550/arxiv.2502.13923,,datacite:arxiv | openalex:arxiv | openalex:title | openalex:title,4,0,0,,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2502.13923,OK_PREPRINT,
38,A Survey of Frontiers in LLM Reasoning Inference Scaling Learning to Reason and Agentic Systems,Archival published,Transactions on Machine Learning Research,https://openreview.net/forum?id=frontierslLMreasoning,openalex:title,1.0,"A Survey of Frontiers in LLM Reasoning: Inference Scaling, Learning to Reason, and Agentic Systems",,preprint,2025,10.48550/arxiv.2504.09037,https://openalex.org/W4415154470,openalex:title,1,0,0,,openalex:title: OpenAlex type=preprint,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found
40,How Much Knowledge Can You Pack Into the Parameters of a Language Model?,Archival published,EMNLP 2020,https://doi.org/10.18653/v1/2020.emnlp-main.437,crossref:doi,1.0,How Much Knowledge Can You Pack Into the Parameters of a Language Model?,Proceedings of the 2020 Conference on Empirical Methods in Natural Language Processing (EMNLP),proceedings-article,2020,10.18653/v1/2020.emnlp-main.437,,openalex:doi | crossref:doi,2,2,2,,openalex:doi: DOI prefix 10.18653 (ACL Anthology) | openalex:doi: pages 5418-5426 | crossref:doi: crossref type=proceedings-article venue='Proceedings of the 2020 Conference on Empirical Methods in Natural Language Processing (EMNLP)',OK_ARCHIVAL,
41,Experience Grounds Language,Archival published,EMNLP 2020,https://doi.org/10.18653/v1/2020.emnlp-main.703,crossref:doi,1.0,Experience Grounds Language,Proceedings of the 2020 Conference on Empirical Methods in Natural Language Processing (EMNLP),proceedings-article,2020,10.18653/v1/2020.emnlp-main.703,,openalex:doi | crossref:doi,2,2,2,,openalex:doi: DOI prefix 10.18653 (ACL Anthology) | openalex:doi: pages 8718-8735 | crossref:doi: crossref type=proceedings-article venue='Proceedings of the 2020 Conference on Empirical Methods in Natural Language Processing (EMNLP)',OK_ARCHIVAL,
42,A Systematic Evaluation of Large Language Models of Code,Workshop/conditional,Proceedings of the 6th ACM SIGPLAN International Symposium on Machine Programming (Deep Learning for Code Workshop at ICLR 2022),,crossref:title,1.0,A systematic evaluation of large language models of code,Proceedings of the 6th ACM SIGPLAN International Symposium on Machine Programming,proceedings-article,2022,10.1145/3520312.3534862,,openalex:title | openalex:title | openalex:title | openalex:title | openalex:title | openalex:title | openalex:title | crossref:title,8,2,2,,openalex:title: DOI prefix 10.1145 (ACM) | openalex:title: pages 1-10 | crossref:title: crossref type=proceedings-article venue='Proceedings of the 6th ACM SIGPLAN International Symposium on Machine Programming',UPGRADE,register 'Workshop/conditional'; strong archival evidence 'Proceedings of the 6th ACM SIGPLAN International Symposium on Machine Programming'
43,A Review on Language Models as Knowledge Bases,Preprint/technical report,arXiv preprint arXiv:2204.06031,,openalex:title,1.0,A Review on Language Models as Knowledge Bases,,preprint,2022,10.48550/arxiv.2204.06031,https://openalex.org/W4223974161,openalex:title,1,0,0,,openalex:title: OpenAlex type=preprint,OK_PREPRINT,
44,Selection-Inference: Exploiting Large Language Models for Interpretable Logical Reasoning,Archival published,ICLR 2023,https://openreview.net/forum?id=3Pf3Wg6o-A4,openalex:title,1.0,Selection-Inference: Exploiting Large Language Models for Interpretable Logical Reasoning,,preprint,2022,10.48550/arxiv.2205.09712,https://openalex.org/W4281250694,openalex:title,1,0,0,,openalex:title: OpenAlex type=preprint,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found
45,Training Language Models with Language Feedback at Scale,Preprint/technical report,arXiv preprint arXiv:2303.16755,,openalex:title,1.0,Training Language Models with Language Feedback at Scale,,preprint,2023,10.48550/arxiv.2303.16755,https://openalex.org/W4361807044,openalex:title,1,0,0,,openalex:title: OpenAlex type=preprint,OK_PREPRINT,
46,Adapting Language Models to Compress Contexts,Archival published,"Proceedings of the 2023 Conference on Empirical Methods in Natural Language Processing, pages 3829-3846",https://doi.org/10.18653/v1/2023.emnlp-main.232,crossref:doi,1.0,Adapting Language Models to Compress Contexts,Proceedings of the 2023 Conference on Empirical Methods in Natural Language Processing,proceedings-article,2023,10.18653/v1/2023.emnlp-main.232,,openalex:doi | crossref:doi,2,2,2,,openalex:doi: DOI prefix 10.18653 (ACL Anthology) | openalex:doi: pages 3829-3846 | crossref:doi: crossref type=proceedings-article venue='Proceedings of the 2023 Conference on Empirical Methods in Natural Language Processing',OK_ARCHIVAL,
48,Random-Access Infinite Context Length for Transformers,Archival published,"Advances in Neural Information Processing Systems 36 (NeurIPS 2023), Main Conference Track",https://proceedings.neurips.cc/paper_files/paper/2023/hash/ab05dc8bf36a9f66edbff6992ec86f56-Abstract-Conference.html,crossref:title,1.0,Random-Access Infinite Context Length for Transformers,Advances in Neural Information Processing Systems 36,proceedings-article,2023,10.52202/075280-2378,,openalex:title | crossref:title,2,2,2,,openalex:title: DOI prefix 10.52202 (NeurIPS/PMLR) | openalex:title: pages 54567-54585 | crossref:title: crossref type=proceedings-article venue='Advances in Neural Information Processing Systems 36',OK_ARCHIVAL,
49,SelfCheck: Using LLMs to Zero-Shot Check Their Own Step-by-Step Reasoning,Archival published,"The Twelfth International Conference on Learning Representations (ICLR 2024), Poster",https://openreview.net/forum?id=pTHfApDakA,openalex:title,1.0,SelfCheck: Using LLMs to Zero-Shot Check Their Own Step-by-Step Reasoning,,preprint,2023,10.48550/arxiv.2308.00436,https://openalex.org/W4385963592,openalex:title,1,0,0,,openalex:title: OpenAlex type=preprint,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found
50,Chain-of-Verification Reduces Hallucination in Large Language Models,Archival published,"Findings of the Association for Computational Linguistics: ACL 2024, pages 3563-3578",https://doi.org/10.18653/v1/2024.findings-acl.212,crossref:doi,1.0,Chain-of-Verification Reduces Hallucination in Large Language Models,Findings of the Association for Computational Linguistics ACL 2024,proceedings-article,2024,10.18653/v1/2024.findings-acl.212,,openalex:doi | crossref:doi,2,2,2,,openalex:doi: DOI prefix 10.18653 (ACL Anthology) | openalex:doi: pages 3563-3578 | crossref:doi: crossref type=proceedings-article venue='Findings of the Association for Computational Linguistics ACL 2024',OK_ARCHIVAL,
51,FreshLLMs: Refreshing Large Language Models with Search Engine Augmentation,Archival published,"Findings of the Association for Computational Linguistics: ACL 2024, pages 13697-13720",https://doi.org/10.18653/v1/2024.findings-acl.813,crossref:doi,1.0,FreshLLMs: Refreshing Large Language Models with Search Engine Augmentation,Findings of the Association for Computational Linguistics ACL 2024,proceedings-article,2024,10.18653/v1/2024.findings-acl.813,,openalex:doi | crossref:doi,2,2,2,,openalex:doi: DOI prefix 10.18653 (ACL Anthology) | openalex:doi: pages 13697-13720 | crossref:doi: crossref type=proceedings-article venue='Findings of the Association for Computational Linguistics ACL 2024',OK_ARCHIVAL,
52,Learning From Mistakes Makes LLM Better Reasoner,Preprint/technical report,arXiv preprint arXiv:2310.20689,,openalex:title,1.0,Learning From Mistakes Makes LLM Better Reasoner,,preprint,2023,10.48550/arxiv.2310.20689,https://openalex.org/W4388185044,openalex:title,1,0,0,,openalex:title: OpenAlex type=preprint,OK_PREPRINT,
53,Exploring the Reasoning Abilities of Multimodal Large Language Models (MLLMs)- A Comprehensive Survey on Emerging Trends in Multimodal Reasoning,Preprint/technical report,arXiv preprint,,openalex:title,1.0,Exploring the Reasoning Abilities of Multimodal Large Language Models (MLLMs): A Comprehensive Survey on Emerging Trends in Multimodal Reasoning,,preprint,2024,10.48550/arxiv.2401.06805,https://openalex.org/W4390961147,openalex:title,1,0,0,,openalex:title: OpenAlex type=preprint,OK_PREPRINT,
54,Video as the New Language for Real-World Decision Making,Preprint/technical report,arXiv preprint arXiv:2402.17139,,openalex:title,1.0,Video as the New Language for Real-World Decision Making,,preprint,2024,10.48550/arxiv.2402.17139,https://openalex.org/W4392270920,openalex:title,1,0,0,,openalex:title: OpenAlex type=preprint,OK_PREPRINT,
55,A Critical Evaluation of AI Feedback for Aligning Large Language Models,Archival published,"Advances in Neural Information Processing Systems 37 (NeurIPS 2024), Main Conference Track",https://proceedings.neurips.cc/paper_files/paper/2024/hash/33870b3e099880cd8e705cd07173ac27-Abstract-Conference.html,crossref:title,1.0,A Critical Evaluation of AI Feedback for Aligning Large Language Models,Advances in Neural Information Processing Systems 37,proceedings-article,2024,10.52202/079017-0919,,openalex:title | openalex:title | crossref:title,3,2,2,,openalex:title: DOI prefix 10.52202 (NeurIPS/PMLR) | openalex:title: pages 29166-29190 | crossref:title: crossref type=proceedings-article venue='Advances in Neural Information Processing Systems 37',OK_ARCHIVAL,
56,RAT: Retrieval Augmented Thoughts Elicit Context-Aware Reasoning in Long-Horizon Generation,Preprint/technical report,arXiv preprint arXiv:2403.05313,,openalex:title,1.0,RAT: Retrieval Augmented Thoughts Elicit Context-Aware Reasoning in Long-Horizon Generation,,preprint,2024,10.48550/arxiv.2403.05313,https://openalex.org/W4392678293,openalex:title,1,0,0,,openalex:title: OpenAlex type=preprint,OK_PREPRINT,
57,Beyond Chain-of-Thought: A Survey of Chain-of-X Paradigms for LLMs,Archival published,"Proceedings of the 31st International Conference on Computational Linguistics (COLING 2025), pages 10795–10809",https://doi.org/10.18653/v1/2025.coling-main.719,openalex:title,1.0,Beyond Chain-of-Thought: A Survey of Chain-of-X Paradigms for LLMs,,preprint,2024,10.48550/arxiv.2404.15676,https://openalex.org/W4395483223,openalex:title,1,0,0,,openalex:title: OpenAlex type=preprint,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found
58,Can Small Language Models Help Large Language Models Reason Better?: LM-Guided Chain-of-Thought,Archival published,"Proceedings of LREC-COLING 2024, pages 2835–2843",https://aclanthology.org/2024.lrec-main.252/,crossref:title,1.0,Can Small Language Models Help Large Language Models Reason Better?: LM-Guided Chain-of-Thought,Proceedings of the Language Resources and Evaluation Conference,proceedings-article,2024,10.63317/2c35vp2yxb88,,crossref:title,1,1,1,,crossref:title: crossref type=proceedings-article venue='Proceedings of the Language Resources and Evaluation Conference',VENUE_MISMATCH,"register 'Proceedings of LREC-COLING 2024, pages 2835–2843' vs external archival venues ['Proceedings of the Language Resources and Evaluation Conference']"
59,Mind's Eye of LLMs: Visualization-of-Thought: Elicits Spatial Reasoning in Large Language Models,Archival published,Advances in Neural Information Processing Systems,,crossref:title,1.0,Mind's Eye of LLMs: Visualization-of-Thought Elicits Spatial Reasoning in Large Language Models,Advances in Neural Information Processing Systems 37,proceedings-article,2024,10.52202/079017-2866,,openalex:title | openalex:title | crossref:title,3,2,2,,openalex:title: DOI prefix 10.52202 (NeurIPS/PMLR) | openalex:title: pages 90277-90317 | crossref:title: crossref type=proceedings-article venue='Advances in Neural Information Processing Systems 37',OK_ARCHIVAL,
60,"Are Long-LLMs A Necessity For Long-Context Tasks: Hongjin Qian1,2, Zheng Liu2∗, Peitian Zhang1, Kelong Mao1, Yujia Zhou1",Preprint/technical report,arXiv preprint arXiv:2405.15318,,unresolved,,,,,,,,,0,0,0,,,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually"
61,Buffer of Thoughts: Thought-Augmented Reasoning with Large Language Models,Archival published,Advances in Neural Information Processing Systems 37 (NeurIPS 2024),https://doi.org/10.52202/079017-3607,crossref:doi,1.0,Buffer of Thoughts: Thought-Augmented Reasoning with Large Language Models,Advances in Neural Information Processing Systems 37,proceedings-article,2024,10.52202/079017-3607,,openalex:doi | crossref:doi,2,2,2,,openalex:doi: DOI prefix 10.52202 (NeurIPS/PMLR) | openalex:doi: pages 113519-113544 | crossref:doi: crossref type=proceedings-article venue='Advances in Neural Information Processing Systems 37',OK_ARCHIVAL,
63,Thinking LLMs: General Instruction Following with Thought Generation,Archival published,"Proceedings of the 42nd International Conference on Machine Learning (ICML 2025), PMLR 267",https://proceedings.mlr.press/v267/wu25o.html,openalex:title,1.0,Thinking LLMs: General Instruction Following with Thought Generation,,preprint,2024,10.48550/arxiv.2410.10630,https://openalex.org/W4403571128,openalex:title,1,0,0,,openalex:title: OpenAlex type=preprint,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found
