run_index,agent,site,rep,architecture,architecture_name,model_key,model,status,strict_field_f1,strict_field_precision,strict_field_recall,field_tp,field_fp,field_fn,record_precision,record_recall,record_f1,matched_records,predicted_records,gold_records,record_completeness,schema_adherence,schema_error_count,non_schema_field_count,selector_pair_coverage,quote_coverage,verified_provenance_precision,verified_provenance_recall,supported_field_count,unsupported_field_count,null_rating_accuracy,latency_seconds,input_tokens,output_tokens,browser_actions,tool_actions,task_success,unsupported_value_rate,non_schema_field_rate
29,A1__qwen,site_04,1,A1,Direct DOM Snapshot Agent,qwen,qwen2.5vl:7b,partial_failure,0.0,0.0,0.0,0,8,40,0.0,0.0,0.0,0,2,10,0.0,1,0,0,1.0,0.0,0.0,0.0,0,8,,177.63,168799,9633,0,10,0,1.0,0.0
30,A2__gemma,site_01,2,A2,Schema-State Ground-and-Verify Agent,gemma,gemma4-131k:latest,partial_failure,0.0,0.0,0.0,0,0,39,0.0,0.0,0.0,0,0,10,0.0,1,0,0,0,0,0,0.0,0,0,0.0,555.156,72587,50624,0,23,0,0.0,0.0
31,A2__kimi,site_03,1,A2,Schema-State Ground-and-Verify Agent,kimi,kimi-k2.6,completed,0.2857142857142857,0.2857142857142857,0.2857142857142857,10,25,25,0.3,0.3,0.3,3,10,10,0.3,1,0,0,1.0,1.0,0.2857142857142857,0.2857142857142857,10,25,0.4,208.191,18699,7726,0,20,0,0.7142857142857143,0.0
32,A1__kimi,site_04,1,A1,Direct DOM Snapshot Agent,kimi,kimi-k2.6,completed,1.0,1.0,1.0,40,0,0,1.0,1.0,1.0,10,10,10,1.0,1,0,0,1.0,0.7,0.7,0.7,28,12,,503.62,741556,10780,0,10,1,0.3,0.0
33,A1__gemma,site_04,2,A1,Direct DOM Snapshot Agent,gemma,gemma4-131k:latest,partial_failure,0.0,0.0,0.0,0,0,40,0.0,0.0,0.0,0,0,10,0.0,1,0,0,0,0,0,0.0,0,0,,304.7,171765,23420,0,10,0,0.0,0.0
34,A2__qwen,site_03,3,A2,Schema-State Ground-and-Verify Agent,qwen,qwen2.5vl:7b,partial_failure,0.1276595744680851,0.25,0.08571428571428572,3,9,32,0.25,0.1,0.14285714285714288,1,4,10,0.1,1,0,0,1.0,1.0,0.25,0.08571428571428572,3,9,0.2,183.761,31995,13941,0,20,0,0.75,0.0
35,A2__qwen,site_03,2,A2,Schema-State Ground-and-Verify Agent,qwen,qwen2.5vl:7b,partial_failure,0.1276595744680851,0.25,0.08571428571428572,3,9,32,0.25,0.1,0.14285714285714288,1,4,10,0.1,1,0,0,1.0,1.0,0.25,0.08571428571428572,3,9,0.2,178.466,31967,13947,0,20,0,0.75,0.0
36,A3__kimi,site_02,2,A3,Playwright-MCP ReAct Agent,kimi,kimi-k2.6,completed,1.0,1.0,1.0,39,0,0,1.0,1.0,1.0,10,10,10,1.0,0,3,0,1.0,1.0,1.0,1.0,39,0,1.0,551.413,160844,18188,25,25,0,0.0,0.0
37,A2__qwen,site_02,2,A2,Schema-State Ground-and-Verify Agent,qwen,qwen2.5vl:7b,partial_failure,0.0,0.0,0.0,0,0,39,0.0,0.0,0.0,0,0,10,0.0,1,0,0,0,0,0,0.0,0,0,0.0,197.275,53730,14445,0,21,0,0.0,0.0
38,A1__gemma,site_03,1,A1,Direct DOM Snapshot Agent,gemma,gemma4-131k:latest,partial_failure,0.0,0.0,0.0,0,0,35,0.0,0.0,0.0,0,0,10,0.0,1,0,0,0,0,0,0.0,0,0,0.0,344.474,248794,16806,0,10,0,0.0,0.0
39,A2__gemma,site_02,3,A2,Schema-State Ground-and-Verify Agent,gemma,gemma4-131k:latest,partial_failure,0.18604651162790695,1.0,0.10256410256410256,4,0,35,1.0,0.1,0.18181818181818182,1,1,10,0.1,1,0,0,1.0,1.0,1.0,0.10256410256410256,4,0,0.0,493.794,69711,45410,0,22,0,0.0,0.0
40,A2__qwen,site_04,2,A2,Schema-State Ground-and-Verify Agent,qwen,qwen2.5vl:7b,partial_failure,0.888888888888889,1.0,0.8,32,0,8,1.0,0.8,0.888888888888889,8,8,10,0.8,1,0,0,1.0,0.75,0.6875,0.55,22,10,,136.601,38421,9950,0,21,0,0.3125,0.0
41,A2__qwen,site_01,2,A2,Schema-State Ground-and-Verify Agent,qwen,qwen2.5vl:7b,partial_failure,0.0,0.0,0.0,0,0,39,0.0,0.0,0.0,0,0,10,0.0,1,0,0,0,0,0,0.0,0,0,0.0,189.565,53951,14227,0,22,0,0.0,0.0
42,A3__kimi,site_04,2,A3,Playwright-MCP ReAct Agent,kimi,kimi-k2.6,completed,1.0,1.0,1.0,40,0,0,1.0,1.0,1.0,10,10,10,1.0,1,0,0,1.0,1.0,0.75,0.75,30,10,,680.036,193163,23896,27,27,1,0.25,0.0
43,A3__gemma,site_03,1,A3,Playwright-MCP ReAct Agent,gemma,gemma4-131k:latest,partial_failure,0.0,0.0,0.0,0,0,35,0.0,0.0,0.0,0,0,10,0.0,1,0,0,0,0,0,0.0,0,0,0.0,1707.867,553796,146808,21,21,0,0.0,0.0
44,A3__qwen,site_03,2,A3,Playwright-MCP ReAct Agent,qwen,qwen2.5vl:7b,partial_failure,0.0,0.0,0.0,0,0,35,0.0,0.0,0.0,0,0,10,0.0,1,0,0,0,0,0,0.0,0,0,0.0,267.662,222549,17815,27,27,0,0.0,0.0
45,A3__kimi,site_01,2,A3,Playwright-MCP ReAct Agent,kimi,kimi-k2.6,completed,0.9873417721518987,0.975,1.0,39,1,0,1.0,1.0,1.0,10,10,10,0.9,0,3,0,1.0,1.0,0.975,1.0,39,1,0.0,527.114,160762,18635,24,24,0,0.025,0.0
46,A2__gemma,site_01,1,A2,Schema-State Ground-and-Verify Agent,gemma,gemma4-131k:latest,partial_failure,0.0,0.0,0.0,0,0,39,0.0,0.0,0.0,0,0,10,0.0,1,0,0,0,0,0,0.0,0,0,0.0,567.718,72587,50624,0,23,0,0.0,0.0
47,A1__qwen,site_04,3,A1,Direct DOM Snapshot Agent,qwen,qwen2.5vl:7b,partial_failure,0.0,0.0,0.0,0,8,40,0.0,0.0,0.0,0,2,10,0.0,1,0,0,1.0,0.0,0.0,0.0,0,8,,178.886,168799,9633,0,10,0,1.0,0.0
48,A2__gemma,site_02,1,A2,Schema-State Ground-and-Verify Agent,gemma,gemma4-131k:latest,partial_failure,0.18604651162790695,1.0,0.10256410256410256,4,0,35,1.0,0.1,0.18181818181818182,1,1,10,0.1,1,0,0,1.0,1.0,1.0,0.10256410256410256,4,0,0.0,572.376,72339,52232,0,22,0,0.0,0.0
49,A2__gemma,site_02,2,A2,Schema-State Ground-and-Verify Agent,gemma,gemma4-131k:latest,partial_failure,0.4313725490196078,0.9166666666666666,0.28205128205128205,11,1,28,1.0,0.3,0.4615384615384615,3,3,10,0.2,1,0,0,1.0,1.0,0.9166666666666666,0.28205128205128205,11,1,0.0,555.557,69683,50986,0,22,0,0.08333333333333333,0.0
50,A1__qwen,site_03,1,A1,Direct DOM Snapshot Agent,qwen,qwen2.5vl:7b,partial_failure,0.1395348837209302,0.375,0.08571428571428572,3,5,32,0.5,0.1,0.16666666666666669,1,2,10,0.0,1,0,0,1.0,0.75,0.25,0.05714285714285714,2,6,0.0,407.57,187779,25899,0,10,0,0.75,0.0
51,A3__gemma,site_04,3,A3,Playwright-MCP ReAct Agent,gemma,gemma4-131k:latest,partial_failure,0.18181818181818182,1.0,0.1,4,0,36,1.0,0.1,0.18181818181818182,1,1,10,0.1,0,3,0,1.0,1.0,0.75,0.075,3,1,,2100.074,768268,176016,21,21,0,0.25,0.0
52,A1__gemma,site_02,3,A1,Direct DOM Snapshot Agent,gemma,gemma4-131k:latest,partial_failure,0.0,0.0,0.0,0,0,39,0.0,0.0,0.0,0,0,10,0.0,1,0,0,0,0,0,0.0,0,0,0.0,312.583,172222,24318,0,10,0,0.0,0.0
53,A1__kimi,site_01,1,A1,Direct DOM Snapshot Agent,kimi,kimi-k2.6,completed,1.0,1.0,1.0,39,0,0,1.0,1.0,1.0,10,10,10,1.0,1,0,0,1.0,1.0,1.0,1.0,39,0,1.0,379.016,522842,10568,0,10,1,0.0,0.0
54,A1__gemma,site_03,2,A1,Direct DOM Snapshot Agent,gemma,gemma4-131k:latest,partial_failure,0.0,0.0,0.0,0,0,35,0.0,0.0,0.0,0,0,10,0.0,1,0,0,0,0,0,0.0,0,0,0.0,349.02,298388,22849,0,10,0,0.0,0.0
55,A1__kimi,site_04,2,A1,Direct DOM Snapshot Agent,kimi,kimi-k2.6,completed,1.0,1.0,1.0,40,0,0,1.0,1.0,1.0,10,10,10,1.0,1,0,0,1.0,0.725,0.65,0.65,26,14,,454.812,741556,10800,0,10,1,0.35,0.0
56,A3__qwen,site_02,1,A3,Playwright-MCP ReAct Agent,qwen,qwen2.5vl:7b,partial_failure,0.0,0.0,0.0,0,0,39,0.0,0.0,0.0,0,0,10,0.0,1,0,0,0,0,0,0.0,0,0,0.0,294.561,443088,19312,18,18,0,0.0,0.0
57,A2__gemma,site_04,2,A2,Schema-State Ground-and-Verify Agent,gemma,gemma4-131k:latest,partial_failure,0.4615384615384615,1.0,0.3,12,0,28,1.0,0.3,0.4615384615384615,3,3,10,0.3,1,0,0,1.0,0.8333333333333334,0.75,0.225,9,3,,655.249,65317,58606,0,23,0,0.25,0.0
58,A1__gemma,site_01,3,A1,Direct DOM Snapshot Agent,gemma,gemma4-131k:latest,partial_failure,0.0,0.0,0.0,0,0,39,0.0,0.0,0.0,0,0,10,0.0,1,0,0,0,0,0,0.0,0,0,0.0,317.407,172717,24945,0,10,0,0.0,0.0
59,A2__qwen,site_02,1,A2,Schema-State Ground-and-Verify Agent,qwen,qwen2.5vl:7b,partial_failure,0.0,0.0,0.0,0,0,39,0.0,0.0,0.0,0,0,10,0.0,1,0,0,0,0,0,0.0,0,0,0.0,195.33,53730,14445,0,21,0,0.0,0.0
60,A1__qwen,site_02,2,A1,Direct DOM Snapshot Agent,qwen,qwen2.5vl:7b,partial_failure,0.0,0.0,0.0,0,12,39,0.0,0.0,0.0,0,3,10,0.0,1,0,0,1.0,0.5,0.0,0.0,0,12,0.0,271.829,169760,17542,0,10,0,1.0,0.0
61,A2__gemma,site_01,3,A2,Schema-State Ground-and-Verify Agent,gemma,gemma4-131k:latest,partial_failure,0.3404255319148936,1.0,0.20512820512820512,8,0,31,1.0,0.2,0.33333333333333337,2,2,10,0.2,1,0,0,1.0,1.0,1.0,0.20512820512820512,8,0,0.0,567.234,72567,50736,0,23,0,0.0,0.0
62,A1__qwen,site_04,2,A1,Direct DOM Snapshot Agent,qwen,qwen2.5vl:7b,partial_failure,0.0,0.0,0.0,0,8,40,0.0,0.0,0.0,0,2,10,0.0,1,0,0,1.0,0.5,0.0,0.0,0,8,,319.624,168552,20621,0,10,0,1.0,0.0
63,A3__gemma,site_01,2,A3,Playwright-MCP ReAct Agent,gemma,gemma4-131k:latest,partial_failure,0.0,0.0,0.0,0,0,39,0.0,0.0,0.0,0,0,10,0.0,1,0,0,0,0,0,0.0,0,0,0.0,1842.66,777551,152951,21,21,0,0.0,0.0
64,A2__gemma,site_04,1,A2,Schema-State Ground-and-Verify Agent,gemma,gemma4-131k:latest,partial_failure,0.4615384615384615,1.0,0.3,12,0,28,1.0,0.3,0.4615384615384615,3,3,10,0.3,1,0,0,1.0,0.8333333333333334,0.75,0.225,9,3,,659.325,65317,58606,0,23,0,0.25,0.0
65,A1__qwen,site_01,1,A1,Direct DOM Snapshot Agent,qwen,qwen2.5vl:7b,partial_failure,0.0,0.0,0.0,0,4,39,0.0,0.0,0.0,0,1,10,0.0,1,0,0,1.0,0.5,0.0,0.0,0,4,0.0,400.975,169409,27596,0,10,0,1.0,0.0
66,A2__qwen,site_01,1,A2,Schema-State Ground-and-Verify Agent,qwen,qwen2.5vl:7b,partial_failure,0.0,0.0,0.0,0,0,39,0.0,0.0,0.0,0,0,10,0.0,1,0,0,0,0,0,0.0,0,0,0.0,187.247,53879,13887,0,22,0,0.0,0.0
67,A3__qwen,site_02,3,A3,Playwright-MCP ReAct Agent,qwen,qwen2.5vl:7b,partial_failure,0.0,0.0,0.0,0,0,39,0.0,0.0,0.0,0,0,10,0.0,1,0,0,0,0,0,0.0,0,0,0.0,344.559,408253,23071,18,18,0,0.0,0.0
68,A3__kimi,site_01,3,A3,Playwright-MCP ReAct Agent,kimi,kimi-k2.6,partial_failure,0.5818181818181819,1.0,0.41025641025641024,16,0,23,1.0,0.4,0.5714285714285715,4,4,10,0.4,1,0,0,1.0,1.0,1.0,0.41025641025641024,16,0,0.0,1298.774,596265,44373,49,49,0,0.0,0.0
69,A3__gemma,site_01,1,A3,Playwright-MCP ReAct Agent,gemma,gemma4-131k:latest,partial_failure,0.0,0.0,0.0,0,0,39,0.0,0.0,0.0,0,0,10,0.0,1,0,0,0,0,0,0.0,0,0,0.0,1911.376,801984,157936,21,21,0,0.0,0.0
70,A3__qwen,site_02,2,A3,Playwright-MCP ReAct Agent,qwen,qwen2.5vl:7b,partial_failure,0.0,0.0,0.0,0,0,39,0.0,0.0,0.0,0,0,10,0.0,1,0,0,0,0,0,0.0,0,0,0.0,427.39,432106,29264,18,18,0,0.0,0.0
71,A1__qwen,site_03,2,A1,Direct DOM Snapshot Agent,qwen,qwen2.5vl:7b,partial_failure,0.2790697674418604,0.75,0.17142857142857143,6,2,29,1.0,0.2,0.33333333333333337,2,2,10,0.0,1,0,0,1.0,0.875,0.625,0.14285714285714285,5,3,0.0,410.758,191207,25994,0,10,0,0.375,0.0
72,A3__gemma,site_02,2,A3,Playwright-MCP ReAct Agent,gemma,gemma4-131k:latest,partial_failure,0.0,0.0,0.0,0,0,39,0.0,0.0,0.0,0,0,10,0.0,1,0,0,0,0,0,0.0,0,0,0.0,1734.634,750051,144472,21,21,0,0.0,0.0
73,A2__gemma,site_03,2,A2,Schema-State Ground-and-Verify Agent,gemma,gemma4-131k:latest,partial_failure,0.0,0.0,0.0,0,0,35,0.0,0.0,0.0,0,0,10,0.0,1,0,0,0,0,0,0.0,0,0,0.0,556.236,42709,50385,0,20,0,0.0,0.0
74,A3__qwen,site_03,3,A3,Playwright-MCP ReAct Agent,qwen,qwen2.5vl:7b,partial_failure,0.0,0.0,0.0,0,0,35,0.0,0.0,0.0,0,0,10,0.0,1,0,0,0,0,0,0.0,0,0,0.0,261.523,223210,17123,27,27,0,0.0,0.0
75,A1__qwen,site_03,3,A1,Direct DOM Snapshot Agent,qwen,qwen2.5vl:7b,partial_failure,0.2790697674418604,0.75,0.17142857142857143,6,2,29,1.0,0.2,0.33333333333333337,2,2,10,0.0,1,0,0,1.0,0.875,0.625,0.14285714285714285,5,3,0.0,410.6,191207,25994,0,10,0,0.375,0.0
76,A1__gemma,site_01,1,A1,Direct DOM Snapshot Agent,gemma,gemma4-131k:latest,partial_failure,0.0,0.0,0.0,0,0,39,0.0,0.0,0.0,0,0,10,0.0,1,0,0,0,0,0,0.0,0,0,0.0,315.425,172717,24945,0,10,0,0.0,0.0
77,A3__kimi,site_03,2,A3,Playwright-MCP ReAct Agent,kimi,kimi-k2.6,partial_failure,0.5757575757575757,0.6129032258064516,0.5428571428571428,19,12,16,0.6666666666666666,0.6,0.631578947368421,6,9,10,0.6,0,3,0,1.0,1.0,0.6129032258064516,0.5428571428571428,19,12,1.0,823.503,219281,23988,33,33,0,0.3870967741935484,0.0
78,A3__qwen,site_04,1,A3,Playwright-MCP ReAct Agent,qwen,qwen2.5vl:7b,partial_failure,0.0,0.0,0.0,0,0,40,0.0,0.0,0.0,0,0,10,0.0,1,0,0,0,0,0,0.0,0,0,,188.968,411838,9914,23,23,0,0.0,0.0
79,A2__qwen,site_04,1,A2,Schema-State Ground-and-Verify Agent,qwen,qwen2.5vl:7b,completed,1.0,1.0,1.0,40,0,0,1.0,1.0,1.0,10,10,10,1.0,1,0,0,1.0,0.75,0.7,0.7,28,12,,166.731,41247,12275,0,23,1,0.3,0.0
80,A3__kimi,site_02,3,A3,Playwright-MCP ReAct Agent,kimi,kimi-k2.6,partial_failure,0.8059701492537313,0.9642857142857143,0.6923076923076923,27,1,12,1.0,0.7,0.8235294117647058,7,7,10,0.6,1,0,0,1.0,1.0,0.9642857142857143,0.6923076923076923,27,1,0.0,1186.91,509215,39538,45,45,0,0.03571428571428571,0.0
81,A2__qwen,site_02,3,A2,Schema-State Ground-and-Verify Agent,qwen,qwen2.5vl:7b,partial_failure,0.0,0.0,0.0,0,0,39,0.0,0.0,0.0,0,0,10,0.0,1,0,0,0,0,0,0.0,0,0,0.0,168.333,50065,12400,0,21,0,0.0,0.0
82,A3__qwen,site_04,3,A3,Playwright-MCP ReAct Agent,qwen,qwen2.5vl:7b,partial_failure,0.0,0.0,0.0,0,0,40,0.0,0.0,0.0,0,0,10,0.0,1,0,0,0,0,0,0.0,0,0,,188.733,411838,9914,23,23,0,0.0,0.0
83,A1__kimi,site_01,2,A1,Direct DOM Snapshot Agent,kimi,kimi-k2.6,completed,1.0,1.0,1.0,39,0,0,1.0,1.0,1.0,10,10,10,1.0,1,0,0,1.0,1.0,1.0,1.0,39,0,1.0,406.121,609132,12088,0,10,1,0.0,0.0
84,A2__kimi,site_04,3,A2,Schema-State Ground-and-Verify Agent,kimi,kimi-k2.6,completed,1.0,1.0,1.0,40,0,0,1.0,1.0,1.0,10,10,10,1.0,1,0,0,1.0,1.0,0.75,0.75,30,10,,317.287,39685,11454,0,23,1,0.25,0.0
85,A3__qwen,site_03,1,A3,Playwright-MCP ReAct Agent,qwen,qwen2.5vl:7b,partial_failure,0.0,0.0,0.0,0,0,35,0.0,0.0,0.0,0,0,10,0.0,1,0,0,0,0,0,0.0,0,0,0.0,262.566,223570,17164,27,27,0,0.0,0.0
86,A3__gemma,site_02,3,A3,Playwright-MCP ReAct Agent,gemma,gemma4-131k:latest,partial_failure,0.0,0.0,0.0,0,0,39,0.0,0.0,0.0,0,0,10,0.0,1,0,0,0,0,0,0.0,0,0,0.0,1736.927,750051,144472,21,21,0,0.0,0.0
87,A2__kimi,site_02,2,A2,Schema-State Ground-and-Verify Agent,kimi,kimi-k2.6,completed,1.0,1.0,1.0,39,0,0,1.0,1.0,1.0,10,10,10,1.0,1,0,0,1.0,1.0,1.0,1.0,39,0,1.0,253.012,39255,9476,0,22,1,0.0,0.0
88,A1__kimi,site_02,3,A1,Direct DOM Snapshot Agent,kimi,kimi-k2.6,completed,0.9873417721518987,0.975,1.0,39,1,0,1.0,1.0,1.0,10,10,10,0.9,1,0,0,1.0,1.0,0.975,1.0,39,1,0.0,459.344,578609,11894,0,10,1,0.025,0.0
89,A1__kimi,site_02,1,A1,Direct DOM Snapshot Agent,kimi,kimi-k2.6,completed,0.9873417721518987,0.975,1.0,39,1,0,1.0,1.0,1.0,10,10,10,0.9,1,0,0,1.0,1.0,0.975,1.0,39,1,0.0,414.994,715115,14669,0,10,1,0.025,0.0
